"Time","dt_sound_level_dB"
2022-08-01 00:45:00,51
2022-08-01 00:46:00,46
2022-08-01 00:47:00,48
2022-08-01 00:48:00,51
2022-08-01 00:49:00,45
2022-08-01 00:50:00,52
2022-08-01 00:51:00,48
2022-08-01 00:52:00,50
2022-08-01 00:53:00,48
2022-08-01 00:54:00,48
2022-08-01 01:05:00,49
2022-08-01 01:06:00,45
2022-08-01 01:07:00,46
2022-08-01 01:08:00,45
2022-08-01 01:09:00,45
2022-08-01 01:10:00,45
2022-08-01 01:11:00,52
2022-08-01 01:12:00,51
2022-08-01 01:13:00,48
2022-08-01 01:14:00,54
2022-08-01 01:15:00,49
2022-08-01 01:16:00,52
2022-08-01 01:17:00,45
2022-08-01 01:18:00,45
2022-08-01 01:19:00,48
2022-08-01 01:20:00,50
2022-08-01 01:21:00,47
2022-08-01 01:22:00,48
2022-08-01 01:23:00,45
2022-08-01 01:24:00,49
2022-08-01 01:25:00,48
2022-08-01 01:26:00,45
2022-08-01 01:27:00,52
2022-08-01 01:28:00,46
2022-08-01 01:29:00,48
2022-08-01 01:30:00,45
2022-08-01 01:31:00,45
2022-08-01 01:32:00,46
2022-08-01 01:33:00,47
2022-08-01 01:34:00,48
2022-08-01 01:35:00,46
2022-08-01 01:37:00,48
2022-08-01 01:39:00,48
2022-08-01 01:40:00,48
2022-08-01 01:41:00,48
2022-08-01 01:42:00,45
2022-08-01 01:43:00,48
2022-08-01 01:44:00,46
2022-08-01 02:15:00,48
2022-08-01 02:16:00,46
2022-08-01 02:17:00,48
2022-08-01 02:18:00,45
2022-08-01 02:19:00,48
2022-08-01 02:20:00,47
2022-08-01 02:21:00,49
2022-08-01 02:22:00,49
2022-08-01 02:23:00,45
2022-08-01 02:24:00,51
2022-08-01 02:25:00,45
2022-08-01 02:26:00,45
2022-08-01 02:27:00,46
2022-08-01 02:28:00,45
2022-08-01 02:29:00,45
2022-08-01 02:30:00,48
2022-08-01 02:31:00,46
2022-08-01 02:32:00,46
2022-08-01 02:33:00,48
2022-08-01 02:34:00,49
2022-08-01 02:55:00,46
2022-08-01 02:56:00,48
2022-08-01 02:57:00,46
2022-08-01 02:58:00,48
2022-08-01 02:59:00,45
2022-08-01 03:00:00,45
2022-08-01 03:01:00,45
2022-08-01 03:02:00,45
2022-08-01 03:03:00,45
2022-08-01 03:04:00,45
2022-08-01 03:05:00,45
2022-08-01 03:06:00,46
2022-08-01 03:07:00,45
2022-08-01 03:08:00,45
2022-08-01 03:09:00,46
2022-08-01 03:10:00,46
2022-08-01 03:11:00,46
2022-08-01 03:12:00,45
2022-08-01 03:13:00,48
2022-08-01 03:14:00,46
2022-08-01 04:15:00,45
2022-08-01 04:16:00,46
2022-08-01 04:17:00,49
2022-08-01 04:18:00,45
2022-08-01 04:19:00,45
2022-08-01 04:20:00,45
2022-08-01 04:21:00,48
2022-08-01 04:22:00,47
2022-08-01 04:23:00,46
2022-08-01 04:24:00,46
2022-08-01 04:25:00,45
2022-08-01 04:26:00,46
2022-08-01 04:27:00,47
2022-08-01 04:28:00,46
2022-08-01 04:29:00,48
2022-08-01 04:30:00,47
2022-08-01 04:31:00,45
2022-08-01 04:32:00,45
2022-08-01 04:33:00,46
2022-08-01 04:34:00,50
2022-08-01 05:05:00,49
2022-08-01 05:06:00,53
2022-08-01 05:07:00,53
2022-08-01 05:08:00,51
2022-08-01 05:09:00,56
2022-08-01 05:10:00,55
