"Time","dt_sound_level_dB"
2022-08-01 03:22:00,47
2022-08-01 03:23:00,48
2022-08-01 03:24:00,48
2022-08-01 03:25:00,49
2022-08-01 03:26:00,47
2022-08-01 03:27:00,47
2022-08-01 03:28:00,49
2022-08-01 03:29:00,48
2022-08-01 03:30:00,48
2022-08-01 03:31:00,48
2022-08-01 03:32:00,47
2022-08-01 03:33:00,50
2022-08-01 03:34:00,47
2022-08-01 03:35:00,49
2022-08-01 03:36:00,47
2022-08-01 03:37:00,49
2022-08-01 03:38:00,48
2022-08-01 03:39:00,54
2022-08-01 03:40:00,49
2022-08-01 03:41:00,47
2022-08-01 04:02:00,50
2022-08-01 04:03:00,47
2022-08-01 04:04:00,47
2022-08-01 04:05:00,50
2022-08-01 04:06:00,49
2022-08-01 04:07:00,48
2022-08-01 04:09:00,48
2022-08-01 04:10:00,47
2022-08-01 04:11:00,48
2022-08-01 04:12:00,48
2022-08-01 04:13:00,49
2022-08-01 04:14:00,47
2022-08-01 04:15:00,49
2022-08-01 04:16:00,49
2022-08-01 04:17:00,47
2022-08-01 04:18:00,47
2022-08-01 04:19:00,49
2022-08-01 04:20:00,49
2022-08-01 04:21:00,47
2022-08-01 04:22:00,50
2022-08-01 04:23:00,48
2022-08-01 04:24:00,48
2022-08-01 04:25:00,48
2022-08-01 04:26:00,47
2022-08-01 04:27:00,48
2022-08-01 04:28:00,50
2022-08-01 04:29:00,49
2022-08-01 04:30:00,49
2022-08-01 04:31:00,47
2022-08-01 04:42:00,48
2022-08-01 04:43:00,48
2022-08-01 04:44:00,49
2022-08-01 04:45:00,49
2022-08-01 04:46:00,48
2022-08-01 04:47:00,50
2022-08-01 04:48:00,50
2022-08-01 04:49:00,48
2022-08-01 04:50:00,49
2022-08-01 04:51:00,50
2022-08-01 04:52:00,49
2022-08-01 04:53:00,49
2022-08-01 04:54:00,50
2022-08-01 04:55:00,50
2022-08-01 04:56:00,49
2022-08-01 04:57:00,50
2022-08-01 04:58:00,48
2022-08-01 04:59:00,48
2022-08-01 05:00:00,49
2022-08-01 05:01:00,47
2022-08-01 05:02:00,49
2022-08-01 05:03:00,49
2022-08-01 05:04:00,51
2022-08-01 05:05:00,47
2022-08-01 05:06:00,49
2022-08-01 05:07:00,49
2022-08-01 05:08:00,50
2022-08-01 05:10:00,49
2022-08-01 05:11:00,49
2022-08-01 05:12:00,51
2022-08-01 05:13:00,47
2022-08-01 05:14:00,50
2022-08-01 05:15:00,47
2022-08-01 05:16:00,49
2022-08-01 05:17:00,48
2022-08-01 05:18:00,51
2022-08-01 05:19:00,49
2022-08-01 05:20:00,50
2022-08-01 05:21:00,53
2022-08-01 05:52:00,54
2022-08-01 05:53:00,50
2022-08-01 05:54:00,52
2022-08-01 05:55:00,54
2022-08-01 05:56:00,55
2022-08-01 05:57:00,61
2022-08-01 05:58:00,55
2022-08-01 05:59:00,49
2022-08-01 06:00:00,51
2022-08-01 06:01:00,49
2022-08-01 06:02:00,48
2022-08-01 06:04:00,53
2022-08-01 06:05:00,52
2022-08-01 06:06:00,50
2022-08-01 06:07:00,50
2022-08-01 06:08:00,53
2022-08-01 06:09:00,51
2022-08-01 06:10:00,52
2022-08-01 06:11:00,51
2022-08-01 06:12:00,53
2022-08-01 06:32:00,59
2022-08-01 06:33:00,52
2022-08-01 06:34:00,52
2022-08-01 06:35:00,52
2022-08-01 06:36:00,52
2022-08-01 06:37:00,52
2022-08-01 06:38:00,51
2022-08-01 06:39:00,55
2022-08-01 06:40:00,52
2022-08-01 06:41:00,56
2022-08-01 06:52:00,50
2022-08-01 06:53:00,48
2022-08-01 06:54:00,55
2022-08-01 06:55:00,53
2022-08-01 06:56:00,55
2022-08-01 06:57:00,52
2022-08-01 06:58:00,51
2022-08-01 06:59:00,50
2022-08-01 07:00:00,54
2022-08-01 07:01:00,50
2022-08-01 11:03:00,57
2022-08-01 11:04:00,56
2022-08-01 11:05:00,56
2022-08-01 11:06:00,56
2022-08-01 11:07:00,56
2022-08-01 11:08:00,57
2022-08-01 11:09:00,55
2022-08-01 11:10:00,60
2022-08-01 11:11:00,59
2022-08-01 11:12:00,56
2022-08-01 11:13:00,57
2022-08-01 11:14:00,54
2022-08-01 11:15:00,56
2022-08-01 11:16:00,56
2022-08-01 11:17:00,58
2022-08-01 11:18:00,55
2022-08-01 11:19:00,57
2022-08-01 11:20:00,56
2022-08-01 11:21:00,56
2022-08-01 11:22:00,56
2022-08-01 11:23:00,58
2022-08-01 11:24:00,56
2022-08-01 11:25:00,54
2022-08-01 11:26:00,55
2022-08-01 11:27:00,57
2022-08-01 11:28:00,56
2022-08-01 11:29:00,57
2022-08-01 11:30:00,57
2022-08-01 11:31:00,56
2022-08-01 11:32:00,56
2022-08-01 11:33:00,55
2022-08-01 11:34:00,54
2022-08-01 11:35:00,57
2022-08-01 11:36:00,56
2022-08-01 11:37:00,58
2022-08-01 11:38:00,61
2022-08-01 11:39:00,57
2022-08-01 11:40:00,58
2022-08-01 11:41:00,56
2022-08-01 11:42:00,56
2022-08-01 11:43:00,57
2022-08-01 11:44:00,56
2022-08-01 11:45:00,57
2022-08-01 11:46:00,56
2022-08-01 11:47:00,56
2022-08-01 11:48:00,56
2022-08-01 11:49:00,58
2022-08-01 11:50:00,56
2022-08-01 11:51:00,57
2022-08-01 12:03:00,56
2022-08-01 12:04:00,57
2022-08-01 12:05:00,58
2022-08-01 12:06:00,58
2022-08-01 12:07:00,55
2022-08-01 12:08:00,56
2022-08-01 12:09:00,56
2022-08-01 12:10:00,59
2022-08-01 12:11:00,58
2022-08-01 12:12:00,55
2022-08-01 13:23:00,58
2022-08-01 13:24:00,57
2022-08-01 13:25:00,54
2022-08-01 13:26:00,54
2022-08-01 13:27:00,58
2022-08-01 13:28:00,57
2022-08-01 13:29:00,57
2022-08-01 13:30:00,57
2022-08-01 13:31:00,56
2022-08-01 14:03:00,59
2022-08-01 14:04:00,56
2022-08-01 14:05:00,54
2022-08-01 14:06:00,56
2022-08-01 14:07:00,60
2022-08-01 14:08:00,54
2022-08-01 14:09:00,56
2022-08-01 14:10:00,58
2022-08-01 14:11:00,56
2022-08-01 14:12:00,56
2022-08-01 14:32:00,58
2022-08-01 14:33:00,56
2022-08-01 14:34:00,56
2022-08-01 14:35:00,59
2022-08-01 14:36:00,56
2022-08-01 14:37:00,58
2022-08-01 14:38:00,56
2022-08-01 14:39:00,57
2022-08-01 14:40:00,52
2022-08-01 14:41:00,61
2022-08-01 14:42:00,56
2022-08-01 14:43:00,58
2022-08-01 14:44:00,57
2022-08-01 14:45:00,60
2022-08-01 14:46:00,52
2022-08-01 14:47:00,59
2022-08-01 14:48:00,57
2022-08-01 14:49:00,54
2022-08-01 14:50:00,60
2022-08-01 14:51:00,58
2022-08-01 15:03:00,57
2022-08-01 15:04:00,56
2022-08-01 15:05:00,54
2022-08-01 15:06:00,60
2022-08-01 15:07:00,56
2022-08-01 15:08:00,59
2022-08-01 15:09:00,56
2022-08-01 15:10:00,58
2022-08-01 15:11:00,59
2022-08-01 15:12:00,58
2022-08-01 16:03:00,59
2022-08-01 16:04:00,57
2022-08-01 16:05:00,59
2022-08-01 16:06:00,57
2022-08-01 16:07:00,59
2022-08-01 16:08:00,55
2022-08-01 16:09:00,58
2022-08-01 16:10:00,58
2022-08-01 16:11:00,57
2022-08-01 16:12:00,55
2022-08-01 16:23:00,56
2022-08-01 16:24:00,55
2022-08-01 16:25:00,58
2022-08-01 16:26:00,56
2022-08-01 16:27:00,60
2022-08-01 16:28:00,60
2022-08-01 16:29:00,57
2022-08-01 16:30:00,55
2022-08-01 16:31:00,60
2022-08-01 20:03:00,53
2022-08-01 20:04:00,51
2022-08-01 20:05:00,53
2022-08-01 20:06:00,54
2022-08-01 20:07:00,57
2022-08-01 20:08:00,52
2022-08-01 20:09:00,54
2022-08-01 20:10:00,56
2022-08-01 20:11:00,54
2022-08-01 20:12:00,56
2022-08-01 20:13:00,57
2022-08-01 20:14:00,52
2022-08-01 20:15:00,53
2022-08-01 20:16:00,57
2022-08-01 20:17:00,53
2022-08-01 20:18:00,52
2022-08-01 20:19:00,55
2022-08-01 20:20:00,53
2022-08-01 20:21:00,54
2022-08-01 20:22:00,55
2022-08-01 20:23:00,54
2022-08-01 20:24:00,52
2022-08-01 20:25:00,57
2022-08-01 20:26:00,52
2022-08-01 20:27:00,51
2022-08-01 20:28:00,53
2022-08-01 20:29:00,54
2022-08-01 20:30:00,56
2022-08-01 20:31:00,51
2022-08-01 20:32:00,53
2022-08-01 20:42:00,52
2022-08-01 20:43:00,58
