"Time","dt_sound_level_dB"
2022-08-01 00:05:00,45
2022-08-01 00:06:00,45
2022-08-01 00:07:00,45
2022-08-01 00:08:00,45
2022-08-01 00:09:00,45
2022-08-01 00:10:00,45
2022-08-01 00:11:00,46
2022-08-01 00:12:00,45
2022-08-01 00:13:00,45
2022-08-01 00:14:00,45
2022-08-01 00:25:00,45
2022-08-01 00:26:00,45
2022-08-01 00:27:00,45
2022-08-01 00:28:00,45
2022-08-01 00:29:00,45
2022-08-01 00:30:00,46
2022-08-01 00:31:00,45
2022-08-01 00:32:00,45
2022-08-01 00:33:00,45
2022-08-01 00:34:00,45
2022-08-01 00:45:00,45
2022-08-01 00:46:00,45
2022-08-01 00:47:00,44
2022-08-01 00:48:00,45
2022-08-01 00:49:00,45
2022-08-01 00:50:00,45
2022-08-01 00:52:00,46
2022-08-01 00:53:00,45
2022-08-01 00:54:00,45
2022-08-01 00:55:00,45
2022-08-01 01:05:00,45
2022-08-01 01:06:00,45
2022-08-01 01:07:00,45
2022-08-01 01:08:00,45
2022-08-01 01:09:00,45
2022-08-01 01:10:00,45
2022-08-01 01:11:00,45
2022-08-01 01:12:00,45
2022-08-01 01:13:00,45
2022-08-01 01:14:00,45
2022-08-01 01:35:00,45
2022-08-01 01:36:00,45
2022-08-01 01:37:00,45
2022-08-01 01:38:00,45
2022-08-01 01:39:00,45
2022-08-01 01:40:00,46
2022-08-01 01:41:00,45
2022-08-01 01:42:00,45
2022-08-01 01:43:00,45
2022-08-01 01:44:00,45
2022-08-01 01:45:00,45
2022-08-01 01:46:00,45
2022-08-01 01:47:00,45
2022-08-01 01:48:00,45
2022-08-01 01:49:00,45
2022-08-01 01:51:00,45
2022-08-01 01:52:00,45
2022-08-01 01:53:00,45
2022-08-01 01:54:00,45
2022-08-01 01:55:00,45
2022-08-01 02:05:00,45
2022-08-01 02:06:00,45
2022-08-01 02:07:00,45
2022-08-01 02:08:00,46
2022-08-01 02:09:00,45
2022-08-01 02:10:00,45
2022-08-01 02:11:00,45
2022-08-01 02:12:00,45
2022-08-01 02:13:00,45
2022-08-01 02:14:00,45
2022-08-01 03:05:00,45
2022-08-01 03:06:00,45
2022-08-01 03:07:00,45
2022-08-01 03:08:00,45
2022-08-01 03:09:00,45
2022-08-01 03:10:00,46
2022-08-01 03:11:00,45
2022-08-01 03:12:00,45
2022-08-01 03:13:00,45
2022-08-01 03:14:00,45
2022-08-01 03:15:00,45
2022-08-01 03:16:00,45
2022-08-01 03:17:00,45
2022-08-01 03:18:00,45
2022-08-01 03:19:00,45
2022-08-01 03:20:00,45
2022-08-01 03:21:00,45
2022-08-01 03:22:00,45
2022-08-01 03:23:00,46
2022-08-01 03:24:00,45
2022-08-01 03:25:00,45
2022-08-01 03:26:00,45
2022-08-01 03:27:00,45
2022-08-01 03:28:00,45
2022-08-01 03:29:00,45
2022-08-01 03:30:00,45
2022-08-01 03:31:00,45
2022-08-01 03:32:00,46
2022-08-01 03:33:00,45
2022-08-01 03:34:00,45
2022-08-01 03:35:00,45
2022-08-01 03:36:00,45
2022-08-01 03:37:00,45
2022-08-01 03:38:00,45
