"Time","dt_sound_level_dB"
2022-08-01 00:15:00,49
2022-08-01 00:16:00,51
2022-08-01 00:17:00,51
2022-08-01 00:18:00,49
2022-08-01 00:19:00,50
2022-08-01 00:20:00,52
2022-08-01 00:21:00,51
2022-08-01 00:22:00,52
2022-08-01 00:24:00,52
2022-08-01 00:35:00,48
2022-08-01 00:36:00,50
2022-08-01 00:37:00,48
2022-08-01 00:38:00,51
2022-08-01 00:39:00,50
2022-08-01 00:40:00,50
2022-08-01 00:41:00,48
2022-08-01 00:42:00,48
2022-08-01 00:43:00,48
2022-08-01 00:44:00,49
2022-08-01 00:45:00,49
2022-08-01 00:46:00,50
2022-08-01 00:47:00,50
2022-08-01 00:48:00,50
2022-08-01 00:49:00,51
2022-08-01 00:50:00,49
2022-08-01 00:51:00,49
2022-08-01 00:52:00,50
2022-08-01 00:53:00,52
2022-08-01 00:54:00,50
2022-08-01 01:15:00,50
2022-08-01 01:16:00,48
2022-08-01 01:17:00,48
2022-08-01 01:18:00,50
2022-08-01 01:19:00,51
2022-08-01 01:20:00,49
2022-08-01 01:21:00,50
2022-08-01 01:22:00,49
2022-08-01 01:23:00,51
2022-08-01 01:34:00,51
2022-08-01 01:35:00,51
2022-08-01 01:36:00,52
2022-08-01 01:38:00,49
2022-08-01 01:39:00,50
2022-08-01 01:40:00,50
2022-08-01 01:41:00,50
2022-08-01 01:42:00,49
2022-08-01 01:43:00,50
2022-08-01 01:44:00,48
2022-08-01 01:45:00,49
2022-08-01 01:46:00,49
2022-08-01 01:47:00,50
2022-08-01 01:48:00,50
2022-08-01 01:49:00,49
2022-08-01 01:50:00,48
2022-08-01 01:51:00,50
2022-08-01 01:52:00,50
2022-08-01 01:53:00,48
2022-08-01 01:54:00,49
2022-08-01 02:15:00,48
2022-08-01 02:16:00,47
2022-08-01 02:17:00,48
2022-08-01 02:18:00,49
2022-08-01 02:19:00,49
2022-08-01 02:20:00,49
2022-08-01 02:21:00,48
2022-08-01 02:23:00,48
2022-08-01 02:24:00,47
2022-08-01 03:15:00,47
2022-08-01 03:16:00,48
2022-08-01 03:17:00,48
2022-08-01 03:18:00,48
2022-08-01 03:19:00,48
2022-08-01 03:20:00,49
2022-08-01 03:21:00,48
2022-08-01 03:22:00,49
2022-08-01 03:24:00,48
2022-08-01 03:25:00,49
2022-08-01 03:26:00,48
2022-08-01 03:27:00,47
2022-08-01 03:28:00,48
2022-08-01 03:29:00,49
2022-08-01 03:30:00,48
2022-08-01 03:31:00,48
2022-08-01 03:32:00,48
2022-08-01 03:33:00,47
2022-08-01 03:34:00,49
2022-08-01 03:35:00,48
2022-08-01 03:36:00,49
2022-08-01 03:37:00,50
2022-08-01 03:38:00,50
2022-08-01 03:39:00,51
2022-08-01 03:40:00,49
2022-08-01 03:41:00,50
2022-08-01 03:42:00,48
2022-08-01 03:43:00,49
2022-08-01 03:44:00,48
2022-08-01 03:45:00,48
2022-08-01 03:46:00,49
2022-08-01 03:47:00,50
2022-08-01 03:48:00,49
2022-08-01 03:49:00,48
2022-08-01 03:50:00,49
2022-08-01 03:51:00,52
2022-08-01 03:52:00,53
2022-08-01 03:53:00,52
2022-08-01 03:54:00,51
2022-08-01 04:25:00,50
2022-08-01 04:26:00,49
2022-08-01 04:27:00,48
2022-08-01 04:28:00,50
2022-08-01 04:29:00,50
2022-08-01 04:30:00,49
2022-08-01 04:31:00,50
2022-08-01 04:32:00,48
