"Time","dt_sound_level_dB"
2022-08-01 00:00:00,46
2022-08-01 01:01:00,45
2022-08-01 01:02:00,45
2022-08-01 01:03:00,45
2022-08-01 01:04:00,45
2022-08-01 01:05:00,45
2022-08-01 01:06:00,47
2022-08-01 01:07:00,45
2022-08-01 01:08:00,45
2022-08-01 01:09:00,45
2022-08-01 01:10:00,45
2022-08-01 01:11:00,45
2022-08-01 01:12:00,47
2022-08-01 01:13:00,45
2022-08-01 01:14:00,45
2022-08-01 01:15:00,46
2022-08-01 01:16:00,44
2022-08-01 01:17:00,44
2022-08-01 01:18:00,46
2022-08-01 01:19:00,44
2022-08-01 01:20:00,45
2022-08-01 01:52:00,46
2022-08-01 01:53:00,45
2022-08-01 01:54:00,44
2022-08-01 01:55:00,44
2022-08-01 01:56:00,44
2022-08-01 01:57:00,44
2022-08-01 01:58:00,44
2022-08-01 01:59:00,45
2022-08-01 02:00:00,45
2022-08-01 02:01:00,45
2022-08-01 02:02:00,45
2022-08-01 02:03:00,45
2022-08-01 02:04:00,45
2022-08-01 02:05:00,45
2022-08-01 02:06:00,48
2022-08-01 02:07:00,47
2022-08-01 02:08:00,45
2022-08-01 02:09:00,46
2022-08-01 02:10:00,47
2022-08-01 02:31:00,46
2022-08-01 02:32:00,46
2022-08-01 02:33:00,45
2022-08-01 02:34:00,46
2022-08-01 02:36:00,45
2022-08-01 02:37:00,46
2022-08-01 02:38:00,45
2022-08-01 02:39:00,46
2022-08-01 02:40:00,45
2022-08-01 02:41:00,45
2022-08-01 02:42:00,45
2022-08-01 02:43:00,45
2022-08-01 02:44:00,45
2022-08-01 02:45:00,45
2022-08-01 02:46:00,45
2022-08-01 02:47:00,47
2022-08-01 02:48:00,45
2022-08-01 02:49:00,44
2022-08-01 02:50:00,44
2022-08-01 02:51:00,44
2022-08-01 02:52:00,45
2022-08-01 02:53:00,45
2022-08-01 02:54:00,45
2022-08-01 02:55:00,45
2022-08-01 02:56:00,45
2022-08-01 02:57:00,45
2022-08-01 02:58:00,45
2022-08-01 02:59:00,45
2022-08-01 03:00:00,45
2022-08-01 03:11:00,45
2022-08-01 03:12:00,45
2022-08-01 03:13:00,45
2022-08-01 03:14:00,44
2022-08-01 03:15:00,45
2022-08-01 03:16:00,45
2022-08-01 03:17:00,48
2022-08-01 03:18:00,45
2022-08-01 03:19:00,45
2022-08-01 03:20:00,46
2022-08-01 03:52:00,45
2022-08-01 03:53:00,45
2022-08-01 03:54:00,44
2022-08-01 03:55:00,45
2022-08-01 03:56:00,45
2022-08-01 03:57:00,45
2022-08-01 03:58:00,45
2022-08-01 03:59:00,45
2022-08-01 04:00:00,45
2022-08-01 05:11:00,45
2022-08-01 05:12:00,45
2022-08-01 05:13:00,45
2022-08-01 05:14:00,46
2022-08-01 05:15:00,45
2022-08-01 05:16:00,50
2022-08-01 05:17:00,45
2022-08-01 05:18:00,46
2022-08-01 05:19:00,46
2022-08-01 05:20:00,46
2022-08-01 05:31:00,46
2022-08-01 05:32:00,45
2022-08-01 05:33:00,45
2022-08-01 05:34:00,53
2022-08-01 05:36:00,46
2022-08-01 05:37:00,46
2022-08-01 05:38:00,46
2022-08-01 05:39:00,45
2022-08-01 05:40:00,48
2022-08-01 05:41:00,45
2022-08-01 05:42:00,48
2022-08-01 05:43:00,52
2022-08-01 05:44:00,46
2022-08-01 05:45:00,46
2022-08-01 05:46:00,52
2022-08-01 05:47:00,46
2022-08-01 05:48:00,47
2022-08-01 05:49:00,46
2022-08-01 05:50:00,45
2022-08-01 05:51:00,45
2022-08-01 05:52:00,45
2022-08-01 05:53:00,48
2022-08-01 05:54:00,46
2022-08-01 05:55:00,46
2022-08-01 05:56:00,47
2022-08-01 05:57:00,45
2022-08-01 05:58:00,48
2022-08-01 05:59:00,47
2022-08-01 06:00:00,47
2022-08-01 06:11:00,49
2022-08-01 06:12:00,51
2022-08-01 06:13:00,48
2022-08-01 06:14:00,51
2022-08-01 06:15:00,49
2022-08-01 06:16:00,48
2022-08-01 06:17:00,53
2022-08-01 06:18:00,49
2022-08-01 06:19:00,48
2022-08-01 06:20:00,47
2022-08-01 06:52:00,49
2022-08-01 06:53:00,49
2022-08-01 06:54:00,49
2022-08-01 06:55:00,50
2022-08-01 06:56:00,47
2022-08-01 06:57:00,48
2022-08-01 06:58:00,53
2022-08-01 06:59:00,50
2022-08-01 07:00:00,50
2022-08-01 07:01:00,48
2022-08-01 08:21:00,52
2022-08-01 08:22:00,52
2022-08-01 08:23:00,50
2022-08-01 08:24:00,53
2022-08-01 08:25:00,52
2022-08-01 08:26:00,51
2022-08-01 08:27:00,51
2022-08-01 08:28:00,53
2022-08-01 08:29:00,56
2022-08-01 08:30:00,55
2022-08-01 08:31:00,54
2022-08-01 08:32:00,56
2022-08-01 08:33:00,56
2022-08-01 08:34:00,51
2022-08-01 08:36:00,50
2022-08-01 08:37:00,48
2022-08-01 08:38:00,51
2022-08-01 08:39:00,54
2022-08-01 08:40:00,53
2022-08-01 08:41:00,53
2022-08-01 08:42:00,54
2022-08-01 08:43:00,53
2022-08-01 08:44:00,53
2022-08-01 08:45:00,53
2022-08-01 08:46:00,53
2022-08-01 08:47:00,56
2022-08-01 08:48:00,51
2022-08-01 08:49:00,52
2022-08-01 08:50:00,55
2022-08-01 08:51:00,55
2022-08-01 09:02:00,53
2022-08-01 09:03:00,53
2022-08-01 09:04:00,52
2022-08-01 09:05:00,51
2022-08-01 09:06:00,53
2022-08-01 09:07:00,49
2022-08-01 09:08:00,54
2022-08-01 09:09:00,52
2022-08-01 09:10:00,55
2022-08-01 10:02:00,46
2022-08-01 10:03:00,57
2022-08-01 10:04:00,55
2022-08-01 10:05:00,53
2022-08-01 10:06:00,50
2022-08-01 10:07:00,51
2022-08-01 10:08:00,52
2022-08-01 10:09:00,51
2022-08-01 10:10:00,52
2022-08-01 10:11:00,52
2022-08-01 10:12:00,56
2022-08-01 10:13:00,48
2022-08-01 10:14:00,48
2022-08-01 10:15:00,53
2022-08-01 10:16:00,48
2022-08-01 10:17:00,52
2022-08-01 10:18:00,49
2022-08-01 10:19:00,57
2022-08-01 10:20:00,51
2022-08-01 10:21:00,52
2022-08-01 10:22:00,48
2022-08-01 10:23:00,51
2022-08-01 10:24:00,50
2022-08-01 10:25:00,51
2022-08-01 10:26:00,53
2022-08-01 10:27:00,60
2022-08-01 10:28:00,60
2022-08-01 10:29:00,51
2022-08-01 10:30:00,56
2022-08-01 10:31:00,50
2022-08-01 10:32:00,52
2022-08-01 10:34:00,51
2022-08-01 10:35:00,54
2022-08-01 10:36:00,51
2022-08-01 10:37:00,57
2022-08-01 10:38:00,50
2022-08-01 10:39:00,57
2022-08-01 10:40:00,53
2022-08-01 10:41:00,55
2022-08-01 10:42:00,52
2022-08-01 10:43:00,56
2022-08-01 10:44:00,53
2022-08-01 10:45:00,51
2022-08-01 10:46:00,62
2022-08-01 10:47:00,51
2022-08-01 10:48:00,51
2022-08-01 10:49:00,54
2022-08-01 10:50:00,56
2022-08-01 10:51:00,52
2022-08-01 12:21:00,62
2022-08-01 12:22:00,64
2022-08-01 12:23:00,63
2022-08-01 12:24:00,68
2022-08-01 12:25:00,77
2022-08-01 12:26:00,71
2022-08-01 12:27:00,59
2022-08-01 12:28:00,65
2022-08-01 12:29:00,53
2022-08-01 12:30:00,56
2022-08-01 12:42:00,56
2022-08-01 12:43:00,54
2022-08-01 12:44:00,56
2022-08-01 12:45:00,62
2022-08-01 12:46:00,59
2022-08-01 12:47:00,57
2022-08-01 12:48:00,57
2022-08-01 12:49:00,54
2022-08-01 12:50:00,54
2022-08-01 12:51:00,63
2022-08-01 12:52:00,60
2022-08-01 12:53:00,58
2022-08-01 12:54:00,68
2022-08-01 12:55:00,60
2022-08-01 12:56:00,63
2022-08-01 12:57:00,56
2022-08-01 12:58:00,59
2022-08-01 12:59:00,61
2022-08-01 13:00:00,56
2022-08-01 13:01:00,59
2022-08-01 14:21:00,62
2022-08-01 14:22:00,60
2022-08-01 14:23:00,63
2022-08-01 14:24:00,56
2022-08-01 14:25:00,72
2022-08-01 14:26:00,63
2022-08-01 14:27:00,58
2022-08-01 14:28:00,58
2022-08-01 14:29:00,71
2022-08-01 14:30:00,63
2022-08-01 14:42:00,65
2022-08-01 14:43:00,60
2022-08-01 14:44:00,68
2022-08-01 14:45:00,69
2022-08-01 14:46:00,67
2022-08-01 14:47:00,59
2022-08-01 14:48:00,71
2022-08-01 14:49:00,63
2022-08-01 14:50:00,57
2022-08-01 14:51:00,59
2022-08-01 16:02:00,60
2022-08-01 16:03:00,58
2022-08-01 16:04:00,58
2022-08-01 16:05:00,57
2022-08-01 16:06:00,60
2022-08-01 16:07:00,62
2022-08-01 16:08:00,63
2022-08-01 16:09:00,66
2022-08-01 16:10:00,75
2022-08-01 16:42:00,61
2022-08-01 16:43:00,71
2022-08-01 16:44:00,62
2022-08-01 16:45:00,56
2022-08-01 16:46:00,67
2022-08-01 16:47:00,67
2022-08-01 16:48:00,78
2022-08-01 16:49:00,63
2022-08-01 16:50:00,60
2022-08-01 16:51:00,62
2022-08-01 18:52:00,52
2022-08-01 18:53:00,59
