"Time","dt_sound_level_dB"
2022-08-01 11:14:00,53
2022-08-01 11:15:00,51
2022-08-01 11:16:00,52
2022-08-01 11:17:00,49
2022-08-01 11:18:00,55
2022-08-01 11:19:00,54
2022-08-01 11:20:00,47
2022-08-01 11:21:00,50
2022-08-01 11:22:00,51
2022-08-01 11:23:00,54
2022-08-01 11:35:00,50
2022-08-01 11:36:00,57
2022-08-01 11:37:00,50
2022-08-01 11:38:00,49
2022-08-01 11:39:00,48
2022-08-01 11:40:00,51
2022-08-01 11:41:00,52
2022-08-01 11:43:00,54
2022-08-01 11:44:00,56
2022-08-01 11:45:00,50
2022-08-01 11:46:00,55
2022-08-01 11:47:00,54
2022-08-01 11:48:00,51
2022-08-01 11:49:00,50
2022-08-01 11:50:00,53
2022-08-01 11:51:00,50
2022-08-01 11:53:00,48
2022-08-01 13:24:00,58
2022-08-01 13:25:00,56
2022-08-01 13:26:00,54
2022-08-01 13:27:00,55
2022-08-01 13:28:00,56
2022-08-01 13:29:00,57
2022-08-01 13:30:00,50
2022-08-01 13:31:00,52
2022-08-01 13:33:00,50
2022-08-01 13:34:00,57
2022-08-01 15:04:00,57
2022-08-01 15:05:00,52
2022-08-01 15:06:00,55
2022-08-01 15:07:00,55
2022-08-01 15:08:00,62
2022-08-01 15:09:00,60
2022-08-01 15:10:00,54
2022-08-01 15:11:00,54
2022-08-01 15:12:00,59
2022-08-01 15:13:00,55
2022-08-01 15:24:00,56
2022-08-01 15:25:00,52
2022-08-01 15:26:00,61
2022-08-01 15:27:00,54
2022-08-01 15:28:00,56
2022-08-01 15:30:00,54
2022-08-01 15:30:00,56
2022-08-01 15:31:00,60
2022-08-01 15:32:00,59
2022-08-01 15:34:00,54
2022-08-01 16:14:00,48
2022-08-01 16:15:00,55
2022-08-01 16:16:00,57
2022-08-01 16:17:00,58
2022-08-01 16:18:00,56
2022-08-01 16:19:00,58
2022-08-01 16:20:00,57
2022-08-01 16:21:00,54
2022-08-01 16:22:00,53
2022-08-01 16:23:00,53
2022-08-01 21:14:00,54
2022-08-01 21:15:00,54
2022-08-01 21:16:00,49
2022-08-01 21:17:00,52
2022-08-01 21:18:00,48
2022-08-01 21:19:00,47
2022-08-01 21:20:00,46
2022-08-01 21:21:00,52
2022-08-01 21:22:00,58
2022-08-01 21:23:00,55
2022-08-01 23:04:00,49
2022-08-01 23:05:00,50
2022-08-01 23:06:00,48
2022-08-01 23:07:00,49
2022-08-01 23:08:00,47
2022-08-01 23:09:00,45
2022-08-01 23:10:00,44
2022-08-01 23:11:00,46
2022-08-01 23:12:00,50
2022-08-01 23:13:00,45
2022-08-02 07:24:00,50
2022-08-02 07:25:00,54
2022-08-02 07:26:00,54
2022-08-02 07:27:00,53
2022-08-02 07:28:00,47
2022-08-02 07:29:00,50
2022-08-02 07:31:00,50
2022-08-02 07:31:00,53
2022-08-02 07:33:00,49
2022-08-02 07:34:00,49
2022-08-02 07:55:00,53
2022-08-02 07:56:00,51
2022-08-02 07:56:00,54
2022-08-02 07:57:00,58
2022-08-02 07:59:00,55
2022-08-02 08:00:00,52
2022-08-02 08:00:00,54
2022-08-02 08:01:00,46
2022-08-02 08:02:00,54
2022-08-02 08:24:00,53
2022-08-02 08:25:00,56
2022-08-02 08:26:00,55
2022-08-02 08:27:00,65
2022-08-02 08:28:00,52
2022-08-02 08:29:00,49
2022-08-02 08:30:00,55
2022-08-02 08:31:00,57
2022-08-02 08:32:00,54
2022-08-02 08:33:00,54
2022-08-02 11:04:00,54
2022-08-02 11:05:00,56
2022-08-02 11:06:00,55
2022-08-02 11:07:00,53
2022-08-02 11:08:00,52
2022-08-02 11:09:00,51
2022-08-02 11:10:00,50
2022-08-02 11:11:00,59
2022-08-02 11:12:00,56
2022-08-02 11:13:00,55
2022-08-02 11:55:00,54
2022-08-02 11:56:00,54
2022-08-02 11:57:00,50
2022-08-02 11:58:00,51
2022-08-02 11:59:00,56
2022-08-02 12:00:00,53
2022-08-02 12:01:00,53
2022-08-02 12:02:00,50
2022-08-02 12:03:00,51
2022-08-02 12:04:00,55
2022-08-02 12:14:00,51
2022-08-02 12:15:00,52
2022-08-02 12:16:00,56
2022-08-02 12:17:00,54
2022-08-02 12:18:00,52
2022-08-02 12:19:00,56
2022-08-02 12:20:00,57
2022-08-02 12:21:00,51
2022-08-02 12:23:00,57
2022-08-02 12:24:00,55
2022-08-02 12:25:00,52
2022-08-02 12:26:00,53
2022-08-02 12:27:00,51
2022-08-02 12:28:00,53
2022-08-02 12:29:00,56
2022-08-02 12:30:00,54
2022-08-02 12:31:00,56
2022-08-02 12:32:00,53
2022-08-02 12:33:00,55
2022-08-02 12:34:00,57
2022-08-02 12:35:00,52
2022-08-02 12:36:00,51
2022-08-02 12:37:00,56
2022-08-02 12:38:00,54
2022-08-02 12:39:00,54
2022-08-02 12:40:00,55
2022-08-02 12:41:00,54
2022-08-02 12:42:00,52
2022-08-02 12:43:00,51
2022-08-02 12:44:00,53
2022-08-02 13:35:00,53
2022-08-02 13:36:00,55
2022-08-02 13:37:00,55
2022-08-02 13:38:00,52
2022-08-02 13:39:00,58
2022-08-02 13:40:00,59
2022-08-02 13:41:00,58
2022-08-02 13:42:00,53
2022-08-02 13:43:00,56
2022-08-02 13:44:00,55
2022-08-02 18:35:00,61
2022-08-02 18:36:00,53
2022-08-02 18:37:00,50
2022-08-02 18:38:00,53
2022-08-02 18:39:00,52
2022-08-02 18:40:00,58
2022-08-02 18:41:00,56
2022-08-02 18:42:00,51
2022-08-02 18:43:00,52
2022-08-02 18:44:00,52
2022-08-02 19:55:00,52
2022-08-02 19:56:00,52
2022-08-02 19:57:00,54
2022-08-02 19:58:00,56
2022-08-02 19:59:00,53
2022-08-02 20:00:00,56
2022-08-02 20:01:00,53
2022-08-02 20:02:00,50
2022-08-02 20:03:00,54
2022-08-02 20:04:00,53
2022-08-02 20:14:00,58
2022-08-02 20:15:00,50
2022-08-02 20:16:00,49
2022-08-02 20:18:00,48
2022-08-02 20:19:00,51
2022-08-02 20:20:00,57
2022-08-02 20:21:00,54
2022-08-02 20:21:00,56
2022-08-02 20:22:00,51
2022-08-02 20:23:00,56
2022-08-02 21:55:00,48
2022-08-02 21:56:00,52
2022-08-02 21:57:00,52
2022-08-02 21:58:00,50
2022-08-02 21:59:00,50
2022-08-02 22:00:00,49
2022-08-02 22:01:00,50
2022-08-02 22:02:00,52
2022-08-02 22:03:00,50
2022-08-02 22:04:00,51
2022-08-02 23:55:00,48
2022-08-02 23:56:00,47
2022-08-02 23:57:00,44
2022-08-02 23:58:00,45
2022-08-02 23:59:00,44
2022-08-03 00:00:00,44
2022-08-03 00:01:00,46
2022-08-03 00:02:00,47
2022-08-03 00:03:00,48
2022-08-03 00:04:00,52
2022-08-03 00:15:00,44
2022-08-03 00:16:00,53
2022-08-03 00:17:00,49
2022-08-03 00:18:00,51
2022-08-03 00:19:00,44
2022-08-03 00:20:00,47
2022-08-03 00:21:00,46
2022-08-03 00:22:00,48
2022-08-03 00:23:00,46
2022-08-03 01:15:00,44
2022-08-03 01:16:00,44
2022-08-03 01:17:00,44
2022-08-03 01:18:00,49
2022-08-03 01:19:00,47
2022-08-03 01:20:00,47
2022-08-03 01:21:00,58
2022-08-03 01:22:00,46
2022-08-03 01:23:00,45
2022-08-03 01:35:00,44
2022-08-03 01:36:00,44
2022-08-03 01:37:00,44
2022-08-03 01:38:00,48
2022-08-03 01:39:00,44
2022-08-03 01:40:00,45
2022-08-03 01:41:00,44
2022-08-03 01:42:00,44
2022-08-03 01:43:00,44
2022-08-03 01:44:00,44
2022-08-03 01:45:00,44
2022-08-03 01:46:00,44
2022-08-03 01:47:00,44
2022-08-03 01:48:00,44
2022-08-03 01:49:00,45
2022-08-03 01:50:00,45
2022-08-03 01:51:00,45
2022-08-03 01:52:00,44
2022-08-03 01:53:00,44
2022-08-03 01:54:00,44
2022-08-03 03:24:00,44
2022-08-03 03:25:00,44
2022-08-03 03:26:00,44
2022-08-03 03:27:00,44
2022-08-03 03:28:00,44
2022-08-03 03:29:00,44
2022-08-03 03:30:00,44
2022-08-03 03:31:00,45
2022-08-03 03:33:00,44
2022-08-03 03:45:00,46
2022-08-03 03:46:00,46
2022-08-03 03:47:00,45
2022-08-03 03:48:00,47
2022-08-03 03:49:00,45
2022-08-03 03:50:00,45
2022-08-03 03:51:00,44
2022-08-03 03:52:00,44
2022-08-03 03:53:00,44
2022-08-03 03:54:00,44
