"Time","dt_sound_level_dB"
2022-08-01 00:07:00,48
2022-08-01 00:08:00,49
2022-08-01 00:09:00,51
2022-08-01 00:10:00,48
2022-08-01 00:12:00,48
2022-08-01 00:13:00,46
2022-08-01 00:14:00,45
2022-08-01 00:15:00,47
2022-08-01 00:16:00,47
2022-08-01 00:17:00,47
2022-08-01 00:18:00,46
2022-08-01 00:19:00,45
2022-08-01 00:20:00,46
2022-08-01 00:21:00,45
2022-08-01 00:22:00,45
2022-08-01 00:23:00,47
2022-08-01 00:24:00,44
2022-08-01 00:25:00,46
2022-08-01 00:26:00,46
2022-08-01 00:27:00,47
2022-08-01 02:57:00,45
2022-08-01 02:58:00,45
2022-08-01 02:59:00,44
2022-08-01 03:00:00,46
2022-08-01 03:01:00,45
2022-08-01 03:02:00,45
2022-08-01 03:03:00,44
2022-08-01 03:04:00,44
2022-08-01 03:05:00,44
2022-08-01 03:06:00,44
2022-08-01 03:28:00,46
2022-08-01 03:29:00,45
2022-08-01 03:30:00,45
2022-08-01 03:31:00,44
2022-08-01 03:32:00,47
2022-08-01 03:33:00,45
2022-08-01 03:34:00,44
2022-08-01 03:35:00,45
2022-08-01 03:36:00,44
2022-08-01 03:37:00,44
2022-08-01 03:57:00,45
2022-08-01 03:58:00,45
2022-08-01 03:59:00,45
2022-08-01 04:00:00,44
2022-08-01 04:01:00,45
2022-08-01 04:02:00,44
2022-08-01 04:03:00,44
2022-08-01 04:04:00,44
2022-08-01 04:05:00,44
2022-08-01 04:06:00,44
2022-08-01 04:18:00,44
2022-08-01 04:19:00,44
2022-08-01 04:20:00,45
2022-08-01 04:21:00,44
2022-08-01 04:22:00,45
2022-08-01 04:23:00,44
2022-08-01 04:24:00,44
2022-08-01 04:25:00,44
2022-08-01 04:26:00,45
2022-08-01 04:27:00,44
2022-08-01 04:28:00,45
2022-08-01 04:29:00,47
2022-08-01 04:30:00,46
2022-08-01 04:31:00,45
2022-08-01 04:32:00,44
2022-08-01 04:33:00,45
2022-08-01 04:34:00,47
2022-08-01 04:35:00,46
2022-08-01 04:36:00,44
2022-08-01 04:37:00,46
2022-08-01 04:48:00,46
2022-08-01 04:49:00,45
2022-08-01 04:50:00,44
2022-08-01 04:51:00,45
2022-08-01 04:52:00,45
2022-08-01 04:53:00,45
2022-08-01 04:54:00,45
2022-08-01 04:55:00,47
2022-08-01 04:56:00,45
2022-08-01 07:18:00,47
2022-08-01 07:19:00,49
2022-08-01 07:20:00,50
2022-08-01 07:21:00,49
2022-08-01 07:22:00,48
2022-08-01 07:23:00,48
2022-08-01 07:24:00,47
2022-08-01 07:25:00,49
2022-08-01 07:26:00,46
2022-08-01 07:27:00,46
2022-08-01 07:48:00,54
2022-08-01 07:49:00,48
2022-08-01 07:50:00,47
2022-08-01 07:51:00,50
2022-08-01 07:52:00,50
2022-08-01 07:53:00,50
2022-08-01 07:54:00,49
2022-08-01 07:55:00,50
2022-08-01 07:56:00,47
2022-08-01 07:57:00,47
2022-08-01 08:07:00,52
2022-08-01 08:08:00,51
2022-08-01 08:10:00,49
2022-08-01 08:11:00,50
2022-08-01 08:12:00,49
2022-08-01 08:13:00,51
2022-08-01 08:14:00,48
2022-08-01 08:15:00,51
2022-08-01 08:16:00,52
2022-08-01 08:17:00,48
2022-08-01 08:18:00,51
2022-08-01 08:19:00,49
2022-08-01 08:20:00,50
2022-08-01 08:21:00,48
2022-08-01 08:22:00,49
2022-08-01 08:23:00,48
2022-08-01 08:24:00,47
2022-08-01 08:25:00,47
2022-08-01 08:26:00,47
2022-08-01 08:27:00,49
2022-08-01 08:28:00,51
2022-08-01 08:29:00,49
2022-08-01 08:30:00,49
2022-08-01 08:31:00,49
2022-08-01 08:32:00,50
2022-08-01 08:33:00,48
2022-08-01 08:34:00,49
2022-08-01 08:35:00,47
2022-08-01 08:36:00,47
2022-08-01 08:37:00,51
2022-08-01 08:58:00,49
2022-08-01 08:59:00,49
2022-08-01 09:00:00,47
2022-08-01 09:01:00,52
2022-08-01 09:02:00,50
2022-08-01 09:03:00,47
2022-08-01 09:04:00,49
2022-08-01 09:05:00,49
2022-08-01 09:06:00,50
2022-08-01 09:18:00,55
2022-08-01 09:19:00,49
2022-08-01 09:20:00,49
2022-08-01 09:21:00,53
2022-08-01 09:22:00,49
2022-08-01 09:23:00,50
2022-08-01 09:24:00,47
2022-08-01 09:25:00,47
2022-08-01 09:26:00,48
2022-08-01 09:27:00,48
2022-08-01 09:38:00,49
2022-08-01 09:39:00,48
2022-08-01 09:40:00,46
2022-08-01 09:41:00,47
2022-08-01 09:42:00,47
2022-08-01 09:43:00,51
2022-08-01 09:44:00,49
2022-08-01 09:45:00,47
2022-08-01 09:46:00,47
2022-08-01 09:47:00,48
2022-08-01 12:18:00,53
2022-08-01 12:19:00,56
2022-08-01 12:20:00,51
2022-08-01 12:21:00,50
2022-08-01 12:22:00,57
2022-08-01 12:23:00,47
2022-08-01 12:24:00,49
2022-08-01 12:25:00,56
2022-08-01 12:26:00,48
2022-08-01 12:27:00,55
2022-08-01 12:28:00,55
2022-08-01 12:29:00,47
2022-08-01 12:30:00,46
2022-08-01 12:31:00,48
2022-08-01 12:32:00,47
2022-08-01 12:33:00,56
2022-08-01 12:34:00,51
2022-08-01 12:35:00,58
2022-08-01 12:36:00,51
2022-08-01 12:37:00,50
2022-08-01 13:18:00,49
2022-08-01 13:19:00,48
2022-08-01 13:20:00,48
2022-08-01 13:21:00,47
2022-08-01 13:22:00,52
2022-08-01 13:23:00,49
2022-08-01 13:24:00,50
2022-08-01 13:25:00,47
2022-08-01 13:26:00,52
2022-08-01 13:27:00,49
2022-08-01 13:28:00,54
2022-08-01 13:29:00,53
2022-08-01 13:30:00,48
2022-08-01 13:31:00,48
2022-08-01 13:32:00,49
2022-08-01 13:33:00,48
2022-08-01 13:34:00,49
2022-08-01 13:35:00,53
2022-08-01 13:36:00,46
2022-08-01 13:37:00,58
2022-08-01 13:38:00,49
2022-08-01 13:39:00,47
2022-08-01 13:40:00,52
2022-08-01 13:41:00,51
2022-08-01 13:42:00,51
2022-08-01 13:43:00,55
2022-08-01 13:44:00,60
2022-08-01 13:45:00,50
2022-08-01 13:46:00,54
2022-08-01 13:47:00,58
2022-08-01 13:48:00,47
2022-08-01 13:49:00,47
2022-08-01 13:50:00,50
2022-08-01 13:51:00,58
2022-08-01 13:52:00,56
2022-08-01 13:53:00,53
2022-08-01 13:54:00,56
2022-08-01 13:55:00,51
2022-08-01 13:56:00,66
2022-08-01 13:57:00,58
2022-08-01 19:18:00,47
2022-08-01 19:19:00,45
2022-08-01 19:20:00,46
2022-08-01 19:21:00,46
2022-08-01 19:22:00,46
2022-08-01 19:23:00,48
2022-08-01 19:24:00,45
2022-08-01 19:25:00,47
2022-08-01 19:26:00,48
2022-08-01 19:27:00,49
2022-08-01 19:28:00,49
2022-08-01 19:29:00,48
2022-08-01 19:30:00,48
2022-08-01 19:31:00,47
2022-08-01 19:32:00,49
2022-08-01 19:33:00,47
2022-08-01 19:34:00,51
2022-08-01 19:35:00,50
2022-08-01 19:36:00,46
