"Time","dt_sound_level_dB"
2022-08-01 00:17:00,47
2022-08-01 00:18:00,47
2022-08-01 00:19:00,46
2022-08-01 00:20:00,46
2022-08-01 00:21:00,47
2022-08-01 00:22:00,46
2022-08-01 00:23:00,47
2022-08-01 00:24:00,46
2022-08-01 00:25:00,47
2022-08-01 00:26:00,47
2022-08-01 00:37:00,48
2022-08-01 00:38:00,48
2022-08-01 00:39:00,47
2022-08-01 00:40:00,47
2022-08-01 00:41:00,47
2022-08-01 00:42:00,48
2022-08-01 00:43:00,47
2022-08-01 00:44:00,46
2022-08-01 00:45:00,47
2022-08-01 00:46:00,47
2022-08-01 00:47:00,47
2022-08-01 00:48:00,47
2022-08-01 00:49:00,48
2022-08-01 00:50:00,47
2022-08-01 00:51:00,47
2022-08-01 00:52:00,47
2022-08-01 00:53:00,47
2022-08-01 00:54:00,47
2022-08-01 00:55:00,46
2022-08-01 01:17:00,48
2022-08-01 01:18:00,47
2022-08-01 01:19:00,47
2022-08-01 01:20:00,46
2022-08-01 01:21:00,46
2022-08-01 01:22:00,47
2022-08-01 01:23:00,46
2022-08-01 01:24:00,46
2022-08-01 01:25:00,47
2022-08-01 01:26:00,47
2022-08-01 01:56:00,46
2022-08-01 01:58:00,47
2022-08-01 01:59:00,47
2022-08-01 02:00:00,48
2022-08-01 02:01:00,47
2022-08-01 02:02:00,47
2022-08-01 02:03:00,48
2022-08-01 02:04:00,48
2022-08-01 02:05:00,49
2022-08-01 02:06:00,50
2022-08-01 02:07:00,48
2022-08-01 02:08:00,47
2022-08-01 02:09:00,48
2022-08-01 02:10:00,47
2022-08-01 02:11:00,47
2022-08-01 02:12:00,47
2022-08-01 02:13:00,48
2022-08-01 02:14:00,46
2022-08-01 02:15:00,47
2022-08-01 02:16:00,47
2022-08-01 04:07:00,47
2022-08-01 04:08:00,48
2022-08-01 04:09:00,46
2022-08-01 04:10:00,48
2022-08-01 04:11:00,46
2022-08-01 04:12:00,46
2022-08-01 04:13:00,47
2022-08-01 04:14:00,46
2022-08-01 04:15:00,47
2022-08-01 04:16:00,48
2022-08-01 04:56:00,47
2022-08-01 04:57:00,48
2022-08-01 04:58:00,47
2022-08-01 04:59:00,47
2022-08-01 05:01:00,47
2022-08-01 05:02:00,48
2022-08-01 05:03:00,50
2022-08-01 05:04:00,47
2022-08-01 05:05:00,47
2022-08-01 05:06:00,50
2022-08-01 05:07:00,47
2022-08-01 05:08:00,47
2022-08-01 05:09:00,47
2022-08-01 05:10:00,47
2022-08-01 05:11:00,48
2022-08-01 05:12:00,48
2022-08-01 05:13:00,49
2022-08-01 05:14:00,48
2022-08-01 05:15:00,48
2022-08-01 05:16:00,48
2022-08-01 07:21:00,47
2022-08-01 07:22:00,47
2022-08-01 07:23:00,48
2022-08-01 07:24:00,47
2022-08-01 07:25:00,47
