"Time","dt_sound_level_dB"
2022-08-01 00:00:00,55
2022-08-01 00:01:00,55
2022-08-01 00:02:00,56
2022-08-01 00:03:00,52
2022-08-01 00:04:00,54
2022-08-01 00:05:00,51
2022-08-01 00:26:00,55
2022-08-01 00:27:00,55
2022-08-01 00:28:00,47
2022-08-01 00:29:00,53
2022-08-01 00:30:00,54
2022-08-01 00:31:00,54
2022-08-01 00:32:00,53
2022-08-01 00:33:00,57
2022-08-01 00:34:00,56
2022-08-01 00:35:00,54
2022-08-01 00:46:00,52
2022-08-01 00:47:00,53
2022-08-01 00:48:00,54
2022-08-01 00:49:00,56
2022-08-01 00:50:00,52
2022-08-01 00:51:00,52
2022-08-01 00:52:00,53
2022-08-01 00:53:00,54
2022-08-01 00:54:00,49
2022-08-01 00:55:00,51
2022-08-01 01:46:00,51
2022-08-01 01:47:00,49
2022-08-01 01:48:00,45
2022-08-01 01:49:00,53
2022-08-01 01:50:00,44
2022-08-01 01:51:00,47
2022-08-01 01:52:00,53
2022-08-01 01:53:00,51
2022-08-01 01:54:00,52
2022-08-01 01:55:00,44
2022-08-01 02:06:00,53
2022-08-01 02:07:00,51
2022-08-01 02:08:00,45
2022-08-01 02:09:00,48
2022-08-01 02:10:00,45
2022-08-01 02:11:00,45
2022-08-01 02:13:00,51
2022-08-01 02:14:00,56
2022-08-01 02:15:00,52
2022-08-01 06:26:00,57
2022-08-01 06:27:00,59
2022-08-01 06:28:00,58
2022-08-01 06:29:00,60
2022-08-01 06:30:00,59
2022-08-01 06:31:00,59
2022-08-01 06:32:00,60
2022-08-01 06:33:00,55
2022-08-01 06:34:00,60
2022-08-01 06:35:00,61
2022-08-01 08:36:00,61
2022-08-01 08:37:00,64
2022-08-01 08:38:00,64
2022-08-01 08:39:00,67
2022-08-01 08:40:00,65
2022-08-01 08:41:00,65
2022-08-01 08:42:00,62
2022-08-01 08:43:00,63
2022-08-01 08:44:00,64
2022-08-01 08:45:00,63
2022-08-01 08:46:00,66
2022-08-01 08:47:00,64
2022-08-01 08:48:00,61
2022-08-01 08:49:00,59
2022-08-01 08:50:00,62
2022-08-01 08:51:00,60
2022-08-01 08:52:00,67
2022-08-01 08:53:00,65
2022-08-01 08:54:00,63
2022-08-01 08:55:00,64
2022-08-01 14:26:00,65
2022-08-01 14:27:00,60
2022-08-01 14:28:00,60
2022-08-01 14:29:00,61
2022-08-01 14:30:00,63
2022-08-01 14:31:00,66
2022-08-01 14:32:00,64
2022-08-01 14:33:00,65
2022-08-01 14:34:00,64
2022-08-01 14:35:00,65
2022-08-01 14:36:00,61
2022-08-01 14:37:00,59
2022-08-01 14:38:00,64
2022-08-01 14:39:00,62
2022-08-01 14:40:00,68
2022-08-01 14:41:00,64
2022-08-01 14:42:00,63
2022-08-01 14:43:00,60
2022-08-01 14:44:00,62
2022-08-01 14:45:00,66
2022-08-01 15:06:00,66
2022-08-01 15:07:00,66
2022-08-01 15:08:00,62
2022-08-01 15:09:00,64
2022-08-01 15:10:00,59
2022-08-01 15:11:00,64
2022-08-01 15:12:00,66
2022-08-01 15:13:00,68
2022-08-01 15:14:00,61
2022-08-01 15:15:00,59
2022-08-01 16:56:00,65
2022-08-01 16:57:00,66
2022-08-01 16:58:00,64
2022-08-01 16:59:00,71
2022-08-01 17:00:00,68
2022-08-01 17:01:00,62
2022-08-01 17:02:00,61
2022-08-01 17:03:00,66
2022-08-01 17:04:00,66
2022-08-01 17:05:00,69
2022-08-01 21:11:00,58
2022-08-01 21:12:00,58
2022-08-01 21:13:00,63
2022-08-01 21:14:00,61
2022-08-01 21:15:00,63
2022-08-01 21:16:00,60
2022-08-01 21:17:00,58
2022-08-01 21:18:00,60
2022-08-01 21:19:00,60
2022-08-01 21:20:00,59
2022-08-01 22:01:00,62
2022-08-01 22:02:00,55
2022-08-01 22:03:00,63
2022-08-01 22:04:00,58
2022-08-01 22:05:00,59
2022-08-01 22:06:00,58
2022-08-01 22:07:00,57
2022-08-01 22:08:00,58
2022-08-01 22:09:00,56
2022-08-01 22:10:00,57
2022-08-01 23:11:00,63
2022-08-01 23:12:00,57
2022-08-01 23:13:00,50
2022-08-01 23:14:00,57
2022-08-01 23:15:00,63
2022-08-01 23:16:00,52
2022-08-01 23:17:00,61
2022-08-01 23:18:00,58
2022-08-01 23:19:00,51
2022-08-01 23:20:00,52
2022-08-02 01:42:00,50
2022-08-02 01:43:00,54
2022-08-02 01:44:00,54
2022-08-02 01:45:00,57
2022-08-02 01:46:00,49
2022-08-02 01:47:00,51
2022-08-02 01:48:00,50
2022-08-02 01:49:00,51
2022-08-02 01:50:00,57
2022-08-02 01:51:00,61
2022-08-02 01:52:00,55
2022-08-02 01:53:00,47
2022-08-02 01:54:00,46
2022-08-02 01:55:00,52
2022-08-02 01:56:00,47
2022-08-02 01:57:00,50
2022-08-02 01:58:00,55
2022-08-02 01:59:00,54
2022-08-02 02:00:00,57
2022-08-02 02:31:00,58
2022-08-02 02:32:00,53
2022-08-02 02:33:00,49
2022-08-02 02:34:00,57
2022-08-02 02:35:00,54
2022-08-02 02:36:00,56
2022-08-02 02:37:00,51
2022-08-02 02:38:00,47
2022-08-02 02:39:00,49
2022-08-02 02:40:00,52
2022-08-02 02:41:00,48
2022-08-02 02:42:00,55
2022-08-02 02:43:00,62
2022-08-02 02:45:00,55
2022-08-02 02:46:00,57
2022-08-02 02:47:00,55
2022-08-02 02:48:00,55
