"Time","dt_sound_level_dB"
2022-08-01 00:00:00,51
2022-08-01 00:02:00,55
2022-08-01 01:12:00,47
2022-08-01 01:13:00,49
2022-08-01 01:14:00,48
2022-08-01 01:15:00,46
2022-08-01 01:16:00,47
2022-08-01 01:17:00,46
2022-08-01 01:18:00,46
2022-08-01 01:19:00,46
2022-08-01 01:20:00,47
2022-08-01 01:21:00,48
2022-08-01 08:42:00,53
2022-08-01 08:43:00,50
2022-08-01 08:44:00,54
2022-08-01 08:45:00,55
2022-08-01 08:46:00,50
2022-08-01 08:47:00,58
2022-08-01 08:48:00,53
2022-08-01 08:49:00,52
2022-08-01 08:50:00,55
2022-08-01 08:51:00,59
2022-08-01 12:23:00,52
2022-08-01 12:24:00,55
2022-08-01 12:25:00,54
2022-08-01 12:26:00,56
2022-08-01 12:27:00,54
2022-08-01 12:28:00,57
2022-08-01 12:29:00,55
2022-08-01 12:30:00,55
2022-08-01 12:31:00,55
2022-08-01 12:32:00,58
2022-08-01 12:33:00,54
2022-08-01 12:34:00,58
2022-08-01 12:35:00,55
2022-08-01 12:36:00,54
2022-08-01 12:37:00,56
2022-08-01 12:38:00,55
2022-08-01 12:39:00,55
2022-08-01 12:40:00,54
2022-08-01 12:41:00,55
2022-08-01 12:42:00,54
2022-08-01 12:43:00,54
2022-08-01 12:44:00,54
2022-08-01 12:45:00,56
2022-08-01 12:46:00,52
2022-08-01 12:47:00,53
2022-08-01 12:48:00,52
2022-08-01 12:49:00,51
2022-08-01 12:50:00,56
2022-08-01 12:51:00,54
2022-08-01 13:23:00,59
2022-08-01 13:24:00,56
2022-08-01 13:25:00,56
2022-08-01 13:26:00,51
2022-08-01 13:27:00,56
2022-08-01 13:28:00,55
2022-08-01 13:29:00,54
2022-08-01 13:30:00,56
2022-08-01 13:31:00,55
2022-08-01 13:42:00,54
2022-08-01 13:43:00,59
2022-08-01 13:44:00,56
2022-08-01 13:45:00,58
2022-08-01 13:46:00,53
2022-08-01 13:47:00,52
2022-08-01 13:48:00,62
2022-08-01 13:49:00,55
2022-08-01 13:50:00,56
2022-08-01 13:51:00,57
2022-08-01 17:03:00,59
2022-08-01 17:04:00,57
2022-08-01 17:05:00,55
2022-08-01 17:06:00,58
2022-08-01 17:07:00,58
2022-08-01 17:08:00,57
2022-08-01 17:09:00,56
2022-08-01 17:10:00,58
2022-08-01 17:11:00,55
2022-08-01 17:12:00,54
2022-08-01 19:42:00,54
2022-08-01 19:43:00,54
2022-08-01 19:44:00,48
2022-08-01 19:45:00,53
2022-08-01 19:46:00,53
2022-08-01 19:47:00,50
2022-08-01 19:48:00,54
2022-08-01 19:49:00,49
2022-08-01 19:50:00,51
2022-08-01 19:51:00,53
2022-08-01 21:32:00,50
2022-08-01 21:33:00,48
