"Time","dt_sound_level_dB"
2022-08-01 00:26:00,45
2022-08-01 00:27:00,45
2022-08-01 00:28:00,45
2022-08-01 00:29:00,45
2022-08-01 00:30:00,45
2022-08-01 00:31:00,46
2022-08-01 00:32:00,45
2022-08-01 00:33:00,45
2022-08-01 00:34:00,45
2022-08-01 00:45:00,45
2022-08-01 00:46:00,45
2022-08-01 00:47:00,45
2022-08-01 00:48:00,45
2022-08-01 00:49:00,45
2022-08-01 00:50:00,46
2022-08-01 00:51:00,46
2022-08-01 00:52:00,45
2022-08-01 00:53:00,45
2022-08-01 00:54:00,45
2022-08-01 00:55:00,46
2022-08-01 00:56:00,45
2022-08-01 00:57:00,45
2022-08-01 00:58:00,46
2022-08-01 00:59:00,45
2022-08-01 01:00:00,45
2022-08-01 01:01:00,46
2022-08-01 01:02:00,45
2022-08-01 01:03:00,45
2022-08-01 01:04:00,45
2022-08-01 01:05:00,45
2022-08-01 01:06:00,45
2022-08-01 01:07:00,45
2022-08-01 01:08:00,45
2022-08-01 01:09:00,45
2022-08-01 01:10:00,45
2022-08-01 01:11:00,45
2022-08-01 01:12:00,46
2022-08-01 01:13:00,45
2022-08-01 01:14:00,45
2022-08-01 01:35:00,45
2022-08-01 01:36:00,45
2022-08-01 01:37:00,46
2022-08-01 01:38:00,45
2022-08-01 01:39:00,45
2022-08-01 01:40:00,45
2022-08-01 01:41:00,45
2022-08-01 01:42:00,45
2022-08-01 01:43:00,45
2022-08-01 01:44:00,45
2022-08-01 01:45:00,46
2022-08-01 01:46:00,46
2022-08-01 01:47:00,45
2022-08-01 01:48:00,45
2022-08-01 01:49:00,45
2022-08-01 01:50:00,45
2022-08-01 01:51:00,45
2022-08-01 01:52:00,45
2022-08-01 01:53:00,45
2022-08-01 01:54:00,45
2022-08-01 02:15:00,45
2022-08-01 02:16:00,45
2022-08-01 02:17:00,46
2022-08-01 02:18:00,45
2022-08-01 02:19:00,46
2022-08-01 02:20:00,46
2022-08-01 02:21:00,46
2022-08-01 02:22:00,46
2022-08-01 02:23:00,45
2022-08-01 02:24:00,45
2022-08-01 04:55:00,45
2022-08-01 04:56:00,45
2022-08-01 04:57:00,45
2022-08-01 04:58:00,45
2022-08-01 04:59:00,46
2022-08-01 05:00:00,45
2022-08-01 05:01:00,46
2022-08-01 05:02:00,45
2022-08-01 05:03:00,45
2022-08-01 05:04:00,45
2022-08-01 07:25:00,46
2022-08-01 07:26:00,45
2022-08-01 07:27:00,45
2022-08-01 07:28:00,45
2022-08-01 07:29:00,45
2022-08-01 07:30:00,46
2022-08-01 07:31:00,46
2022-08-01 07:32:00,46
2022-08-01 07:33:00,46
2022-08-01 07:34:00,46
2022-08-01 07:35:00,45
2022-08-01 07:37:00,45
