"Time","dt_sound_level_dB"
2022-08-01 00:29:00,50
2022-08-01 00:30:00,52
2022-08-01 00:31:00,48
2022-08-01 00:32:00,49
2022-08-01 00:33:00,53
2022-08-01 00:34:00,52
2022-08-01 00:35:00,56
2022-08-01 00:36:00,52
2022-08-01 00:37:00,59
2022-08-01 00:38:00,50
2022-08-01 01:08:00,50
2022-08-01 01:09:00,56
2022-08-01 01:10:00,59
2022-08-01 01:11:00,53
2022-08-01 01:12:00,54
2022-08-01 01:13:00,52
2022-08-01 01:14:00,56
2022-08-01 01:15:00,54
2022-08-01 01:16:00,47
2022-08-01 01:18:00,51
2022-08-01 01:29:00,48
2022-08-01 01:30:00,50
2022-08-01 01:31:00,46
2022-08-01 01:32:00,48
2022-08-01 01:33:00,48
2022-08-01 01:34:00,52
2022-08-01 01:35:00,49
2022-08-01 01:36:00,48
2022-08-01 01:37:00,51
2022-08-01 01:38:00,50
2022-08-01 01:58:00,50
2022-08-01 01:59:00,50
2022-08-01 02:00:00,52
2022-08-01 02:01:00,47
2022-08-01 02:02:00,49
2022-08-01 02:03:00,47
2022-08-01 02:04:00,47
2022-08-01 02:05:00,48
2022-08-01 02:06:00,47
2022-08-01 02:07:00,48
2022-08-01 02:58:00,49
2022-08-01 02:59:00,47
2022-08-01 03:00:00,47
2022-08-01 03:01:00,51
2022-08-01 03:02:00,47
2022-08-01 03:03:00,46
2022-08-01 03:04:00,47
2022-08-01 03:05:00,47
2022-08-01 03:06:00,48
2022-08-01 03:07:00,47
2022-08-01 03:49:00,50
2022-08-01 03:50:00,50
2022-08-01 03:51:00,47
2022-08-01 03:52:00,48
2022-08-01 03:53:00,50
2022-08-01 03:54:00,46
2022-08-01 03:55:00,52
2022-08-01 03:56:00,46
2022-08-01 03:57:00,47
2022-08-01 04:08:00,46
2022-08-01 04:09:00,47
2022-08-01 04:10:00,48
2022-08-01 04:11:00,46
2022-08-01 04:12:00,51
2022-08-01 04:13:00,46
2022-08-01 04:14:00,46
2022-08-01 04:15:00,47
2022-08-01 04:16:00,50
2022-08-01 04:17:00,48
2022-08-01 04:39:00,46
2022-08-01 04:40:00,48
2022-08-01 04:41:00,51
2022-08-01 04:42:00,47
2022-08-01 04:43:00,48
2022-08-01 04:44:00,49
2022-08-01 04:45:00,47
2022-08-01 04:46:00,47
2022-08-01 04:47:00,52
2022-08-01 04:48:00,47
2022-08-01 04:58:00,46
2022-08-01 04:59:00,46
2022-08-01 05:00:00,47
2022-08-01 05:01:00,47
2022-08-01 05:02:00,55
2022-08-01 05:03:00,50
2022-08-01 05:04:00,50
2022-08-01 05:05:00,51
2022-08-01 05:06:00,47
2022-08-01 05:07:00,47
2022-08-01 07:08:00,57
2022-08-01 07:09:00,53
2022-08-01 07:10:00,57
2022-08-01 07:11:00,54
2022-08-01 07:12:00,56
2022-08-01 07:13:00,53
2022-08-01 07:14:00,60
2022-08-01 07:15:00,57
2022-08-01 07:17:00,60
2022-08-01 07:18:00,57
2022-08-01 07:19:00,56
2022-08-01 07:20:00,57
2022-08-01 07:21:00,59
2022-08-01 07:22:00,57
2022-08-01 07:23:00,57
2022-08-01 07:24:00,57
2022-08-01 07:25:00,56
2022-08-01 07:26:00,55
