"Time","dt_sound_level_dB"
2022-08-01 00:00:00,48
2022-08-01 00:01:00,47
2022-08-01 00:02:00,52
2022-08-01 00:03:00,50
2022-08-01 00:04:00,52
2022-08-01 00:05:00,51
2022-08-01 00:06:00,48
2022-08-01 00:07:00,50
2022-08-01 05:27:00,51
2022-08-01 05:28:00,49
2022-08-01 05:29:00,50
2022-08-01 05:30:00,51
2022-08-01 05:31:00,50
2022-08-01 05:32:00,49
2022-08-01 05:33:00,46
2022-08-01 05:34:00,50
2022-08-01 05:35:00,48
2022-08-01 05:36:00,55
2022-08-01 05:37:00,54
2022-08-01 05:38:00,47
2022-08-01 05:39:00,49
2022-08-01 05:40:00,49
2022-08-01 05:41:00,49
2022-08-01 05:42:00,49
2022-08-01 05:43:00,49
2022-08-01 05:44:00,53
2022-08-01 05:45:00,52
2022-08-01 05:46:00,48
2022-08-01 05:47:00,55
2022-08-01 05:48:00,56
2022-08-01 05:49:00,54
2022-08-01 05:50:00,50
2022-08-01 05:51:00,57
2022-08-01 05:52:00,50
2022-08-01 05:53:00,49
2022-08-01 05:54:00,49
2022-08-01 05:55:00,52
2022-08-01 05:56:00,47
2022-08-01 06:18:00,53
2022-08-01 06:19:00,53
2022-08-01 06:20:00,54
2022-08-01 06:21:00,56
2022-08-01 06:22:00,55
2022-08-01 06:23:00,50
2022-08-01 06:24:00,58
2022-08-01 06:25:00,55
2022-08-01 06:26:00,54
2022-08-01 06:58:00,62
2022-08-01 06:59:00,53
2022-08-01 07:00:00,48
2022-08-01 07:01:00,57
2022-08-01 07:02:00,55
2022-08-01 07:03:00,55
2022-08-01 07:04:00,58
2022-08-01 07:05:00,50
2022-08-01 07:06:00,50
2022-08-01 07:07:00,59
2022-08-01 09:08:00,56
2022-08-01 09:09:00,58
2022-08-01 09:10:00,59
2022-08-01 09:11:00,60
2022-08-01 09:12:00,59
2022-08-01 09:13:00,57
2022-08-01 09:14:00,55
2022-08-01 09:15:00,59
2022-08-01 09:16:00,63
2022-08-01 09:17:00,59
2022-08-01 09:27:00,59
2022-08-01 09:28:00,62
2022-08-01 09:29:00,58
2022-08-01 09:30:00,62
2022-08-01 09:31:00,56
2022-08-01 09:32:00,59
2022-08-01 09:33:00,59
2022-08-01 09:34:00,59
2022-08-01 09:35:00,57
2022-08-01 09:36:00,60
2022-08-01 09:37:00,64
2022-08-01 09:38:00,59
2022-08-01 09:39:00,57
2022-08-01 09:40:00,57
2022-08-01 09:41:00,58
2022-08-01 09:42:00,61
2022-08-01 09:43:00,63
2022-08-01 09:44:00,61
