"Time","dt_sound_level_dB"
2022-08-01 00:17:00,49
2022-08-01 00:18:00,49
2022-08-01 00:19:00,49
2022-08-01 00:20:00,50
2022-08-01 00:21:00,50
2022-08-01 00:22:00,53
2022-08-01 00:23:00,52
2022-08-01 00:24:00,51
2022-08-01 00:25:00,51
2022-08-01 00:26:00,49
2022-08-01 00:27:00,50
2022-08-01 00:28:00,50
2022-08-01 00:29:00,49
2022-08-01 00:30:00,51
2022-08-01 00:31:00,50
2022-08-01 00:32:00,49
2022-08-01 00:33:00,50
2022-08-01 00:34:00,51
2022-08-01 00:35:00,52
2022-08-01 00:36:00,50
2022-08-01 00:37:00,49
2022-08-01 00:38:00,51
2022-08-01 00:39:00,50
2022-08-01 00:40:00,51
2022-08-01 00:41:00,52
2022-08-01 00:42:00,53
2022-08-01 00:43:00,51
2022-08-01 00:44:00,50
2022-08-01 00:45:00,51
2022-08-01 00:56:00,50
2022-08-01 00:57:00,51
2022-08-01 00:58:00,51
2022-08-01 00:59:00,51
2022-08-01 01:00:00,52
2022-08-01 01:01:00,49
2022-08-01 01:02:00,50
2022-08-01 01:03:00,50
2022-08-01 01:04:00,52
2022-08-01 01:05:00,50
2022-08-01 02:06:00,48
2022-08-01 02:07:00,48
2022-08-01 02:09:00,49
2022-08-01 02:10:00,49
2022-08-01 02:11:00,48
2022-08-01 02:12:00,49
2022-08-01 02:13:00,48
2022-08-01 02:14:00,48
2022-08-01 02:15:00,48
2022-08-01 02:16:00,48
2022-08-01 02:17:00,48
2022-08-01 02:18:00,49
2022-08-01 02:19:00,48
2022-08-01 02:20:00,48
2022-08-01 02:21:00,48
2022-08-01 02:22:00,48
2022-08-01 02:23:00,48
2022-08-01 02:24:00,48
2022-08-01 02:25:00,48
2022-08-01 03:26:00,49
2022-08-01 03:27:00,49
2022-08-01 03:28:00,49
2022-08-01 03:29:00,51
2022-08-01 03:30:00,50
2022-08-01 03:31:00,51
2022-08-01 03:32:00,49
2022-08-01 03:33:00,51
2022-08-01 03:34:00,50
2022-08-01 03:35:00,48
2022-08-01 03:36:00,48
2022-08-01 03:37:00,49
2022-08-01 03:38:00,49
2022-08-01 03:39:00,51
2022-08-01 03:40:00,50
2022-08-01 03:41:00,49
2022-08-01 03:42:00,48
2022-08-01 03:43:00,49
2022-08-01 03:44:00,51
2022-08-01 03:45:00,50
2022-08-01 04:07:00,49
2022-08-01 04:08:00,50
2022-08-01 04:09:00,51
2022-08-01 04:10:00,49
2022-08-01 04:11:00,50
2022-08-01 04:12:00,48
2022-08-01 04:13:00,49
2022-08-01 04:14:00,49
2022-08-01 04:15:00,49
2022-08-01 04:16:00,50
2022-08-01 04:17:00,49
2022-08-01 04:18:00,49
2022-08-01 04:19:00,49
2022-08-01 04:20:00,48
2022-08-01 04:21:00,48
2022-08-01 04:22:00,49
2022-08-01 04:23:00,50
2022-08-01 04:24:00,48
2022-08-01 04:25:00,49
2022-08-01 04:36:00,49
2022-08-01 04:37:00,50
2022-08-01 04:38:00,49
2022-08-01 04:39:00,50
2022-08-01 04:40:00,48
2022-08-01 04:41:00,48
2022-08-01 04:42:00,49
2022-08-01 04:43:00,48
2022-08-01 04:44:00,50
2022-08-01 04:45:00,50
2022-08-01 04:56:00,51
2022-08-01 04:57:00,53
2022-08-01 04:58:00,50
2022-08-01 04:59:00,50
2022-08-01 05:00:00,49
2022-08-01 05:01:00,52
2022-08-01 05:02:00,52
2022-08-01 05:03:00,50
2022-08-01 05:04:00,49
2022-08-01 05:05:00,50
2022-08-01 05:06:00,49
2022-08-01 05:07:00,49
2022-08-01 05:08:00,49
2022-08-01 05:10:00,51
2022-08-01 05:11:00,49
2022-08-01 05:12:00,50
2022-08-01 05:13:00,50
2022-08-01 05:14:00,52
2022-08-01 05:15:00,50
2022-08-01 05:16:00,49
2022-08-01 05:26:00,52
2022-08-01 05:27:00,54
2022-08-01 05:28:00,50
2022-08-01 05:29:00,55
2022-08-01 05:30:00,54
2022-08-01 05:31:00,53
2022-08-01 05:32:00,52
2022-08-01 05:33:00,50
2022-08-01 05:34:00,51
2022-08-01 05:35:00,55
2022-08-01 05:46:00,58
2022-08-01 05:47:00,58
2022-08-01 05:48:00,53
2022-08-01 05:49:00,59
2022-08-01 05:50:00,58
2022-08-01 05:51:00,56
2022-08-01 05:52:00,61
2022-08-01 05:53:00,67
2022-08-01 05:54:00,65
2022-08-01 05:55:00,52
2022-08-01 06:06:00,55
2022-08-01 06:08:00,54
2022-08-01 06:09:00,56
2022-08-01 06:10:00,53
2022-08-01 06:11:00,54
2022-08-01 06:12:00,54
2022-08-01 06:13:00,60
2022-08-01 06:14:00,56
2022-08-01 06:15:00,57
2022-08-01 06:16:00,51
2022-08-01 06:17:00,51
2022-08-01 06:18:00,57
2022-08-01 06:19:00,56
2022-08-01 06:20:00,51
2022-08-01 06:21:00,53
2022-08-01 06:22:00,52
2022-08-01 06:23:00,50
2022-08-01 06:24:00,55
2022-08-01 06:25:00,54
2022-08-01 06:36:00,54
2022-08-01 06:37:00,56
2022-08-01 06:38:00,53
2022-08-01 06:39:00,52
2022-08-01 06:40:00,53
2022-08-01 06:41:00,57
2022-08-01 06:42:00,59
2022-08-01 06:43:00,54
2022-08-01 06:44:00,54
2022-08-01 06:45:00,56
2022-08-01 06:46:00,54
2022-08-01 06:47:00,52
2022-08-01 06:48:00,57
2022-08-01 06:49:00,55
2022-08-01 06:50:00,56
2022-08-01 06:51:00,55
2022-08-01 06:52:00,53
2022-08-01 06:53:00,56
2022-08-01 06:54:00,60
2022-08-01 06:55:00,60
2022-08-01 07:06:00,51
2022-08-01 07:07:00,57
2022-08-01 07:09:00,57
2022-08-01 07:10:00,56
2022-08-01 07:11:00,57
2022-08-01 07:12:00,57
2022-08-01 07:13:00,51
2022-08-01 07:14:00,60
2022-08-01 07:15:00,57
2022-08-01 07:16:00,57
2022-08-01 07:17:00,55
2022-08-01 07:18:00,55
2022-08-01 07:19:00,56
2022-08-01 07:20:00,54
2022-08-01 07:21:00,55
2022-08-01 07:22:00,58
2022-08-01 07:23:00,56
2022-08-01 07:24:00,57
