"Time","dt_sound_level_dB"
2022-08-01 00:31:00,45
2022-08-01 00:32:00,47
2022-08-01 00:33:00,44
2022-08-01 00:34:00,45
2022-08-01 00:35:00,46
2022-08-01 00:36:00,45
2022-08-01 00:37:00,44
2022-08-01 00:39:00,47
2022-08-01 00:40:00,44
2022-08-01 00:41:00,44
2022-08-01 00:42:00,44
2022-08-01 00:42:00,45
2022-08-01 00:44:00,44
2022-08-01 00:45:00,44
2022-08-01 00:46:00,45
2022-08-01 00:47:00,49
2022-08-01 00:48:00,50
2022-08-01 00:49:00,45
2022-08-01 00:50:00,45
2022-08-01 00:51:00,45
2022-08-01 00:52:00,44
2022-08-01 00:53:00,45
2022-08-01 00:54:00,44
2022-08-01 00:55:00,49
2022-08-01 00:56:00,45
2022-08-01 00:57:00,45
2022-08-01 00:58:00,47
2022-08-01 00:59:00,44
2022-08-01 01:00:00,44
2022-08-01 01:11:00,45
2022-08-01 01:12:00,44
2022-08-01 01:13:00,47
2022-08-01 01:14:00,45
2022-08-01 01:15:00,45
2022-08-01 01:16:00,45
2022-08-01 01:17:00,49
2022-08-01 01:18:00,48
2022-08-01 01:19:00,45
2022-08-01 01:20:00,44
2022-08-01 01:31:00,44
2022-08-01 01:32:00,44
2022-08-01 01:33:00,44
2022-08-01 01:34:00,44
2022-08-01 01:35:00,44
2022-08-01 01:36:00,44
2022-08-01 01:37:00,47
2022-08-01 01:39:00,44
2022-08-01 01:40:00,47
2022-08-01 01:51:00,45
2022-08-01 01:52:00,44
2022-08-01 01:53:00,44
2022-08-01 01:54:00,44
2022-08-01 01:55:00,45
2022-08-01 01:56:00,44
2022-08-01 01:57:00,48
2022-08-01 01:58:00,44
2022-08-01 01:59:00,44
2022-08-01 02:00:00,46
2022-08-01 04:41:00,44
2022-08-01 04:42:00,45
2022-08-01 04:43:00,48
2022-08-01 04:44:00,45
2022-08-01 04:45:00,44
2022-08-01 04:45:00,48
2022-08-01 04:47:00,45
2022-08-01 04:48:00,45
2022-08-01 04:49:00,48
