"Time","dt_sound_level_dB"
2022-08-01 00:13:00,54
2022-08-01 00:14:00,50
2022-08-01 00:15:00,53
2022-08-01 00:16:00,49
2022-08-01 00:17:00,49
2022-08-01 00:18:00,49
2022-08-01 00:19:00,51
2022-08-01 00:20:00,50
2022-08-01 00:21:00,49
2022-08-01 00:22:00,49
2022-08-01 00:43:00,49
2022-08-01 00:44:00,49
2022-08-01 00:45:00,49
2022-08-01 00:46:00,49
2022-08-01 00:47:00,50
2022-08-01 00:48:00,51
2022-08-01 00:49:00,49
2022-08-01 00:50:00,50
2022-08-01 00:51:00,50
2022-08-01 00:52:00,49
2022-08-01 01:23:00,49
2022-08-01 01:24:00,51
2022-08-01 01:25:00,49
2022-08-01 01:26:00,54
2022-08-01 01:27:00,50
2022-08-01 01:28:00,50
2022-08-01 01:29:00,50
2022-08-01 01:30:00,49
2022-08-01 01:31:00,48
2022-08-01 01:32:00,49
2022-08-01 02:02:00,50
2022-08-01 02:03:00,51
2022-08-01 02:04:00,48
2022-08-01 02:05:00,50
2022-08-01 02:06:00,49
2022-08-01 02:07:00,48
2022-08-01 02:08:00,49
2022-08-01 02:09:00,49
2022-08-01 02:10:00,49
2022-08-01 02:11:00,49
2022-08-01 02:12:00,50
2022-08-01 02:13:00,49
2022-08-01 02:15:00,49
2022-08-01 02:16:00,49
2022-08-01 02:17:00,49
2022-08-01 02:18:00,50
2022-08-01 02:19:00,49
2022-08-01 02:20:00,49
2022-08-01 02:21:00,49
2022-08-01 02:22:00,49
2022-08-01 02:43:00,49
2022-08-01 02:44:00,48
2022-08-01 02:45:00,51
2022-08-01 02:46:00,50
2022-08-01 02:47:00,49
2022-08-01 02:48:00,49
2022-08-01 02:49:00,48
2022-08-01 02:50:00,49
2022-08-01 02:51:00,49
2022-08-01 02:52:00,49
2022-08-01 03:23:00,49
2022-08-01 03:24:00,49
2022-08-01 03:25:00,48
2022-08-01 03:26:00,49
2022-08-01 03:27:00,49
2022-08-01 03:28:00,49
2022-08-01 03:29:00,48
2022-08-01 03:30:00,48
2022-08-01 03:31:00,48
2022-08-01 03:32:00,49
2022-08-01 03:33:00,49
2022-08-01 03:34:00,49
2022-08-01 03:35:00,49
2022-08-01 03:36:00,49
2022-08-01 03:37:00,49
2022-08-01 03:38:00,53
2022-08-01 03:39:00,49
2022-08-01 03:40:00,48
2022-08-01 03:41:00,51
2022-08-01 03:42:00,48
2022-08-01 04:03:00,49
2022-08-01 04:04:00,49
2022-08-01 04:05:00,49
2022-08-01 04:06:00,49
2022-08-01 04:07:00,49
2022-08-01 04:08:00,49
2022-08-01 04:09:00,49
2022-08-01 04:10:00,49
2022-08-01 04:11:00,49
2022-08-01 04:33:00,49
2022-08-01 04:34:00,48
2022-08-01 04:35:00,49
2022-08-01 04:36:00,48
2022-08-01 04:37:00,49
2022-08-01 04:38:00,49
2022-08-01 04:39:00,51
2022-08-01 04:40:00,48
2022-08-01 04:41:00,48
2022-08-01 04:42:00,49
2022-08-01 04:53:00,49
2022-08-01 04:54:00,49
2022-08-01 04:55:00,51
2022-08-01 04:56:00,51
2022-08-01 04:57:00,50
2022-08-01 04:58:00,49
2022-08-01 04:59:00,50
2022-08-01 05:00:00,52
2022-08-01 05:01:00,50
2022-08-01 05:02:00,54
2022-08-01 05:12:00,50
2022-08-01 05:13:00,49
2022-08-01 05:14:00,51
2022-08-01 05:15:00,49
2022-08-01 05:16:00,49
2022-08-01 05:18:00,49
2022-08-01 05:19:00,49
2022-08-01 05:20:00,49
2022-08-01 05:21:00,50
2022-08-01 05:22:00,49
2022-08-01 05:33:00,54
2022-08-01 05:34:00,49
2022-08-01 05:35:00,51
2022-08-01 05:36:00,49
2022-08-01 05:37:00,49
2022-08-01 05:38:00,53
2022-08-01 05:39:00,54
2022-08-01 05:40:00,53
2022-08-01 05:41:00,55
2022-08-01 05:42:00,52
2022-08-01 05:43:00,58
2022-08-01 05:44:00,56
2022-08-01 05:45:00,52
2022-08-01 05:46:00,50
2022-08-01 05:47:00,50
2022-08-01 05:48:00,49
2022-08-01 05:49:00,53
2022-08-01 05:50:00,49
2022-08-01 05:51:00,50
2022-08-01 05:52:00,54
2022-08-01 06:03:00,52
2022-08-01 06:04:00,55
2022-08-01 06:05:00,52
2022-08-01 06:06:00,53
2022-08-01 06:07:00,50
2022-08-01 06:08:00,52
2022-08-01 06:09:00,58
2022-08-01 06:10:00,53
2022-08-01 06:11:00,53
2022-08-01 06:38:00,51
2022-08-01 06:39:00,51
2022-08-01 06:40:00,55
2022-08-01 06:41:00,53
2022-08-01 06:42:00,53
2022-08-01 06:43:00,54
2022-08-01 06:44:00,55
2022-08-01 06:45:00,51
2022-08-01 06:46:00,57
2022-08-01 06:47:00,51
2022-08-01 06:58:00,55
2022-08-01 06:59:00,53
2022-08-01 07:00:00,56
2022-08-01 07:01:00,53
2022-08-01 07:02:00,58
2022-08-01 07:03:00,57
2022-08-01 07:04:00,55
2022-08-01 07:05:00,55
2022-08-01 07:06:00,56
2022-08-01 07:07:00,55
2022-08-01 07:08:00,51
2022-08-01 07:09:00,56
2022-08-01 07:10:00,52
2022-08-01 07:11:00,54
2022-08-01 07:12:00,56
2022-08-01 07:13:00,54
2022-08-01 07:14:00,55
2022-08-01 07:15:00,57
2022-08-01 07:16:00,57
2022-08-01 07:17:00,57
2022-08-01 07:48:00,56
2022-08-01 07:49:00,54
2022-08-01 07:50:00,54
2022-08-01 07:51:00,56
2022-08-01 07:52:00,56
2022-08-01 07:53:00,57
2022-08-01 07:54:00,58
2022-08-01 07:55:00,57
2022-08-01 07:56:00,54
2022-08-01 07:57:00,55
2022-08-01 07:58:00,57
2022-08-01 07:59:00,58
2022-08-01 08:00:00,56
2022-08-01 08:01:00,54
2022-08-01 08:02:00,55
2022-08-01 08:03:00,57
2022-08-01 08:04:00,55
2022-08-01 08:05:00,54
2022-08-01 08:06:00,58
2022-08-01 08:07:00,56
2022-08-01 08:08:00,56
2022-08-01 08:09:00,58
2022-08-01 08:10:00,56
2022-08-01 08:11:00,56
2022-08-01 08:12:00,58
2022-08-01 08:13:00,54
2022-08-01 08:14:00,56
2022-08-01 08:15:00,57
2022-08-01 08:16:00,55
2022-08-01 08:17:00,58
2022-08-01 08:27:00,58
2022-08-01 08:28:00,57
2022-08-01 08:29:00,56
2022-08-01 08:30:00,57
2022-08-01 08:31:00,59
2022-08-01 08:32:00,57
2022-08-01 08:33:00,56
2022-08-01 08:34:00,61
2022-08-01 08:35:00,58
2022-08-01 08:36:00,58
2022-08-01 08:48:00,59
2022-08-01 08:49:00,58
