"Time","dt_sound_level_dB"
2022-08-01 00:23:00,56
2022-08-01 00:25:00,51
2022-08-01 00:27:00,50
2022-08-01 00:29:00,54
2022-08-01 00:31:00,48
2022-08-01 00:33:00,52
2022-08-01 00:35:00,58
2022-08-01 00:37:00,54
2022-08-01 00:39:00,52
2022-08-01 00:41:00,61
2022-08-01 00:43:00,60
2022-08-01 00:45:00,54
2022-08-01 00:47:00,61
2022-08-01 00:49:00,46
2022-08-01 00:51:00,53
2022-08-01 00:53:00,53
2022-08-01 00:55:00,48
2022-08-01 00:57:00,59
2022-08-01 00:59:00,54
2022-08-01 01:01:00,52
2022-08-01 01:03:00,51
2022-08-01 01:05:00,52
2022-08-01 01:29:00,49
2022-08-01 01:31:00,52
2022-08-01 01:33:00,52
2022-08-01 01:35:00,58
2022-08-01 01:37:00,49
2022-08-01 01:39:00,55
2022-08-01 01:41:00,53
2022-08-01 01:43:00,49
2022-08-01 01:45:00,48
2022-08-01 01:47:00,54
2022-08-01 01:49:00,46
2022-08-01 01:51:00,49
2022-08-01 01:53:00,51
2022-08-01 01:55:00,53
2022-08-01 01:57:00,49
2022-08-01 01:59:00,51
2022-08-01 02:01:00,48
2022-08-01 02:03:00,48
2022-08-01 02:05:00,49
2022-08-01 02:07:00,53
2022-08-01 02:09:00,51
2022-08-01 02:11:00,52
2022-08-01 02:57:00,52
2022-08-01 02:59:00,51
2022-08-01 03:01:00,46
2022-08-01 03:03:00,52
2022-08-01 03:05:00,49
2022-08-01 03:07:00,50
2022-08-01 03:09:00,53
2022-08-01 03:11:00,55
2022-08-01 03:13:00,47
2022-08-01 03:15:00,46
2022-08-01 03:17:00,46
2022-08-01 03:41:00,51
2022-08-01 03:43:00,47
2022-08-01 03:45:00,52
2022-08-01 03:47:00,50
2022-08-01 03:49:00,53
2022-08-01 03:51:00,49
2022-08-01 03:53:00,55
2022-08-01 03:55:00,54
2022-08-01 03:57:00,51
2022-08-01 03:59:00,53
2022-08-01 04:01:00,49
2022-08-01 04:03:00,49
2022-08-01 04:05:00,53
2022-08-01 04:07:00,51
2022-08-01 04:09:00,53
2022-08-01 04:11:00,51
2022-08-01 04:13:00,47
2022-08-01 04:15:00,48
2022-08-01 04:17:00,52
2022-08-01 04:19:00,48
2022-08-01 04:21:00,50
2022-08-01 04:23:00,52
