"Time","dt_sound_level_dB"
2022-08-01 00:30:00,46
2022-08-01 00:31:00,45
2022-08-01 00:33:00,48
2022-08-01 00:34:00,46
2022-08-01 00:35:00,47
2022-08-01 00:36:00,46
2022-08-01 00:37:00,46
2022-08-01 00:38:00,45
2022-08-01 00:39:00,46
2022-08-01 00:40:00,45
2022-08-01 00:41:00,46
2022-08-01 00:42:00,45
2022-08-01 00:43:00,46
2022-08-01 00:44:00,46
2022-08-01 00:45:00,46
2022-08-01 00:46:00,46
2022-08-01 00:47:00,46
2022-08-01 00:48:00,45
2022-08-01 00:49:00,47
2022-08-01 00:50:00,45
2022-08-01 00:51:00,45
2022-08-01 00:52:00,45
2022-08-01 00:53:00,45
2022-08-01 00:54:00,47
2022-08-01 00:55:00,46
2022-08-01 00:56:00,45
2022-08-01 00:57:00,45
2022-08-01 00:58:00,45
2022-08-01 00:59:00,45
2022-08-01 01:00:00,45
2022-08-01 01:10:00,45
2022-08-01 01:11:00,46
2022-08-01 01:12:00,46
2022-08-01 01:13:00,45
2022-08-01 01:14:00,46
2022-08-01 01:15:00,45
2022-08-01 01:16:00,45
2022-08-01 01:17:00,47
2022-08-01 01:18:00,46
2022-08-01 01:19:00,45
2022-08-01 01:30:00,46
2022-08-01 01:31:00,45
2022-08-01 01:33:00,46
2022-08-01 01:34:00,45
2022-08-01 01:35:00,45
2022-08-01 01:36:00,48
2022-08-01 01:37:00,45
2022-08-01 01:38:00,45
2022-08-01 01:39:00,46
2022-08-01 01:40:00,45
2022-08-01 02:01:00,46
2022-08-01 02:02:00,45
2022-08-01 02:03:00,45
2022-08-01 02:04:00,45
2022-08-01 02:05:00,45
2022-08-01 02:06:00,46
2022-08-01 02:07:00,46
2022-08-01 02:08:00,45
2022-08-01 02:09:00,45
2022-08-01 04:41:00,46
2022-08-01 04:42:00,47
2022-08-01 04:43:00,46
2022-08-01 04:44:00,46
2022-08-01 04:45:00,45
2022-08-01 04:46:00,46
2022-08-01 04:47:00,45
2022-08-01 04:48:00,45
2022-08-01 04:49:00,45
2022-08-01 04:50:00,45
2022-08-01 05:01:00,45
2022-08-01 05:02:00,45
2022-08-01 05:03:00,45
2022-08-01 05:04:00,46
2022-08-01 05:05:00,46
2022-08-01 05:06:00,45
2022-08-01 05:07:00,46
2022-08-01 05:08:00,46
2022-08-01 05:09:00,45
2022-08-01 05:10:00,45
2022-08-01 05:11:00,46
2022-08-01 05:12:00,45
2022-08-01 05:13:00,46
2022-08-01 05:14:00,46
2022-08-01 05:15:00,46
2022-08-01 05:16:00,45
2022-08-01 05:17:00,45
2022-08-01 05:18:00,46
2022-08-01 05:19:00,45
2022-08-01 07:41:00,46
2022-08-01 07:42:00,48
2022-08-01 07:43:00,49
2022-08-01 07:44:00,48
2022-08-01 07:45:00,47
2022-08-01 07:46:00,48
2022-08-01 07:47:00,53
2022-08-01 07:48:00,47
2022-08-01 07:49:00,47
2022-08-01 07:50:00,49
2022-08-01 09:30:00,46
2022-08-01 09:31:00,46
2022-08-01 09:32:00,47
2022-08-01 09:33:00,49
2022-08-01 09:34:00,51
2022-08-01 09:35:00,48
2022-08-01 09:36:00,51
2022-08-01 09:37:00,53
2022-08-01 09:38:00,47
2022-08-01 09:39:00,47
2022-08-01 10:01:00,48
2022-08-01 10:02:00,49
2022-08-01 10:03:00,46
2022-08-01 10:04:00,46
2022-08-01 10:05:00,46
2022-08-01 10:06:00,49
2022-08-01 10:07:00,47
2022-08-01 10:08:00,50
2022-08-01 10:09:00,46
2022-08-01 10:10:00,48
2022-08-01 10:11:00,46
2022-08-01 10:12:00,49
2022-08-01 10:13:00,48
2022-08-01 10:14:00,48
2022-08-01 10:15:00,46
2022-08-01 10:16:00,52
2022-08-01 10:17:00,46
2022-08-01 10:18:00,46
2022-08-01 10:19:00,49
2022-08-01 11:30:00,49
2022-08-01 11:31:00,48
2022-08-01 11:32:00,49
2022-08-01 11:33:00,47
2022-08-01 11:34:00,48
2022-08-01 11:35:00,47
2022-08-01 11:36:00,50
2022-08-01 11:37:00,48
2022-08-01 11:38:00,46
2022-08-01 11:39:00,50
2022-08-01 12:11:00,48
2022-08-01 12:12:00,49
2022-08-01 12:13:00,48
2022-08-01 12:14:00,50
2022-08-01 12:15:00,45
2022-08-01 12:17:00,48
2022-08-01 12:18:00,46
2022-08-01 12:19:00,53
2022-08-01 12:20:00,49
2022-08-01 13:41:00,50
2022-08-01 13:42:00,53
2022-08-01 13:43:00,53
2022-08-01 13:44:00,53
2022-08-01 13:45:00,46
2022-08-01 13:46:00,48
2022-08-01 13:47:00,54
2022-08-01 13:48:00,61
2022-08-01 13:49:00,48
2022-08-01 13:50:00,51
2022-08-01 17:55:00,47
2022-08-01 17:56:00,51
2022-08-01 17:57:00,55
2022-08-01 17:58:00,54
2022-08-01 17:59:00,48
2022-08-01 18:00:00,46
2022-08-01 18:01:00,47
2022-08-01 18:02:00,46
2022-08-01 18:03:00,50
2022-08-01 18:04:00,50
2022-08-01 18:16:00,49
2022-08-01 18:17:00,51
2022-08-01 18:18:00,46
2022-08-01 18:19:00,53
2022-08-01 18:20:00,53
2022-08-01 18:21:00,47
2022-08-01 18:22:00,48
2022-08-01 18:23:00,49
2022-08-01 18:24:00,49
2022-08-01 18:25:00,46
2022-08-01 19:45:00,46
2022-08-01 19:46:00,48
2022-08-01 19:47:00,45
2022-08-01 19:48:00,50
2022-08-01 19:49:00,47
2022-08-01 19:50:00,46
2022-08-01 19:51:00,45
2022-08-01 19:52:00,45
2022-08-01 19:53:00,48
2022-08-01 19:54:00,48
2022-08-01 19:55:00,47
2022-08-01 19:56:00,51
2022-08-01 19:57:00,48
2022-08-01 19:58:00,47
2022-08-01 19:59:00,47
2022-08-01 20:00:00,48
2022-08-01 20:01:00,47
2022-08-01 20:02:00,50
2022-08-01 20:03:00,47
2022-08-01 20:04:00,45
2022-08-01 20:16:00,47
2022-08-01 20:17:00,48
2022-08-01 20:18:00,47
2022-08-01 20:19:00,49
2022-08-01 20:20:00,46
2022-08-01 20:21:00,48
2022-08-01 20:22:00,47
2022-08-01 20:23:00,51
2022-08-01 20:24:00,50
2022-08-01 20:25:00,45
2022-08-01 21:55:00,47
2022-08-01 21:56:00,45
2022-08-01 21:57:00,46
2022-08-01 21:58:00,45
2022-08-01 21:59:00,46
2022-08-01 22:00:00,45
2022-08-01 22:01:00,48
2022-08-01 22:02:00,47
2022-08-01 22:03:00,46
2022-08-01 22:04:00,46
2022-08-01 22:26:00,50
2022-08-01 22:27:00,53
2022-08-01 22:28:00,49
2022-08-01 22:29:00,46
2022-08-01 22:30:00,48
2022-08-01 22:31:00,46
2022-08-01 22:32:00,47
2022-08-01 22:33:00,47
2022-08-01 22:34:00,46
2022-08-01 22:35:00,48
2022-08-01 23:26:00,46
2022-08-01 23:27:00,46
2022-08-01 23:28:00,49
2022-08-01 23:29:00,46
2022-08-01 23:30:00,46
2022-08-01 23:31:00,49
2022-08-01 23:32:00,46
2022-08-01 23:33:00,50
2022-08-01 23:34:00,47
2022-08-01 23:35:00,47
2022-08-01 23:46:00,46
2022-08-01 23:47:00,49
2022-08-01 23:48:00,46
2022-08-01 23:49:00,46
2022-08-01 23:50:00,46
2022-08-01 23:51:00,46
2022-08-01 23:52:00,46
2022-08-01 23:53:00,47
2022-08-01 23:54:00,46
2022-08-02 00:05:00,46
2022-08-02 00:06:00,47
2022-08-02 00:07:00,47
2022-08-02 00:08:00,46
2022-08-02 00:09:00,46
2022-08-02 00:10:00,46
2022-08-02 00:11:00,46
2022-08-02 00:12:00,46
2022-08-02 00:13:00,46
2022-08-02 00:14:00,46
2022-08-02 00:26:00,47
2022-08-02 00:27:00,47
2022-08-02 00:28:00,47
2022-08-02 00:29:00,49
2022-08-02 00:30:00,46
2022-08-02 00:31:00,47
2022-08-02 00:32:00,46
2022-08-02 00:33:00,46
2022-08-02 00:34:00,47
2022-08-02 00:35:00,46
2022-08-02 01:15:00,46
2022-08-02 01:16:00,46
2022-08-02 01:17:00,46
2022-08-02 01:18:00,47
2022-08-02 01:19:00,47
2022-08-02 01:20:00,46
2022-08-02 01:21:00,46
2022-08-02 01:22:00,46
2022-08-02 01:24:00,46
2022-08-02 01:25:00,45
2022-08-02 02:26:00,46
2022-08-02 02:27:00,47
2022-08-02 02:28:00,45
2022-08-02 02:29:00,45
2022-08-02 02:30:00,46
2022-08-02 02:31:00,45
2022-08-02 02:32:00,45
2022-08-02 02:33:00,45
2022-08-02 02:34:00,45
2022-08-02 02:35:00,46
2022-08-02 02:36:00,46
2022-08-02 02:37:00,46
2022-08-02 02:38:00,46
2022-08-02 02:39:00,46
2022-08-02 02:40:00,46
2022-08-02 02:41:00,46
2022-08-02 02:42:00,46
2022-08-02 02:43:00,46
2022-08-02 02:44:00,45
2022-08-02 02:45:00,45
2022-08-02 02:55:00,45
2022-08-02 02:56:00,46
2022-08-02 02:57:00,46
2022-08-02 02:58:00,45
2022-08-02 02:59:00,46
2022-08-02 03:00:00,46
2022-08-02 03:01:00,46
2022-08-02 03:02:00,45
2022-08-02 03:03:00,46
2022-08-02 03:04:00,46
2022-08-02 03:05:00,46
2022-08-02 03:06:00,45
2022-08-02 03:07:00,45
2022-08-02 03:08:00,45
2022-08-02 03:09:00,46
2022-08-02 03:10:00,45
2022-08-02 03:11:00,45
2022-08-02 03:12:00,45
2022-08-02 03:13:00,45
2022-08-02 03:14:00,45
2022-08-02 03:25:00,45
2022-08-02 03:27:00,45
2022-08-02 03:28:00,45
2022-08-02 03:29:00,45
2022-08-02 03:30:00,45
2022-08-02 03:31:00,45
2022-08-02 03:32:00,45
2022-08-02 03:33:00,46
2022-08-02 03:34:00,46
2022-08-02 03:35:00,45
2022-08-02 04:36:00,48
2022-08-02 04:37:00,46
2022-08-02 04:38:00,45
2022-08-02 04:39:00,46
2022-08-02 04:40:00,46
2022-08-02 04:41:00,45
2022-08-02 04:42:00,45
2022-08-02 04:43:00,46
2022-08-02 04:44:00,45
2022-08-02 04:45:00,45
2022-08-02 04:46:00,45
2022-08-02 04:47:00,45
2022-08-02 04:48:00,46
2022-08-02 04:49:00,45
2022-08-02 04:50:00,45
2022-08-02 04:51:00,46
2022-08-02 04:52:00,45
2022-08-02 04:53:00,45
2022-08-02 04:54:00,45
2022-08-02 04:55:00,45
2022-08-02 04:56:00,46
2022-08-02 04:57:00,46
2022-08-02 04:58:00,46
2022-08-02 04:59:00,45
2022-08-02 05:00:00,46
2022-08-02 05:01:00,45
2022-08-02 05:02:00,46
2022-08-02 05:03:00,45
2022-08-02 05:04:00,45
2022-08-02 06:36:00,45
2022-08-02 06:37:00,46
2022-08-02 06:38:00,45
2022-08-02 06:39:00,47
2022-08-02 06:40:00,46
2022-08-02 06:41:00,48
2022-08-02 06:42:00,46
2022-08-02 06:43:00,46
2022-08-02 06:44:00,48
2022-08-02 06:45:00,45
2022-08-02 06:46:00,45
2022-08-02 06:47:00,45
2022-08-02 06:48:00,45
2022-08-02 06:49:00,46
2022-08-02 06:50:00,46
2022-08-02 06:51:00,47
2022-08-02 06:52:00,48
2022-08-02 06:53:00,45
2022-08-02 06:54:00,46
2022-08-02 07:05:00,53
2022-08-02 07:06:00,45
2022-08-02 07:07:00,46
2022-08-02 07:08:00,46
2022-08-02 07:09:00,47
2022-08-02 07:10:00,46
2022-08-02 07:11:00,46
2022-08-02 07:12:00,50
