"Time","dt_sound_level_dB"
2022-08-01 01:30:00,46
2022-08-01 01:31:00,46
2022-08-01 01:32:00,46
2022-08-01 01:33:00,46
2022-08-01 01:34:00,46
2022-08-01 01:35:00,45
2022-08-01 01:36:00,45
2022-08-01 01:37:00,45
2022-08-01 01:38:00,46
2022-08-01 01:39:00,45
2022-08-01 02:01:00,46
2022-08-01 02:02:00,46
2022-08-01 02:03:00,45
2022-08-01 02:04:00,46
2022-08-01 02:05:00,45
2022-08-01 02:06:00,45
2022-08-01 02:07:00,46
2022-08-01 02:08:00,46
2022-08-01 02:09:00,46
2022-08-01 02:10:00,46
2022-08-01 02:11:00,45
2022-08-01 02:12:00,45
2022-08-01 02:13:00,45
2022-08-01 02:14:00,45
2022-08-01 02:15:00,46
2022-08-01 02:16:00,45
2022-08-01 02:17:00,45
2022-08-01 02:18:00,45
2022-08-01 02:19:00,46
2022-08-01 02:20:00,46
2022-08-01 02:21:00,46
2022-08-01 02:22:00,45
2022-08-01 02:23:00,45
2022-08-01 02:24:00,46
2022-08-01 02:25:00,46
2022-08-01 02:26:00,45
2022-08-01 02:27:00,45
2022-08-01 02:28:00,45
2022-08-01 02:29:00,46
2022-08-01 04:30:00,45
2022-08-01 04:31:00,45
2022-08-01 04:32:00,45
2022-08-01 04:33:00,46
2022-08-01 04:34:00,46
2022-08-01 04:35:00,45
2022-08-01 04:36:00,46
2022-08-01 04:37:00,46
2022-08-01 04:38:00,47
2022-08-01 04:39:00,47
2022-08-01 04:50:00,41
2022-08-01 04:51:00,42
2022-08-01 04:52:00,41
2022-08-01 04:53:00,41
2022-08-01 04:54:00,41
2022-08-01 04:55:00,41
2022-08-01 04:57:00,41
2022-08-01 04:58:00,41
2022-08-01 04:59:00,42
2022-08-01 05:00:00,41
2022-08-01 07:50:00,43
2022-08-01 07:51:00,51
2022-08-01 07:52:00,45
2022-08-01 07:53:00,44
2022-08-01 07:54:00,52
2022-08-01 07:55:00,51
2022-08-01 07:56:00,42
2022-08-01 07:57:00,47
2022-08-01 07:58:00,47
2022-08-01 08:00:00,43
2022-08-01 08:01:00,43
2022-08-01 08:02:00,46
2022-08-01 08:03:00,44
2022-08-01 08:04:00,44
2022-08-01 08:05:00,49
2022-08-01 08:06:00,43
2022-08-01 08:07:00,46
2022-08-01 08:08:00,49
2022-08-01 08:09:00,43
2022-08-01 08:10:00,43
2022-08-01 08:20:00,46
2022-08-01 08:21:00,46
2022-08-01 08:22:00,46
2022-08-01 08:23:00,47
2022-08-01 08:24:00,45
2022-08-01 08:25:00,43
2022-08-01 08:26:00,43
2022-08-01 08:27:00,49
2022-08-01 08:28:00,47
2022-08-01 08:29:00,50
2022-08-01 09:30:00,45
2022-08-01 09:31:00,47
2022-08-01 09:32:00,48
2022-08-01 09:33:00,43
2022-08-01 09:34:00,47
2022-08-01 09:35:00,50
2022-08-01 09:36:00,47
2022-08-01 09:37:00,44
2022-08-01 09:38:00,43
2022-08-01 09:39:00,45
2022-08-01 10:11:00,45
2022-08-01 10:12:00,45
2022-08-01 10:13:00,46
2022-08-01 10:14:00,45
2022-08-01 10:15:00,45
2022-08-01 10:16:00,44
2022-08-01 10:17:00,48
2022-08-01 10:18:00,43
2022-08-01 10:19:00,44
2022-08-01 11:40:00,52
2022-08-01 11:41:00,47
2022-08-01 11:42:00,51
2022-08-01 11:43:00,45
2022-08-01 11:44:00,46
2022-08-01 11:45:00,45
2022-08-01 11:46:00,46
2022-08-01 11:47:00,47
2022-08-01 11:48:00,45
2022-08-01 11:49:00,43
2022-08-01 12:00:00,43
2022-08-01 12:01:00,48
2022-08-01 12:02:00,44
2022-08-01 12:04:00,46
2022-08-01 12:05:00,48
2022-08-01 12:06:00,50
2022-08-01 12:07:00,45
2022-08-01 12:08:00,43
2022-08-01 12:09:00,46
2022-08-01 12:10:00,50
2022-08-01 12:11:00,47
2022-08-01 12:12:00,54
2022-08-01 12:13:00,45
2022-08-01 12:14:00,51
2022-08-01 12:15:00,54
2022-08-01 12:16:00,62
2022-08-01 12:17:00,48
2022-08-01 12:18:00,44
2022-08-01 12:19:00,53
2022-08-01 12:20:00,48
2022-08-01 12:21:00,47
2022-08-01 12:22:00,45
2022-08-01 12:23:00,50
2022-08-01 12:24:00,44
2022-08-01 12:25:00,51
2022-08-01 12:26:00,49
2022-08-01 12:27:00,43
2022-08-01 12:28:00,43
2022-08-01 12:29:00,43
2022-08-01 13:30:00,46
2022-08-01 13:31:00,62
2022-08-01 13:32:00,46
2022-08-01 13:33:00,47
2022-08-01 13:34:00,46
2022-08-01 13:35:00,46
2022-08-01 13:36:00,49
2022-08-01 13:37:00,49
2022-08-01 13:38:00,47
2022-08-01 13:39:00,62
2022-08-01 13:50:00,58
2022-08-01 13:51:00,59
2022-08-01 13:52:00,50
2022-08-01 13:53:00,53
2022-08-01 13:54:00,49
2022-08-01 13:55:00,49
2022-08-01 13:56:00,54
2022-08-01 13:57:00,57
2022-08-01 13:58:00,52
2022-08-01 13:59:00,45
2022-08-01 14:00:00,59
2022-08-01 14:01:00,59
2022-08-01 14:02:00,50
2022-08-01 14:03:00,52
2022-08-01 14:04:00,49
2022-08-01 14:06:00,51
2022-08-01 14:07:00,46
2022-08-01 14:08:00,51
2022-08-01 14:09:00,46
2022-08-01 14:10:00,49
2022-08-01 14:21:00,52
2022-08-01 14:22:00,47
2022-08-01 14:23:00,50
2022-08-01 14:24:00,64
2022-08-01 14:25:00,56
2022-08-01 14:26:00,48
2022-08-01 14:27:00,44
2022-08-01 14:28:00,48
2022-08-01 14:29:00,58
2022-08-01 17:38:00,43
