"Time","dt_sound_level_dB"
2022-08-01 00:24:00,46
2022-08-01 00:25:00,51
2022-08-01 00:26:00,45
2022-08-01 00:27:00,53
2022-08-01 00:28:00,49
2022-08-01 00:29:00,54
2022-08-01 00:30:00,49
2022-08-01 00:31:00,51
2022-08-01 00:32:00,48
2022-08-01 00:33:00,51
2022-08-01 00:45:00,56
2022-08-01 00:46:00,50
2022-08-01 00:47:00,48
2022-08-01 00:48:00,45
2022-08-01 00:49:00,48
2022-08-01 00:50:00,50
2022-08-01 00:51:00,48
2022-08-01 00:52:00,48
2022-08-01 00:53:00,48
2022-08-01 00:54:00,50
2022-08-01 00:55:00,51
2022-08-01 00:56:00,46
2022-08-01 00:57:00,45
2022-08-01 00:58:00,48
2022-08-01 00:59:00,44
2022-08-01 01:00:00,47
2022-08-01 01:01:00,48
2022-08-01 01:02:00,45
2022-08-01 01:03:00,52
2022-08-01 01:04:00,45
2022-08-01 01:05:00,47
2022-08-01 01:06:00,47
2022-08-01 01:07:00,48
2022-08-01 01:08:00,50
2022-08-01 01:09:00,45
2022-08-01 01:10:00,52
2022-08-01 01:11:00,44
2022-08-01 01:12:00,45
2022-08-01 01:13:00,49
2022-08-01 01:14:00,46
2022-08-01 01:15:00,48
2022-08-01 01:16:00,45
2022-08-01 01:17:00,54
2022-08-01 01:18:00,47
2022-08-01 01:19:00,45
2022-08-01 01:20:00,49
2022-08-01 01:21:00,46
2022-08-01 01:22:00,46
2022-08-01 01:23:00,48
2022-08-01 01:45:00,48
2022-08-01 01:46:00,47
2022-08-01 01:47:00,49
2022-08-01 01:48:00,48
2022-08-01 01:49:00,48
2022-08-01 01:50:00,46
2022-08-01 01:51:00,47
2022-08-01 01:52:00,48
2022-08-01 01:53:00,47
2022-08-01 01:54:00,47
2022-08-01 02:05:00,48
2022-08-01 02:06:00,44
2022-08-01 02:07:00,46
2022-08-01 02:08:00,48
2022-08-01 02:09:00,49
2022-08-01 02:10:00,52
2022-08-01 02:11:00,49
2022-08-01 02:12:00,44
2022-08-01 02:13:00,48
2022-08-01 02:14:00,45
2022-08-01 04:45:00,51
2022-08-01 04:46:00,47
2022-08-01 04:47:00,45
2022-08-01 04:48:00,47
2022-08-01 04:49:00,47
2022-08-01 04:50:00,49
2022-08-01 04:51:00,50
2022-08-01 04:52:00,49
2022-08-01 04:53:00,44
2022-08-01 04:54:00,45
2022-08-01 05:05:00,45
2022-08-01 05:06:00,48
2022-08-01 05:07:00,48
2022-08-01 05:08:00,46
2022-08-01 05:09:00,44
2022-08-01 05:10:00,47
2022-08-01 05:11:00,44
2022-08-01 05:12:00,44
2022-08-01 05:13:00,46
2022-08-01 05:14:00,44
2022-08-01 05:15:00,51
2022-08-01 05:16:00,51
2022-08-01 05:17:00,50
2022-08-01 05:18:00,49
2022-08-01 05:19:00,44
2022-08-01 05:20:00,50
2022-08-01 05:21:00,47
2022-08-01 05:22:00,48
2022-08-01 05:23:00,47
2022-08-01 07:35:00,59
2022-08-01 07:36:00,55
2022-08-01 07:37:00,56
2022-08-01 07:38:00,51
2022-08-01 07:39:00,59
2022-08-01 07:40:00,59
2022-08-01 07:41:00,51
2022-08-01 07:42:00,62
2022-08-01 07:43:00,57
2022-08-01 07:44:00,59
2022-08-01 07:55:00,57
2022-08-01 07:56:00,57
2022-08-01 07:57:00,51
2022-08-01 07:58:00,57
2022-08-01 07:59:00,56
2022-08-01 08:00:00,52
2022-08-01 08:01:00,58
2022-08-01 08:02:00,58
2022-08-01 08:03:00,49
2022-08-01 08:04:00,58
2022-08-01 08:05:00,57
2022-08-01 08:06:00,52
2022-08-01 08:07:00,58
2022-08-01 08:08:00,55
2022-08-01 08:09:00,52
2022-08-01 08:10:00,59
2022-08-01 08:11:00,58
2022-08-01 08:12:00,57
2022-08-01 08:13:00,60
2022-08-01 08:14:00,60
2022-08-01 09:44:00,54
2022-08-01 09:46:00,56
2022-08-01 09:47:00,56
2022-08-01 09:47:00,57
2022-08-01 09:49:00,59
2022-08-01 09:50:00,57
2022-08-01 09:51:00,58
2022-08-01 09:52:00,58
2022-08-01 09:53:00,54
2022-08-01 09:54:00,53
2022-08-01 11:35:00,60
2022-08-01 11:36:00,61
2022-08-01 11:37:00,57
2022-08-01 11:38:00,50
2022-08-01 11:39:00,52
2022-08-01 11:40:00,55
2022-08-01 11:41:00,58
2022-08-01 11:42:00,60
2022-08-01 11:43:00,58
2022-08-01 11:44:00,58
2022-08-01 12:05:00,57
2022-08-01 12:06:00,54
2022-08-01 12:07:00,57
2022-08-01 12:08:00,63
2022-08-01 12:09:00,61
2022-08-01 12:10:00,55
2022-08-01 12:11:00,57
2022-08-01 12:12:00,54
2022-08-01 12:13:00,66
2022-08-01 12:14:00,65
2022-08-01 14:05:00,56
2022-08-01 14:06:00,54
2022-08-01 14:07:00,62
2022-08-01 14:08:00,62
2022-08-01 14:09:00,62
2022-08-01 14:10:00,55
2022-08-01 14:11:00,64
2022-08-01 14:12:00,58
2022-08-01 14:13:00,62
2022-08-01 14:14:00,61
2022-08-01 19:45:00,55
2022-08-01 19:46:00,61
2022-08-01 19:47:00,60
2022-08-01 19:48:00,61
2022-08-01 19:49:00,59
2022-08-01 19:50:00,57
2022-08-01 19:51:00,54
2022-08-01 19:52:00,55
2022-08-01 19:53:00,54
2022-08-01 19:54:00,56
2022-08-01 21:26:00,51
2022-08-01 21:27:00,52
2022-08-01 21:28:00,51
2022-08-01 21:29:00,58
2022-08-01 21:30:00,55
2022-08-01 21:31:00,51
2022-08-01 21:32:00,50
2022-08-01 21:33:00,59
2022-08-01 21:34:00,54
2022-08-01 21:35:00,57
2022-08-01 22:05:00,53
2022-08-01 22:06:00,53
2022-08-01 22:07:00,55
2022-08-01 22:08:00,59
2022-08-01 22:09:00,55
2022-08-01 22:10:00,49
2022-08-01 22:11:00,52
2022-08-01 22:12:00,52
2022-08-01 22:13:00,54
2022-08-01 22:14:00,54
2022-08-01 23:30:00,51
2022-08-01 23:31:00,54
2022-08-01 23:32:00,53
2022-08-01 23:33:00,54
2022-08-01 23:34:00,54
2022-08-01 23:35:00,50
2022-08-01 23:36:00,51
2022-08-01 23:37:00,51
2022-08-01 23:38:00,51
2022-08-01 23:39:00,53
2022-08-01 23:40:00,49
2022-08-01 23:41:00,50
2022-08-01 23:42:00,47
2022-08-01 23:43:00,55
2022-08-01 23:44:00,54
2022-08-01 23:45:00,52
2022-08-01 23:46:00,46
2022-08-01 23:47:00,52
2022-08-01 23:48:00,49
2022-08-01 23:49:00,49
2022-08-02 01:00:00,47
2022-08-02 01:01:00,49
2022-08-02 01:02:00,49
2022-08-02 01:03:00,48
2022-08-02 01:04:00,48
2022-08-02 01:05:00,52
2022-08-02 01:06:00,52
2022-08-02 01:07:00,45
2022-08-02 01:08:00,50
2022-08-02 01:09:00,45
2022-08-02 01:10:00,52
2022-08-02 01:11:00,45
2022-08-02 01:12:00,50
2022-08-02 01:13:00,47
2022-08-02 01:14:00,49
2022-08-02 01:15:00,50
2022-08-02 01:16:00,49
2022-08-02 01:17:00,48
2022-08-02 01:18:00,50
2022-08-02 01:19:00,51
2022-08-02 01:20:00,49
2022-08-02 01:21:00,47
2022-08-02 01:22:00,48
2022-08-02 01:23:00,51
2022-08-02 01:24:00,47
2022-08-02 01:25:00,53
2022-08-02 01:26:00,51
2022-08-02 01:27:00,48
2022-08-02 01:28:00,50
2022-08-02 01:29:00,46
2022-08-02 02:30:00,52
2022-08-02 02:31:00,48
2022-08-02 02:32:00,50
2022-08-02 02:33:00,49
2022-08-02 02:34:00,46
2022-08-02 02:35:00,46
