"Time","dt_sound_level_dB"
2022-08-01 00:42:00,52
2022-08-01 00:43:00,48
2022-08-01 00:44:00,50
2022-08-01 00:45:00,52
2022-08-01 00:46:00,50
2022-08-01 00:47:00,50
2022-08-01 00:48:00,48
2022-08-01 00:49:00,49
2022-08-01 00:50:00,50
2022-08-01 00:51:00,49
2022-08-01 00:52:00,49
2022-08-01 00:53:00,46
2022-08-01 00:54:00,46
2022-08-01 00:55:00,48
2022-08-01 00:56:00,48
2022-08-01 00:57:00,46
2022-08-01 00:58:00,47
2022-08-01 00:59:00,47
2022-08-01 01:00:00,47
2022-08-01 01:01:00,48
2022-08-01 01:02:00,47
2022-08-01 01:03:00,53
2022-08-01 01:04:00,48
2022-08-01 01:05:00,52
2022-08-01 01:06:00,46
2022-08-01 01:07:00,49
2022-08-01 01:08:00,47
2022-08-01 01:09:00,47
2022-08-01 01:10:00,46
2022-08-01 01:11:00,46
2022-08-01 01:12:00,47
2022-08-01 01:13:00,46
2022-08-01 01:14:00,46
2022-08-01 01:15:00,46
2022-08-01 01:16:00,46
2022-08-01 01:17:00,47
2022-08-01 01:18:00,46
2022-08-01 01:19:00,48
2022-08-01 01:20:00,46
2022-08-01 01:21:00,47
2022-08-01 01:32:00,46
2022-08-01 01:34:00,47
2022-08-01 01:35:00,45
2022-08-01 01:36:00,47
2022-08-01 01:37:00,46
2022-08-01 01:38:00,46
2022-08-01 01:39:00,47
2022-08-01 01:40:00,49
2022-08-01 01:41:00,46
2022-08-01 01:52:00,46
2022-08-01 01:53:00,46
2022-08-01 01:54:00,46
2022-08-01 01:55:00,47
2022-08-01 01:56:00,46
2022-08-01 01:57:00,46
2022-08-01 01:58:00,46
2022-08-01 01:59:00,46
2022-08-01 02:00:00,50
2022-08-01 02:01:00,47
2022-08-01 02:02:00,46
2022-08-01 02:03:00,47
2022-08-01 02:04:00,47
2022-08-01 02:05:00,50
2022-08-01 02:06:00,50
2022-08-01 02:07:00,46
2022-08-01 02:08:00,48
2022-08-01 02:09:00,47
2022-08-01 02:10:00,47
2022-08-01 02:11:00,49
2022-08-01 02:12:00,49
2022-08-01 02:13:00,46
2022-08-01 02:14:00,47
2022-08-01 02:15:00,46
2022-08-01 02:16:00,46
2022-08-01 02:17:00,45
2022-08-01 02:18:00,46
2022-08-01 02:19:00,47
2022-08-01 02:20:00,46
2022-08-01 02:21:00,47
2022-08-01 04:52:00,47
2022-08-01 04:53:00,46
2022-08-01 04:54:00,47
2022-08-01 04:55:00,49
2022-08-01 04:56:00,47
2022-08-01 04:57:00,46
2022-08-01 04:58:00,51
2022-08-01 04:59:00,49
2022-08-01 05:00:00,47
2022-08-01 05:01:00,46
2022-08-01 05:22:00,47
2022-08-01 05:24:00,46
2022-08-01 05:25:00,50
2022-08-01 05:26:00,49
2022-08-01 05:26:00,52
2022-08-01 05:28:00,48
2022-08-01 05:29:00,46
2022-08-01 05:30:00,48
2022-08-01 05:31:00,46
2022-08-01 05:31:00,47
2022-08-01 07:43:00,59
2022-08-01 07:44:00,61
2022-08-01 07:45:00,57
2022-08-01 07:46:00,61
2022-08-01 07:47:00,59
2022-08-01 07:48:00,63
2022-08-01 07:49:00,51
2022-08-01 07:50:00,56
2022-08-01 07:51:00,57
2022-08-01 08:23:00,59
2022-08-01 08:24:00,62
2022-08-01 08:25:00,57
2022-08-01 08:26:00,62
2022-08-01 08:27:00,57
2022-08-01 08:28:00,57
2022-08-01 08:29:00,60
2022-08-01 08:29:00,62
2022-08-01 08:30:00,57
2022-08-01 08:31:00,59
2022-08-01 09:43:00,61
2022-08-01 09:44:00,61
2022-08-01 09:45:00,58
2022-08-01 09:46:00,58
2022-08-01 09:47:00,58
2022-08-01 09:48:00,62
2022-08-01 09:49:00,56
2022-08-01 09:50:00,59
2022-08-01 09:51:00,62
2022-08-01 10:22:00,63
2022-08-01 10:24:00,64
2022-08-01 10:25:00,61
2022-08-01 10:26:00,63
2022-08-01 10:27:00,58
2022-08-01 10:27:00,61
2022-08-01 10:29:00,61
2022-08-01 10:30:00,61
2022-08-01 10:30:00,64
2022-08-01 10:32:00,65
2022-08-01 11:33:00,57
2022-08-01 11:34:00,58
2022-08-01 11:35:00,60
2022-08-01 11:36:00,61
2022-08-01 11:37:00,57
2022-08-01 11:38:00,59
2022-08-01 11:39:00,60
2022-08-01 11:40:00,57
2022-08-01 11:41:00,60
2022-08-01 11:42:00,55
2022-08-01 11:43:00,57
2022-08-01 11:44:00,60
2022-08-01 11:45:00,62
2022-08-01 11:46:00,64
2022-08-01 11:47:00,61
2022-08-01 11:48:00,55
