"Time","dt_sound_level_dB"
2022-08-01 00:00:00,48
2022-08-01 00:01:00,56
2022-08-01 00:02:00,48
2022-08-01 00:03:00,50
2022-08-01 00:04:00,49
2022-08-01 00:05:00,48
2022-08-01 00:06:00,49
2022-08-01 00:07:00,48
2022-08-01 00:08:00,51
2022-08-01 00:09:00,49
2022-08-01 00:10:00,46
2022-08-01 00:11:00,50
2022-08-01 00:12:00,45
2022-08-01 00:13:00,45
2022-08-01 00:14:00,50
2022-08-01 00:15:00,51
2022-08-01 00:16:00,53
2022-08-01 00:17:00,50
2022-08-01 00:18:00,47
2022-08-01 00:19:00,49
2022-08-01 00:20:00,49
2022-08-01 00:21:00,50
2022-08-01 00:22:00,54
2022-08-01 00:23:00,48
2022-08-01 00:24:00,50
2022-08-01 00:25:00,47
2022-08-01 00:26:00,48
2022-08-01 00:27:00,50
2022-08-01 00:28:00,52
2022-08-01 00:29:00,52
2022-08-01 00:30:00,52
2022-08-01 00:31:00,51
2022-08-01 00:32:00,53
2022-08-01 00:33:00,46
2022-08-01 00:34:00,56
2022-08-01 00:35:00,51
2022-08-01 00:37:00,50
2022-08-01 00:38:00,49
2022-08-01 00:39:00,50
2022-08-01 00:40:00,49
2022-08-01 00:41:00,51
2022-08-01 00:42:00,48
2022-08-01 00:43:00,50
2022-08-01 00:44:00,52
2022-08-01 00:45:00,48
2022-08-01 00:46:00,48
2022-08-01 00:47:00,51
2022-08-01 00:48:00,49
2022-08-01 00:49:00,47
2022-08-01 00:50:00,50
2022-08-01 00:51:00,52
2022-08-01 00:52:00,52
2022-08-01 00:53:00,46
2022-08-01 00:54:00,47
2022-08-01 00:55:00,50
2022-08-01 00:56:00,55
2022-08-01 01:07:00,45
2022-08-01 01:08:00,49
2022-08-01 01:09:00,53
2022-08-01 01:10:00,50
2022-08-01 01:11:00,49
2022-08-01 01:12:00,45
2022-08-01 01:13:00,47
2022-08-01 01:14:00,47
2022-08-01 01:15:00,47
2022-08-01 01:16:00,50
2022-08-01 05:38:00,48
2022-08-01 05:39:00,50
2022-08-01 05:40:00,51
2022-08-01 05:41:00,50
2022-08-01 05:42:00,46
2022-08-01 05:43:00,48
2022-08-01 05:44:00,49
