"Time","dt_sound_level_dB"
2022-08-01 00:31:00,51
2022-08-01 00:32:00,51
2022-08-01 00:33:00,52
2022-08-01 00:34:00,50
2022-08-01 00:35:00,52
2022-08-01 00:36:00,49
2022-08-01 00:37:00,50
2022-08-01 00:38:00,49
2022-08-01 00:39:00,52
2022-08-01 00:40:00,49
2022-08-01 01:11:00,50
2022-08-01 01:12:00,49
2022-08-01 01:13:00,49
2022-08-01 01:15:00,51
2022-08-01 01:16:00,51
2022-08-01 01:17:00,48
2022-08-01 01:18:00,52
2022-08-01 01:19:00,48
2022-08-01 01:20:00,50
2022-08-01 01:21:00,49
2022-08-01 01:22:00,48
2022-08-01 01:23:00,49
2022-08-01 01:24:00,49
2022-08-01 01:25:00,49
2022-08-01 01:26:00,49
2022-08-01 01:27:00,52
2022-08-01 01:28:00,48
2022-08-01 01:29:00,51
2022-08-01 01:30:00,49
2022-08-01 01:31:00,48
2022-08-01 01:32:00,49
2022-08-01 01:33:00,49
2022-08-01 01:34:00,50
2022-08-01 01:35:00,48
2022-08-01 01:36:00,48
2022-08-01 01:37:00,50
2022-08-01 01:38:00,49
2022-08-01 01:39:00,48
2022-08-01 01:40:00,48
2022-08-01 01:41:00,49
2022-08-01 01:42:00,53
2022-08-01 01:43:00,50
2022-08-01 01:44:00,48
2022-08-01 01:45:00,49
2022-08-01 01:46:00,48
2022-08-01 01:47:00,50
2022-08-01 01:48:00,48
2022-08-01 01:49:00,51
2022-08-01 01:50:00,49
2022-08-01 02:11:00,50
2022-08-01 02:12:00,49
2022-08-01 02:13:00,51
2022-08-01 02:14:00,49
2022-08-01 02:16:00,48
2022-08-01 02:17:00,48
2022-08-01 02:18:00,51
2022-08-01 02:19:00,48
2022-08-01 02:20:00,49
2022-08-01 05:11:00,47
2022-08-01 05:13:00,46
2022-08-01 05:14:00,53
2022-08-01 05:15:00,49
2022-08-01 05:16:00,51
2022-08-01 05:17:00,50
2022-08-01 05:18:00,48
2022-08-01 05:19:00,48
2022-08-01 05:20:00,47
2022-08-01 05:21:00,48
2022-08-01 05:22:00,47
2022-08-01 05:23:00,48
2022-08-01 05:24:00,53
2022-08-01 05:25:00,48
2022-08-01 05:26:00,48
2022-08-01 05:27:00,60
2022-08-01 05:28:00,50
2022-08-01 05:29:00,47
2022-08-01 05:30:00,51
2022-08-01 07:41:00,56
2022-08-01 07:42:00,58
2022-08-01 07:43:00,55
2022-08-01 07:44:00,52
2022-08-01 07:45:00,59
2022-08-01 07:46:00,52
2022-08-01 07:47:00,58
2022-08-01 07:48:00,62
2022-08-01 07:49:00,62
2022-08-01 07:50:00,56
2022-08-01 07:51:00,56
2022-08-01 07:52:00,62
2022-08-01 07:53:00,55
2022-08-01 07:54:00,58
2022-08-01 07:55:00,57
2022-08-01 07:56:00,54
2022-08-01 07:57:00,58
2022-08-01 07:58:00,61
2022-08-01 07:59:00,51
2022-08-01 08:00:00,54
2022-08-01 09:51:00,64
2022-08-01 09:52:00,56
2022-08-01 09:53:00,53
2022-08-01 09:54:00,61
2022-08-01 09:55:00,55
2022-08-01 09:56:00,55
2022-08-01 09:57:00,61
2022-08-01 09:58:00,53
2022-08-01 09:59:00,54
2022-08-01 10:00:00,51
2022-08-01 14:12:00,61
2022-08-01 14:13:00,61
2022-08-01 14:14:00,59
2022-08-01 14:15:00,55
2022-08-01 14:16:00,61
2022-08-01 14:17:00,61
2022-08-01 14:18:00,63
2022-08-01 14:19:00,55
2022-08-01 14:20:00,64
2022-08-01 14:21:00,63
2022-08-01 14:22:00,58
2022-08-01 14:23:00,57
2022-08-01 14:24:00,65
2022-08-01 14:25:00,55
2022-08-01 14:26:00,54
2022-08-01 14:27:00,59
2022-08-01 14:28:00,54
2022-08-01 14:29:00,53
2022-08-01 14:30:00,55
2022-08-01 17:32:00,64
2022-08-01 17:33:00,62
2022-08-01 17:34:00,58
2022-08-01 17:35:00,64
2022-08-01 17:36:00,59
2022-08-01 17:37:00,64
2022-08-01 17:38:00,67
2022-08-01 17:39:00,57
2022-08-01 17:40:00,52
2022-08-01 18:06:00,61
2022-08-01 19:36:00,64
2022-08-01 19:37:00,52
2022-08-01 19:38:00,52
2022-08-01 19:39:00,56
2022-08-01 19:40:00,57
2022-08-01 19:41:00,58
2022-08-01 19:42:00,52
2022-08-01 19:43:00,52
2022-08-01 19:44:00,56
2022-08-01 19:46:00,58
2022-08-01 20:06:00,56
2022-08-01 20:07:00,55
2022-08-01 20:08:00,53
2022-08-01 20:09:00,50
2022-08-01 20:10:00,53
2022-08-01 20:11:00,64
2022-08-01 20:12:00,54
2022-08-01 20:13:00,60
2022-08-01 20:14:00,53
2022-08-01 20:15:00,52
2022-08-01 20:16:00,55
2022-08-01 20:17:00,57
2022-08-01 20:18:00,54
