"Time","dt_sound_level_dB"
2022-08-01 00:00:00,46
2022-08-01 00:01:00,46
2022-08-01 00:02:00,46
2022-08-01 00:03:00,46
2022-08-01 00:04:00,47
2022-08-01 00:05:00,46
2022-08-01 00:06:00,50
2022-08-01 00:07:00,46
2022-08-01 02:08:00,46
2022-08-01 02:09:00,48
2022-08-01 02:10:00,46
2022-08-01 02:11:00,46
2022-08-01 02:12:00,46
2022-08-01 02:13:00,46
2022-08-01 02:14:00,46
2022-08-01 02:15:00,46
2022-08-01 02:16:00,47
2022-08-01 02:17:00,46
2022-08-01 02:18:00,46
2022-08-01 02:19:00,46
2022-08-01 02:21:00,46
2022-08-01 02:22:00,46
2022-08-01 02:23:00,46
2022-08-01 02:24:00,46
2022-08-01 02:25:00,49
2022-08-01 02:26:00,46
2022-08-01 02:27:00,46
2022-08-01 02:28:00,46
2022-08-01 02:29:00,46
2022-08-01 02:30:00,46
2022-08-01 02:31:00,46
2022-08-01 02:32:00,46
2022-08-01 02:33:00,46
2022-08-01 02:34:00,46
2022-08-01 02:35:00,48
2022-08-01 02:36:00,46
2022-08-01 02:37:00,46
2022-08-01 02:38:00,48
2022-08-01 02:39:00,46
2022-08-01 02:40:00,46
2022-08-01 02:41:00,48
2022-08-01 02:42:00,46
2022-08-01 02:43:00,46
2022-08-01 02:44:00,46
2022-08-01 02:45:00,46
2022-08-01 02:46:00,46
2022-08-01 02:47:00,46
2022-08-01 03:08:00,46
2022-08-01 03:09:00,47
2022-08-01 03:10:00,46
2022-08-01 03:11:00,46
2022-08-01 03:12:00,46
2022-08-01 03:13:00,46
2022-08-01 03:14:00,46
2022-08-01 03:15:00,46
2022-08-01 03:16:00,46
2022-08-01 03:28:00,46
2022-08-01 03:29:00,46
2022-08-01 03:30:00,48
2022-08-01 03:31:00,46
2022-08-01 03:32:00,46
2022-08-01 03:33:00,48
2022-08-01 03:34:00,46
2022-08-01 03:35:00,46
2022-08-01 03:36:00,46
2022-08-01 03:37:00,46
2022-08-01 03:38:00,46
2022-08-01 03:39:00,46
2022-08-01 03:40:00,46
2022-08-01 03:41:00,46
2022-08-01 03:42:00,46
2022-08-01 03:43:00,46
2022-08-01 03:44:00,46
2022-08-01 03:45:00,46
2022-08-01 03:46:00,46
2022-08-01 03:47:00,46
2022-08-01 03:48:00,46
2022-08-01 03:49:00,46
2022-08-01 03:50:00,46
2022-08-01 03:51:00,46
2022-08-01 03:52:00,46
2022-08-01 03:53:00,46
2022-08-01 03:54:00,46
2022-08-01 03:55:00,46
2022-08-01 03:56:00,46
2022-08-01 03:57:00,47
2022-08-01 03:58:00,46
2022-08-01 03:59:00,46
2022-08-01 04:00:00,46
2022-08-01 04:01:00,46
2022-08-01 04:02:00,46
2022-08-01 04:03:00,46
2022-08-01 04:04:00,46
2022-08-01 04:05:00,46
2022-08-01 04:06:00,46
2022-08-01 04:07:00,46
2022-08-01 05:08:00,46
2022-08-01 05:09:00,47
2022-08-01 05:10:00,46
2022-08-01 05:11:00,46
2022-08-01 05:12:00,46
2022-08-01 05:13:00,50
2022-08-01 05:14:00,46
2022-08-01 05:15:00,46
2022-08-01 05:16:00,46
2022-08-01 05:17:00,46
2022-08-01 05:18:00,46
2022-08-01 05:20:00,46
2022-08-01 05:21:00,46
2022-08-01 05:22:00,46
2022-08-01 05:23:00,49
2022-08-01 05:24:00,46
2022-08-01 05:25:00,46
2022-08-01 05:26:00,46
2022-08-01 05:27:00,46
2022-08-01 05:48:00,49
2022-08-01 05:49:00,46
2022-08-01 05:50:00,46
2022-08-01 05:51:00,47
2022-08-01 05:52:00,46
2022-08-01 05:53:00,50
2022-08-01 05:54:00,46
2022-08-01 05:55:00,46
2022-08-01 05:56:00,46
2022-08-01 05:57:00,46
2022-08-01 05:58:00,46
2022-08-01 05:59:00,46
2022-08-01 06:00:00,53
2022-08-01 06:01:00,46
2022-08-01 06:02:00,46
2022-08-01 06:03:00,53
2022-08-01 06:04:00,49
2022-08-01 06:05:00,49
2022-08-01 06:06:00,48
2022-08-01 06:07:00,46
2022-08-01 08:08:00,48
2022-08-01 08:09:00,55
2022-08-01 08:10:00,47
2022-08-01 08:11:00,47
2022-08-01 08:12:00,53
2022-08-01 08:13:00,53
2022-08-01 08:14:00,56
2022-08-01 08:15:00,55
2022-08-01 08:16:00,47
2022-08-01 08:17:00,52
2022-08-01 08:19:00,50
2022-08-01 08:20:00,48
2022-08-01 08:21:00,54
2022-08-01 08:22:00,47
2022-08-01 08:23:00,58
2022-08-01 08:24:00,55
2022-08-01 08:25:00,52
2022-08-01 08:26:00,54
2022-08-01 08:27:00,51
2022-08-01 10:19:00,54
2022-08-01 10:20:00,55
2022-08-01 10:21:00,51
2022-08-01 10:22:00,51
2022-08-01 10:23:00,52
2022-08-01 10:24:00,46
2022-08-01 10:25:00,47
2022-08-01 10:26:00,53
2022-08-01 10:27:00,48
2022-08-01 10:38:00,53
2022-08-01 10:39:00,51
2022-08-01 10:40:00,50
2022-08-01 10:41:00,52
2022-08-01 10:42:00,48
2022-08-01 10:43:00,48
2022-08-01 10:44:00,49
2022-08-01 10:45:00,56
2022-08-01 10:46:00,49
2022-08-01 10:47:00,49
2022-08-01 10:58:00,50
2022-08-01 10:59:00,52
2022-08-01 11:00:00,49
2022-08-01 11:01:00,49
2022-08-01 11:02:00,50
2022-08-01 11:03:00,55
2022-08-01 11:04:00,52
2022-08-01 11:05:00,54
2022-08-01 11:06:00,53
2022-08-01 11:07:00,50
2022-08-01 11:08:00,52
2022-08-01 11:09:00,54
2022-08-01 11:10:00,52
2022-08-01 11:11:00,50
2022-08-01 11:12:00,56
2022-08-01 11:13:00,55
2022-08-01 11:14:00,58
2022-08-01 11:15:00,50
2022-08-01 11:16:00,54
2022-08-01 11:18:00,47
2022-08-01 11:19:00,50
2022-08-01 11:20:00,58
2022-08-01 11:21:00,50
2022-08-01 11:22:00,54
2022-08-01 11:23:00,53
2022-08-01 11:24:00,52
2022-08-01 11:25:00,52
2022-08-01 11:26:00,52
2022-08-01 11:27:00,53
2022-08-01 11:28:00,47
2022-08-01 11:29:00,50
2022-08-01 11:30:00,54
2022-08-01 11:31:00,48
2022-08-01 11:32:00,57
2022-08-01 11:33:00,50
2022-08-01 11:34:00,58
2022-08-01 11:35:00,58
2022-08-01 11:36:00,54
2022-08-01 11:37:00,52
2022-08-01 11:38:00,54
2022-08-01 11:39:00,55
2022-08-01 11:40:00,49
2022-08-01 11:41:00,54
2022-08-01 11:42:00,52
2022-08-01 11:43:00,55
2022-08-01 11:44:00,56
2022-08-01 11:45:00,56
2022-08-01 11:46:00,56
2022-08-01 11:47:00,47
2022-08-01 11:48:00,48
2022-08-01 11:49:00,52
2022-08-01 11:50:00,47
2022-08-01 11:51:00,52
2022-08-01 11:52:00,51
2022-08-01 11:53:00,49
2022-08-01 11:54:00,53
2022-08-01 11:55:00,53
2022-08-01 11:56:00,51
2022-08-01 11:57:00,47
2022-08-01 12:38:00,46
2022-08-01 12:39:00,53
2022-08-01 12:40:00,59
2022-08-01 12:41:00,50
2022-08-01 12:42:00,53
2022-08-01 12:43:00,55
2022-08-01 12:44:00,57
2022-08-01 12:45:00,57
2022-08-01 12:46:00,50
2022-08-01 12:47:00,51
2022-08-01 14:08:00,59
2022-08-01 14:09:00,50
2022-08-01 14:10:00,47
2022-08-01 14:11:00,57
2022-08-01 14:12:00,60
2022-08-01 14:13:00,59
2022-08-01 14:14:00,58
2022-08-01 14:15:00,54
2022-08-01 14:17:00,58
2022-08-01 14:18:00,53
2022-08-01 14:38:00,55
2022-08-01 14:39:00,57
2022-08-01 14:40:00,55
2022-08-01 14:41:00,51
2022-08-01 14:42:00,53
2022-08-01 14:43:00,54
2022-08-01 14:44:00,60
2022-08-01 14:45:00,51
2022-08-01 14:46:00,60
2022-08-01 14:47:00,64
2022-08-01 16:28:00,51
2022-08-01 16:29:00,51
2022-08-01 16:30:00,56
2022-08-01 16:31:00,54
2022-08-01 16:32:00,49
2022-08-01 16:33:00,52
2022-08-01 16:34:00,57
2022-08-01 16:35:00,52
2022-08-01 16:36:00,53
2022-08-01 16:37:00,55
2022-08-01 16:48:00,53
2022-08-01 16:49:00,59
2022-08-01 16:50:00,53
2022-08-01 16:51:00,48
2022-08-01 16:52:00,58
2022-08-01 16:53:00,58
2022-08-01 16:54:00,55
2022-08-01 16:55:00,53
2022-08-01 16:56:00,50
2022-08-01 16:57:00,50
2022-08-01 18:08:00,52
2022-08-01 18:09:00,53
2022-08-01 18:10:00,53
2022-08-01 18:11:00,55
2022-08-01 18:12:00,52
2022-08-01 18:13:00,55
2022-08-01 18:14:00,55
2022-08-01 18:16:00,53
2022-08-01 18:17:00,54
2022-08-01 18:18:00,51
2022-08-01 18:19:00,49
2022-08-01 18:20:00,57
2022-08-01 18:21:00,50
2022-08-01 18:22:00,49
2022-08-01 18:23:00,53
2022-08-01 18:24:00,49
2022-08-01 18:25:00,52
2022-08-01 18:26:00,57
2022-08-01 18:27:00,55
2022-08-01 18:28:00,51
2022-08-01 18:29:00,49
2022-08-01 18:30:00,55
2022-08-01 18:31:00,54
2022-08-01 18:32:00,52
2022-08-01 18:33:00,55
2022-08-01 18:34:00,55
2022-08-01 18:35:00,54
2022-08-01 18:36:00,57
2022-08-01 18:37:00,54
2022-08-01 18:48:00,55
2022-08-01 18:49:00,50
2022-08-01 18:50:00,47
2022-08-01 18:51:00,50
2022-08-01 18:52:00,51
2022-08-01 18:53:00,52
2022-08-01 18:54:00,53
2022-08-01 18:55:00,56
2022-08-01 18:56:00,53
2022-08-01 18:57:00,50
2022-08-01 22:13:00,47
2022-08-01 22:14:00,51
2022-08-01 22:15:00,51
2022-08-01 22:16:00,49
2022-08-01 22:17:00,51
2022-08-01 22:18:00,48
2022-08-01 22:19:00,48
2022-08-01 22:20:00,50
2022-08-01 22:21:00,49
2022-08-01 22:22:00,46
2022-08-01 22:23:00,47
2022-08-01 22:24:00,53
2022-08-01 22:25:00,54
2022-08-01 22:26:00,51
2022-08-01 22:27:00,46
2022-08-01 22:28:00,51
2022-08-01 22:29:00,49
2022-08-01 22:30:00,46
2022-08-01 22:31:00,50
2022-08-01 22:32:00,56
2022-08-02 01:43:00,46
2022-08-02 01:44:00,46
2022-08-02 01:45:00,46
2022-08-02 01:46:00,46
2022-08-02 01:47:00,46
2022-08-02 01:48:00,46
2022-08-02 01:49:00,46
2022-08-02 01:50:00,46
2022-08-02 01:51:00,46
2022-08-02 01:52:00,46
2022-08-02 02:03:00,46
2022-08-02 02:04:00,46
2022-08-02 02:05:00,46
2022-08-02 02:06:00,47
2022-08-02 02:07:00,50
2022-08-02 02:08:00,46
2022-08-02 02:09:00,46
2022-08-02 02:10:00,46
2022-08-02 02:11:00,46
2022-08-02 02:12:00,46
2022-08-02 02:23:00,46
2022-08-02 02:24:00,46
2022-08-02 02:25:00,46
2022-08-02 02:26:00,46
2022-08-02 02:27:00,50
2022-08-02 02:28:00,46
2022-08-02 02:29:00,46
2022-08-02 02:30:00,46
2022-08-02 02:31:00,46
2022-08-02 02:32:00,46
2022-08-02 02:33:00,46
2022-08-02 02:34:00,48
2022-08-02 02:35:00,46
2022-08-02 02:36:00,46
2022-08-02 02:37:00,51
2022-08-02 02:38:00,46
2022-08-02 02:39:00,46
2022-08-02 02:40:00,46
2022-08-02 02:41:00,46
2022-08-02 02:42:00,46
2022-08-02 02:43:00,47
2022-08-02 02:44:00,46
2022-08-02 02:45:00,46
2022-08-02 02:46:00,51
2022-08-02 02:47:00,48
2022-08-02 02:48:00,46
2022-08-02 02:49:00,49
2022-08-02 02:50:00,50
2022-08-02 02:51:00,46
2022-08-02 02:52:00,46
2022-08-02 05:13:00,46
2022-08-02 05:14:00,46
2022-08-02 05:15:00,46
2022-08-02 05:16:00,48
2022-08-02 05:17:00,46
2022-08-02 05:18:00,46
2022-08-02 05:19:00,47
2022-08-02 05:20:00,46
2022-08-02 05:21:00,47
2022-08-02 05:22:00,46
2022-08-02 07:43:00,55
2022-08-02 07:44:00,48
2022-08-02 07:45:00,60
2022-08-02 07:46:00,50
2022-08-02 07:47:00,52
2022-08-02 07:48:00,55
2022-08-02 07:49:00,54
2022-08-02 07:50:00,54
2022-08-02 07:51:00,54
2022-08-02 07:53:00,51
2022-08-02 07:54:00,53
2022-08-02 07:55:00,47
2022-08-02 07:56:00,54
2022-08-02 07:57:00,49
2022-08-02 07:58:00,50
2022-08-02 07:59:00,53
2022-08-02 08:00:00,54
2022-08-02 08:01:00,50
2022-08-02 08:02:00,49
2022-08-02 10:13:00,53
2022-08-02 10:14:00,51
2022-08-02 10:15:00,55
2022-08-02 10:16:00,51
2022-08-02 10:17:00,62
2022-08-02 10:18:00,54
2022-08-02 10:19:00,48
2022-08-02 10:20:00,58
2022-08-02 10:21:00,50
2022-08-02 10:22:00,51
2022-08-02 10:43:00,59
2022-08-02 10:44:00,49
2022-08-02 10:45:00,56
2022-08-02 10:46:00,46
2022-08-02 10:47:00,50
2022-08-02 10:48:00,57
2022-08-02 10:49:00,47
2022-08-02 10:50:00,54
2022-08-02 10:51:00,49
2022-08-02 10:52:00,52
2022-08-02 10:54:00,51
2022-08-02 10:55:00,51
2022-08-02 10:56:00,52
2022-08-02 10:57:00,54
2022-08-02 10:58:00,57
2022-08-02 10:59:00,49
2022-08-02 11:00:00,54
2022-08-02 11:01:00,50
2022-08-02 11:02:00,53
2022-08-02 11:03:00,55
2022-08-02 11:04:00,53
2022-08-02 11:05:00,51
2022-08-02 11:06:00,58
2022-08-02 11:07:00,55
2022-08-02 11:08:00,56
2022-08-02 11:09:00,54
2022-08-02 11:10:00,53
2022-08-02 11:11:00,50
2022-08-02 11:12:00,59
2022-08-02 11:13:00,54
2022-08-02 11:14:00,55
2022-08-02 11:15:00,50
2022-08-02 11:16:00,52
2022-08-02 11:17:00,47
2022-08-02 11:18:00,54
2022-08-02 11:19:00,58
2022-08-02 11:20:00,52
2022-08-02 11:21:00,51
