"Time","dt_sound_level_dB"
2022-08-01 03:08:00,49
2022-08-01 03:09:00,49
2022-08-01 03:10:00,48
2022-08-01 03:11:00,47
2022-08-01 03:12:00,49
2022-08-01 03:13:00,47
2022-08-01 03:14:00,50
2022-08-01 03:15:00,48
2022-08-01 03:16:00,47
2022-08-01 03:17:00,50
2022-08-01 03:39:00,49
2022-08-01 03:40:00,48
2022-08-01 03:41:00,47
2022-08-01 03:42:00,47
2022-08-01 03:43:00,48
2022-08-01 03:44:00,48
2022-08-01 03:45:00,46
2022-08-01 03:46:00,47
2022-08-01 03:47:00,47
2022-08-01 03:48:00,49
2022-08-01 03:58:00,48
2022-08-01 03:59:00,47
2022-08-01 04:00:00,46
2022-08-01 04:01:00,50
2022-08-01 04:02:00,47
2022-08-01 04:03:00,47
2022-08-01 04:04:00,48
2022-08-01 04:05:00,48
2022-08-01 04:06:00,48
2022-08-01 04:07:00,46
2022-08-01 06:08:00,55
2022-08-01 06:09:00,55
2022-08-01 06:10:00,57
2022-08-01 06:11:00,50
2022-08-01 06:12:00,49
2022-08-01 06:13:00,52
2022-08-01 06:14:00,57
2022-08-01 06:15:00,53
2022-08-01 06:16:00,58
2022-08-01 06:17:00,52
2022-08-01 06:29:00,52
2022-08-01 06:30:00,50
2022-08-01 06:31:00,51
2022-08-01 06:32:00,55
2022-08-01 06:33:00,51
2022-08-01 06:34:00,56
2022-08-01 06:35:00,51
2022-08-01 06:36:00,50
2022-08-01 06:37:00,50
2022-08-01 06:38:00,55
2022-08-01 06:59:00,51
2022-08-01 07:00:00,54
2022-08-01 07:01:00,56
2022-08-01 07:02:00,55
2022-08-01 07:03:00,51
2022-08-01 07:04:00,55
2022-08-01 07:05:00,57
2022-08-01 07:06:00,56
2022-08-01 07:07:00,51
2022-08-01 07:18:00,57
2022-08-01 07:19:00,54
2022-08-01 07:20:00,53
2022-08-01 07:21:00,54
2022-08-01 07:22:00,52
2022-08-01 07:23:00,60
2022-08-01 07:25:00,55
2022-08-01 07:26:00,56
2022-08-01 07:27:00,55
2022-08-01 07:28:00,55
2022-08-01 07:39:00,58
2022-08-01 07:40:00,58
2022-08-01 07:41:00,56
2022-08-01 07:42:00,52
2022-08-01 07:43:00,55
2022-08-01 07:44:00,56
2022-08-01 07:45:00,58
2022-08-01 07:46:00,61
2022-08-01 07:47:00,54
2022-08-01 07:48:00,51
2022-08-01 07:49:00,53
2022-08-01 07:50:00,62
2022-08-01 07:51:00,58
2022-08-01 07:52:00,58
2022-08-01 07:53:00,60
2022-08-01 07:54:00,56
2022-08-01 07:55:00,52
2022-08-01 07:56:00,51
2022-08-01 07:57:00,55
2022-08-01 07:58:00,58
2022-08-01 08:08:00,52
2022-08-01 08:09:00,56
2022-08-01 08:10:00,56
2022-08-01 08:11:00,61
2022-08-01 08:12:00,58
2022-08-01 08:13:00,60
2022-08-01 08:15:00,55
2022-08-01 08:16:00,55
2022-08-01 08:17:00,58
2022-08-01 08:18:00,57
2022-08-01 08:59:00,59
2022-08-01 09:00:00,56
2022-08-01 09:01:00,56
2022-08-01 09:02:00,53
2022-08-01 09:03:00,59
2022-08-01 09:04:00,60
2022-08-01 09:05:00,62
2022-08-01 09:06:00,58
2022-08-01 09:07:00,56
2022-08-01 09:08:00,53
2022-08-01 09:09:00,58
2022-08-01 09:10:00,61
2022-08-01 09:11:00,58
2022-08-01 09:12:00,61
2022-08-01 09:14:00,56
2022-08-01 09:15:00,56
2022-08-01 09:16:00,56
2022-08-01 09:17:00,57
