"Time","dt_sound_level_dB"
2022-08-01 00:00:00,48
2022-08-01 00:01:00,45
2022-08-01 00:02:00,47
2022-08-01 00:03:00,46
2022-08-01 00:04:00,50
2022-08-01 00:05:00,48
2022-08-01 00:06:00,45
2022-08-01 00:07:00,48
2022-08-01 00:08:00,49
2022-08-01 00:09:00,47
2022-08-01 00:10:00,50
2022-08-01 00:11:00,46
2022-08-01 00:12:00,45
2022-08-01 00:13:00,45
2022-08-01 00:14:00,49
2022-08-01 00:15:00,46
2022-08-01 00:16:00,50
2022-08-01 00:17:00,46
2022-08-01 00:18:00,50
2022-08-01 00:19:00,51
2022-08-01 00:20:00,45
2022-08-01 00:21:00,51
2022-08-01 00:22:00,45
2022-08-01 00:23:00,46
2022-08-01 00:24:00,48
2022-08-01 00:25:00,46
2022-08-01 00:26:00,46
2022-08-01 00:37:00,45
2022-08-01 00:38:00,48
2022-08-01 00:40:00,47
2022-08-01 00:41:00,46
2022-08-01 00:42:00,45
2022-08-01 00:43:00,45
2022-08-01 00:44:00,46
2022-08-01 00:45:00,45
2022-08-01 00:46:00,45
2022-08-01 00:47:00,45
2022-08-01 00:58:00,46
2022-08-01 00:59:00,47
2022-08-01 01:00:00,47
2022-08-01 01:01:00,45
2022-08-01 01:02:00,46
2022-08-01 01:03:00,49
2022-08-01 01:04:00,46
2022-08-01 01:05:00,45
2022-08-01 01:06:00,46
2022-08-01 01:07:00,46
2022-08-01 01:08:00,46
2022-08-01 01:09:00,46
2022-08-01 01:10:00,49
2022-08-01 01:11:00,46
2022-08-01 01:12:00,50
2022-08-01 01:13:00,45
2022-08-01 01:14:00,45
2022-08-01 01:15:00,45
2022-08-01 01:16:00,46
2022-08-01 01:17:00,45
2022-08-01 01:18:00,47
2022-08-01 01:19:00,47
2022-08-01 01:20:00,49
2022-08-01 01:21:00,48
2022-08-01 01:22:00,45
2022-08-01 01:23:00,46
2022-08-01 01:24:00,44
2022-08-01 01:25:00,45
2022-08-01 01:26:00,47
2022-08-01 01:58:00,45
2022-08-01 01:59:00,45
2022-08-01 02:00:00,44
2022-08-01 02:01:00,44
2022-08-01 02:02:00,48
2022-08-01 02:03:00,45
2022-08-01 02:04:00,46
2022-08-01 02:05:00,45
2022-08-01 02:06:00,49
2022-08-01 02:07:00,45
2022-08-01 02:37:00,45
2022-08-01 02:38:00,45
2022-08-01 02:40:00,49
2022-08-01 02:41:00,47
2022-08-01 02:42:00,46
2022-08-01 02:43:00,48
2022-08-01 02:44:00,45
2022-08-01 02:45:00,45
2022-08-01 02:46:00,47
2022-08-01 02:47:00,44
2022-08-01 02:48:00,47
2022-08-01 02:49:00,46
2022-08-01 02:50:00,45
2022-08-01 02:51:00,45
2022-08-01 02:52:00,45
2022-08-01 02:53:00,45
2022-08-01 02:54:00,45
