"Time","dt_sound_level_dB"
2022-08-01 00:25:00,46
2022-08-01 00:26:00,45
2022-08-01 00:27:00,44
2022-08-01 00:28:00,44
2022-08-01 00:29:00,46
2022-08-01 00:30:00,44
2022-08-01 00:31:00,44
2022-08-01 00:32:00,46
2022-08-01 00:33:00,46
2022-08-01 00:34:00,44
2022-08-01 00:44:00,44
2022-08-01 00:45:00,44
2022-08-01 00:46:00,44
2022-08-01 00:47:00,44
2022-08-01 00:48:00,44
2022-08-01 00:49:00,44
2022-08-01 00:50:00,45
2022-08-01 00:51:00,45
2022-08-01 00:52:00,45
2022-08-01 00:53:00,47
2022-08-01 00:54:00,44
2022-08-01 00:55:00,44
2022-08-01 00:56:00,46
2022-08-01 00:57:00,44
2022-08-01 00:58:00,44
2022-08-01 00:59:00,44
2022-08-01 01:01:00,44
2022-08-01 01:02:00,46
2022-08-01 01:03:00,45
2022-08-01 01:04:00,44
2022-08-01 01:05:00,46
2022-08-01 01:06:00,46
2022-08-01 01:07:00,44
2022-08-01 01:08:00,46
2022-08-01 01:09:00,44
2022-08-01 01:10:00,44
2022-08-01 01:11:00,44
2022-08-01 01:12:00,44
2022-08-01 01:13:00,44
2022-08-01 01:14:00,45
2022-08-01 01:15:00,44
2022-08-01 01:16:00,44
2022-08-01 01:17:00,44
2022-08-01 01:18:00,44
2022-08-01 01:19:00,44
2022-08-01 01:20:00,44
2022-08-01 01:21:00,45
2022-08-01 01:22:00,46
2022-08-01 01:23:00,46
2022-08-01 01:24:00,44
2022-08-01 01:25:00,44
2022-08-01 01:26:00,45
2022-08-01 01:27:00,44
2022-08-01 01:28:00,44
2022-08-01 01:29:00,45
2022-08-01 01:30:00,44
2022-08-01 01:31:00,45
2022-08-01 01:32:00,46
2022-08-01 01:33:00,44
2022-08-01 01:34:00,44
2022-08-01 01:35:00,45
2022-08-01 01:36:00,46
2022-08-01 01:37:00,44
2022-08-01 01:38:00,44
2022-08-01 01:39:00,44
2022-08-01 01:40:00,45
2022-08-01 01:41:00,44
2022-08-01 01:42:00,45
2022-08-01 01:43:00,45
2022-08-01 01:54:00,44
2022-08-01 01:55:00,46
2022-08-01 01:56:00,44
2022-08-01 01:57:00,44
2022-08-01 01:58:00,44
2022-08-01 01:59:00,44
2022-08-01 02:00:00,46
2022-08-01 02:02:00,44
2022-08-01 02:03:00,45
2022-08-01 02:04:00,44
2022-08-01 02:15:00,44
2022-08-01 02:16:00,44
2022-08-01 02:17:00,46
2022-08-01 02:18:00,44
2022-08-01 02:19:00,44
2022-08-01 02:20:00,44
2022-08-01 02:21:00,44
2022-08-01 02:22:00,44
2022-08-01 02:23:00,44
2022-08-01 02:24:00,46
2022-08-01 02:54:00,44
2022-08-01 02:55:00,44
2022-08-01 02:56:00,44
2022-08-01 02:57:00,46
2022-08-01 02:58:00,44
2022-08-01 02:59:00,44
2022-08-01 03:00:00,44
2022-08-01 03:01:00,44
2022-08-01 03:03:00,46
2022-08-01 03:04:00,44
2022-08-01 03:05:00,46
2022-08-01 03:06:00,46
2022-08-01 03:07:00,44
2022-08-01 03:08:00,45
2022-08-01 03:09:00,44
2022-08-01 03:10:00,44
2022-08-01 03:11:00,46
2022-08-01 03:12:00,44
2022-08-01 03:13:00,44
2022-08-01 03:14:00,44
2022-08-01 03:15:00,44
2022-08-01 03:16:00,45
2022-08-01 03:17:00,44
2022-08-01 03:18:00,44
2022-08-01 03:19:00,44
2022-08-01 03:20:00,44
2022-08-01 03:21:00,44
2022-08-01 03:22:00,44
2022-08-01 03:23:00,44
2022-08-01 03:24:00,44
2022-08-01 03:25:00,44
2022-08-01 03:26:00,44
2022-08-01 03:27:00,46
2022-08-01 03:28:00,44
2022-08-01 03:29:00,44
2022-08-01 03:30:00,45
2022-08-01 03:31:00,44
2022-08-01 03:32:00,44
2022-08-01 03:33:00,44
2022-08-01 03:34:00,44
2022-08-01 04:45:00,44
2022-08-01 04:46:00,44
2022-08-01 04:47:00,47
2022-08-01 04:48:00,45
2022-08-01 04:49:00,45
2022-08-01 04:50:00,46
2022-08-01 04:51:00,46
2022-08-01 04:52:00,52
2022-08-01 04:53:00,45
2022-08-01 05:15:00,45
2022-08-01 05:16:00,45
2022-08-01 05:17:00,45
2022-08-01 05:18:00,44
2022-08-01 05:19:00,46
2022-08-01 05:20:00,44
2022-08-01 05:21:00,44
2022-08-01 05:22:00,44
2022-08-01 05:23:00,45
2022-08-01 05:24:00,47
2022-08-01 07:35:00,48
2022-08-01 07:36:00,49
2022-08-01 07:37:00,45
2022-08-01 07:38:00,46
2022-08-01 07:39:00,47
2022-08-01 07:40:00,46
2022-08-01 07:41:00,46
2022-08-01 07:42:00,46
2022-08-01 07:43:00,47
2022-08-01 07:44:00,52
2022-08-01 07:54:00,45
2022-08-01 07:55:00,45
2022-08-01 07:56:00,47
2022-08-01 07:57:00,46
2022-08-01 07:59:00,46
2022-08-01 08:00:00,47
2022-08-01 08:01:00,46
2022-08-01 08:02:00,46
2022-08-01 08:03:00,47
2022-08-01 08:04:00,48
2022-08-01 08:05:00,45
2022-08-01 08:06:00,45
2022-08-01 08:07:00,45
2022-08-01 08:08:00,45
2022-08-01 08:09:00,45
2022-08-01 08:10:00,45
2022-08-01 08:11:00,49
2022-08-01 08:12:00,49
2022-08-01 08:13:00,47
2022-08-01 08:14:00,46
2022-08-01 08:45:00,47
2022-08-01 08:46:00,47
2022-08-01 08:47:00,46
2022-08-01 08:48:00,47
2022-08-01 08:49:00,46
2022-08-01 08:50:00,45
2022-08-01 08:51:00,44
2022-08-01 08:52:00,45
2022-08-01 08:53:00,46
2022-08-01 09:25:00,45
2022-08-01 09:26:00,45
2022-08-01 09:27:00,45
2022-08-01 09:28:00,46
2022-08-01 09:29:00,46
2022-08-01 09:30:00,47
2022-08-01 09:31:00,47
2022-08-01 09:32:00,49
2022-08-01 09:33:00,50
2022-08-01 09:34:00,57
2022-08-01 09:54:00,46
2022-08-01 09:55:00,46
2022-08-01 09:56:00,48
2022-08-01 09:57:00,48
2022-08-01 09:58:00,46
2022-08-01 09:59:00,48
2022-08-01 10:01:00,47
2022-08-01 10:02:00,47
2022-08-01 10:03:00,47
2022-08-01 10:04:00,46
2022-08-01 11:35:00,53
2022-08-01 11:36:00,53
2022-08-01 11:37:00,50
2022-08-01 11:38:00,52
2022-08-01 11:39:00,45
2022-08-01 11:40:00,48
2022-08-01 11:41:00,54
2022-08-01 11:42:00,46
2022-08-01 11:43:00,49
2022-08-01 11:44:00,46
2022-08-01 11:55:00,45
2022-08-01 11:56:00,46
2022-08-01 11:57:00,47
2022-08-01 11:58:00,45
2022-08-01 11:59:00,47
2022-08-01 12:00:00,49
2022-08-01 12:01:00,50
2022-08-01 12:03:00,49
2022-08-01 12:04:00,51
2022-08-01 12:25:00,52
2022-08-01 12:26:00,54
2022-08-01 12:27:00,54
2022-08-01 12:28:00,56
2022-08-01 12:29:00,53
2022-08-01 12:30:00,56
2022-08-01 12:31:00,54
2022-08-01 12:32:00,50
2022-08-01 12:33:00,49
2022-08-01 12:34:00,49
2022-08-01 13:05:00,57
2022-08-01 13:06:00,62
2022-08-01 13:07:00,56
2022-08-01 13:08:00,55
2022-08-01 13:09:00,53
2022-08-01 13:10:00,48
2022-08-01 13:11:00,49
2022-08-01 13:12:00,51
2022-08-01 13:13:00,51
2022-08-01 13:14:00,58
2022-08-01 13:15:00,52
2022-08-01 13:16:00,50
2022-08-01 13:17:00,53
2022-08-01 13:18:00,49
2022-08-01 13:19:00,49
2022-08-01 13:20:00,48
2022-08-01 13:21:00,48
2022-08-01 13:22:00,49
2022-08-01 13:23:00,48
2022-08-01 13:24:00,50
2022-08-01 13:25:00,46
2022-08-01 13:26:00,46
2022-08-01 13:27:00,48
2022-08-01 13:28:00,51
2022-08-01 13:29:00,48
2022-08-01 13:30:00,47
2022-08-01 13:31:00,47
2022-08-01 13:32:00,53
2022-08-01 13:33:00,50
2022-08-01 13:34:00,49
2022-08-01 14:15:00,53
2022-08-01 14:16:00,47
2022-08-01 14:17:00,54
2022-08-01 14:18:00,52
2022-08-01 14:19:00,54
2022-08-01 14:20:00,51
2022-08-01 14:21:00,48
2022-08-01 14:22:00,53
2022-08-01 14:23:00,54
2022-08-01 14:24:00,47
2022-08-01 14:35:00,50
2022-08-01 14:36:00,48
2022-08-01 14:37:00,47
2022-08-01 14:38:00,51
2022-08-01 14:39:00,47
2022-08-01 14:40:00,46
2022-08-01 14:41:00,48
2022-08-01 14:42:00,47
2022-08-01 14:43:00,45
2022-08-01 14:44:00,49
2022-08-01 14:45:00,47
2022-08-01 14:46:00,47
2022-08-01 14:47:00,48
2022-08-01 14:48:00,47
2022-08-01 14:49:00,49
2022-08-01 14:50:00,55
2022-08-01 14:51:00,52
2022-08-01 14:52:00,54
2022-08-01 14:53:00,52
2022-08-01 14:54:00,57
2022-08-01 15:04:00,57
2022-08-01 15:06:00,49
2022-08-01 15:07:00,48
2022-08-01 15:08:00,51
2022-08-01 15:09:00,48
2022-08-01 15:10:00,48
2022-08-01 15:11:00,47
2022-08-01 15:12:00,50
2022-08-01 15:13:00,47
2022-08-01 15:14:00,49
2022-08-01 15:15:00,47
2022-08-01 15:16:00,48
2022-08-01 15:17:00,47
2022-08-01 15:18:00,51
2022-08-01 15:19:00,56
2022-08-01 15:20:00,59
2022-08-01 15:21:00,53
2022-08-01 15:22:00,50
2022-08-01 15:23:00,53
2022-08-01 15:24:00,53
2022-08-01 15:25:00,47
2022-08-01 15:26:00,46
2022-08-01 15:27:00,48
2022-08-01 15:28:00,46
2022-08-01 15:29:00,50
2022-08-01 15:30:00,52
2022-08-01 15:31:00,45
2022-08-01 15:32:00,46
2022-08-01 15:33:00,51
2022-08-01 15:34:00,45
2022-08-01 15:55:00,49
2022-08-01 15:56:00,53
2022-08-01 15:57:00,49
2022-08-01 15:58:00,51
2022-08-01 15:59:00,49
2022-08-01 16:00:00,47
2022-08-01 16:01:00,48
2022-08-01 16:02:00,46
2022-08-01 16:03:00,46
2022-08-01 16:04:00,47
2022-08-01 16:05:00,50
2022-08-01 16:07:00,46
2022-08-01 16:08:00,47
2022-08-01 16:09:00,51
2022-08-01 16:10:00,55
2022-08-01 16:11:00,52
2022-08-01 16:12:00,50
2022-08-01 16:13:00,54
2022-08-01 16:14:00,53
2022-08-01 17:35:00,46
2022-08-01 17:36:00,49
2022-08-01 17:37:00,47
2022-08-01 17:38:00,48
2022-08-01 17:39:00,47
2022-08-01 17:40:00,49
2022-08-01 17:41:00,47
2022-08-01 17:42:00,46
2022-08-01 17:43:00,46
2022-08-01 17:44:00,46
2022-08-01 18:55:00,48
2022-08-01 18:56:00,56
2022-08-01 18:57:00,47
2022-08-01 18:58:00,45
2022-08-01 18:59:00,45
2022-08-01 19:00:00,46
2022-08-01 19:01:00,46
2022-08-01 19:02:00,45
2022-08-01 19:03:00,44
2022-08-01 19:15:00,47
2022-08-01 19:16:00,45
2022-08-01 19:17:00,47
2022-08-01 19:18:00,45
2022-08-01 19:19:00,48
2022-08-01 19:20:00,46
2022-08-01 19:21:00,45
2022-08-01 19:22:00,48
2022-08-01 19:23:00,46
2022-08-01 19:24:00,46
2022-08-01 20:04:00,45
2022-08-01 20:05:00,44
2022-08-01 20:06:00,45
2022-08-01 20:07:00,47
2022-08-01 20:09:00,47
2022-08-01 20:10:00,48
2022-08-01 20:11:00,47
2022-08-01 20:12:00,48
2022-08-01 20:13:00,45
2022-08-01 20:14:00,45
