"Time","dt_sound_level_dB"
2022-08-01 00:30:00,46
2022-08-01 00:30:00,50
2022-08-01 00:32:00,49
2022-08-01 00:33:00,49
2022-08-01 00:33:00,50
2022-08-01 00:35:00,48
2022-08-01 00:36:00,46
2022-08-01 00:37:00,45
2022-08-01 00:37:00,47
2022-08-01 00:39:00,49
2022-08-01 00:40:00,51
2022-08-01 00:41:00,47
2022-08-01 00:41:00,49
2022-08-01 00:43:00,46
2022-08-01 00:44:00,49
2022-08-01 00:45:00,48
2022-08-01 00:47:00,47
2022-08-01 00:48:00,45
2022-08-01 00:50:00,44
2022-08-01 00:51:00,43
2022-08-01 00:52:00,47
2022-08-01 00:53:00,43
2022-08-01 00:54:00,43
2022-08-01 00:55:00,44
2022-08-01 00:56:00,47
2022-08-01 00:57:00,47
2022-08-01 00:58:00,44
2022-08-01 01:20:00,49
2022-08-01 01:21:00,50
2022-08-01 01:22:00,49
2022-08-01 01:23:00,49
2022-08-01 01:24:00,50
2022-08-01 01:25:00,50
2022-08-01 01:26:00,51
2022-08-01 01:27:00,49
2022-08-01 01:28:00,50
2022-08-01 01:29:00,51
2022-08-01 02:30:00,45
2022-08-01 02:31:00,44
2022-08-01 02:32:00,49
2022-08-01 02:33:00,51
2022-08-01 02:34:00,49
2022-08-01 02:35:00,48
2022-08-01 02:36:00,47
2022-08-01 02:37:00,49
2022-08-01 02:38:00,50
2022-08-01 02:39:00,49
2022-08-01 02:59:00,49
2022-08-01 03:00:00,47
2022-08-01 03:01:00,47
2022-08-01 03:02:00,49
2022-08-01 03:03:00,50
2022-08-01 03:05:00,55
2022-08-01 03:06:00,54
2022-08-01 03:07:00,51
2022-08-01 03:08:00,45
2022-08-01 03:09:00,45
2022-08-01 03:20:00,45
2022-08-01 03:21:00,47
2022-08-01 03:22:00,48
2022-08-01 03:23:00,50
2022-08-01 03:24:00,50
2022-08-01 03:25:00,48
2022-08-01 03:26:00,47
2022-08-01 03:27:00,44
2022-08-01 03:28:00,43
2022-08-01 03:29:00,44
2022-08-01 03:30:00,44
2022-08-01 03:31:00,48
2022-08-01 03:32:00,50
2022-08-01 03:33:00,48
2022-08-01 03:34:00,47
2022-08-01 03:35:00,48
2022-08-01 03:36:00,49
2022-08-01 03:37:00,48
2022-08-01 03:38:00,53
2022-08-01 03:39:00,47
2022-08-01 04:30:00,49
2022-08-01 04:31:00,51
2022-08-01 04:32:00,50
2022-08-01 04:33:00,51
2022-08-01 04:34:00,47
2022-08-01 04:35:00,49
2022-08-01 04:36:00,51
2022-08-01 04:37:00,51
2022-08-01 04:38:00,48
2022-08-01 04:39:00,47
2022-08-01 04:40:00,47
2022-08-01 04:41:00,46
2022-08-01 04:42:00,49
2022-08-01 04:43:00,51
2022-08-01 04:44:00,50
2022-08-01 04:45:00,48
2022-08-01 04:46:00,49
2022-08-01 04:47:00,48
2022-08-01 04:48:00,47
2022-08-01 04:49:00,51
2022-08-01 04:50:00,52
2022-08-01 04:51:00,50
2022-08-01 04:52:00,49
2022-08-01 04:53:00,48
2022-08-01 04:54:00,47
2022-08-01 04:55:00,49
2022-08-01 04:56:00,48
2022-08-01 04:57:00,52
2022-08-01 04:58:00,52
2022-08-01 04:59:00,49
2022-08-01 05:00:00,49
2022-08-01 05:01:00,51
2022-08-01 05:02:00,51
2022-08-01 05:03:00,51
2022-08-01 05:05:00,51
2022-08-01 05:06:00,52
2022-08-01 05:07:00,54
2022-08-01 05:08:00,51
2022-08-01 05:09:00,51
2022-08-01 05:20:00,48
2022-08-01 05:21:00,50
2022-08-01 05:22:00,51
2022-08-01 05:23:00,48
2022-08-01 05:24:00,52
2022-08-01 05:25:00,50
2022-08-01 05:26:00,50
2022-08-01 05:27:00,49
2022-08-01 05:28:00,49
2022-08-01 05:29:00,49
2022-08-01 05:40:00,49
2022-08-01 05:41:00,49
2022-08-01 05:42:00,49
2022-08-01 05:43:00,48
2022-08-01 05:44:00,47
2022-08-01 05:45:00,50
2022-08-01 05:46:00,50
2022-08-01 05:47:00,49
2022-08-01 05:48:00,48
2022-08-01 05:49:00,47
2022-08-01 05:50:00,54
2022-08-01 05:51:00,46
2022-08-01 05:52:00,48
2022-08-01 05:53:00,49
2022-08-01 05:54:00,51
2022-08-01 05:55:00,49
2022-08-01 05:56:00,48
2022-08-01 05:57:00,47
2022-08-01 05:58:00,50
2022-08-01 06:30:00,45
2022-08-01 06:31:00,45
2022-08-01 06:32:00,46
2022-08-01 06:33:00,48
2022-08-01 06:34:00,51
2022-08-01 06:35:00,51
2022-08-01 06:36:00,50
2022-08-01 06:37:00,47
2022-08-01 06:38:00,47
2022-08-01 06:39:00,46
2022-08-01 06:59:00,47
