"Time","dt_sound_level_dB"
2022-08-01 03:29:00,49
2022-08-01 03:30:00,51
2022-08-01 03:31:00,50
2022-08-01 03:32:00,49
2022-08-01 03:33:00,51
2022-08-01 03:34:00,51
2022-08-01 03:35:00,49
2022-08-01 03:36:00,49
2022-08-01 03:37:00,49
2022-08-01 03:38:00,49
2022-08-01 04:00:00,51
2022-08-01 04:01:00,51
2022-08-01 04:02:00,50
2022-08-01 04:03:00,51
2022-08-01 04:04:00,49
2022-08-01 04:05:00,49
2022-08-01 04:06:00,49
2022-08-01 04:07:00,49
2022-08-01 04:08:00,49
2022-08-01 04:09:00,49
2022-08-01 06:10:00,49
2022-08-01 06:11:00,47
2022-08-01 06:12:00,48
2022-08-01 06:13:00,46
2022-08-01 06:14:00,47
2022-08-01 06:15:00,49
2022-08-01 06:16:00,49
2022-08-01 06:17:00,48
2022-08-01 06:18:00,46
2022-08-01 06:29:00,47
2022-08-01 06:30:00,46
2022-08-01 06:31:00,49
2022-08-01 06:32:00,48
2022-08-01 06:33:00,46
2022-08-01 06:34:00,52
2022-08-01 06:35:00,45
2022-08-01 06:36:00,50
2022-08-01 06:37:00,46
2022-08-01 06:38:00,47
2022-08-01 06:49:00,45
2022-08-01 06:50:00,45
2022-08-01 06:51:00,47
2022-08-01 06:52:00,47
2022-08-01 06:53:00,51
2022-08-01 06:55:00,52
2022-08-01 06:56:00,51
2022-08-01 06:57:00,46
2022-08-01 06:58:00,49
2022-08-01 06:59:00,48
2022-08-01 07:00:00,47
2022-08-01 07:01:00,49
2022-08-01 07:02:00,47
2022-08-01 07:03:00,48
2022-08-01 07:04:00,50
2022-08-01 07:05:00,46
2022-08-01 07:06:00,51
2022-08-01 07:07:00,55
2022-08-01 07:08:00,50
2022-08-01 07:09:00,50
2022-08-01 07:10:00,56
2022-08-01 07:11:00,48
2022-08-01 07:12:00,50
2022-08-01 07:13:00,47
2022-08-01 07:14:00,48
2022-08-01 07:15:00,52
2022-08-01 07:16:00,46
2022-08-01 07:17:00,52
2022-08-01 07:18:00,49
2022-08-01 07:19:00,49
2022-08-01 07:20:00,50
2022-08-01 07:21:00,52
2022-08-01 07:22:00,50
2022-08-01 07:23:00,51
2022-08-01 07:24:00,51
2022-08-01 07:25:00,49
2022-08-01 07:26:00,50
2022-08-01 07:27:00,49
2022-08-01 07:28:00,51
2022-08-01 07:39:00,49
2022-08-01 07:40:00,52
2022-08-01 07:41:00,51
2022-08-01 07:42:00,56
2022-08-01 07:43:00,52
2022-08-01 07:44:00,50
2022-08-01 07:45:00,50
2022-08-01 07:46:00,47
2022-08-01 07:47:00,49
2022-08-01 07:48:00,51
2022-08-01 08:20:00,50
2022-08-01 08:21:00,50
2022-08-01 08:22:00,52
2022-08-01 08:23:00,53
2022-08-01 08:24:00,53
2022-08-01 08:25:00,51
2022-08-01 08:26:00,53
2022-08-01 08:27:00,55
2022-08-01 08:28:00,54
2022-08-01 08:29:00,56
2022-08-01 08:30:00,55
2022-08-01 08:31:00,52
2022-08-01 08:32:00,52
2022-08-01 08:33:00,51
2022-08-01 08:34:00,51
2022-08-01 08:35:00,50
2022-08-01 08:36:00,55
2022-08-01 08:37:00,52
2022-08-01 08:38:00,50
2022-08-01 08:49:00,54
2022-08-01 08:50:00,55
2022-08-01 08:51:00,53
2022-08-01 08:52:00,56
2022-08-01 08:53:00,51
2022-08-01 08:54:00,54
2022-08-01 08:55:00,55
2022-08-01 08:56:00,53
2022-08-01 08:57:00,53
2022-08-01 08:59:00,55
2022-08-01 09:00:00,53
2022-08-01 09:01:00,53
2022-08-01 09:02:00,55
2022-08-01 09:03:00,51
2022-08-01 09:04:00,55
2022-08-01 09:05:00,53
2022-08-01 09:06:00,52
2022-08-01 09:07:00,57
2022-08-01 09:08:00,58
2022-08-01 09:09:00,54
2022-08-01 09:29:00,54
2022-08-01 09:30:00,54
2022-08-01 09:31:00,53
2022-08-01 09:32:00,50
2022-08-01 09:33:00,53
2022-08-01 09:34:00,52
2022-08-01 09:35:00,55
2022-08-01 09:36:00,55
2022-08-01 09:37:00,53
2022-08-01 09:38:00,53
2022-08-01 09:59:00,53
2022-08-01 10:00:00,55
2022-08-01 10:02:00,58
2022-08-01 10:03:00,53
2022-08-01 10:04:00,54
2022-08-01 10:05:00,49
2022-08-01 10:06:00,49
2022-08-01 10:07:00,53
2022-08-01 10:08:00,56
2022-08-01 10:09:00,55
2022-08-01 10:10:00,53
2022-08-01 10:11:00,51
2022-08-01 10:12:00,48
2022-08-01 10:13:00,53
2022-08-01 10:14:00,54
2022-08-01 10:15:00,57
2022-08-01 10:16:00,52
2022-08-01 10:17:00,53
2022-08-01 10:18:00,51
2022-08-01 10:19:00,52
2022-08-01 10:20:00,52
2022-08-01 10:21:00,56
2022-08-01 10:22:00,53
2022-08-01 10:23:00,52
2022-08-01 10:24:00,58
2022-08-01 10:25:00,59
2022-08-01 10:26:00,59
2022-08-01 10:27:00,61
2022-08-01 10:28:00,56
2022-08-01 10:29:00,56
2022-08-01 10:30:00,55
2022-08-01 10:31:00,51
2022-08-01 10:32:00,58
2022-08-01 10:33:00,58
2022-08-01 10:34:00,60
2022-08-01 10:35:00,56
2022-08-01 10:36:00,53
2022-08-01 10:37:00,56
2022-08-01 10:38:00,56
2022-08-01 10:49:00,53
2022-08-01 10:50:00,58
