"Time","dt_sound_level_dB"
2022-08-01 02:07:00,45
2022-08-01 02:08:00,45
2022-08-01 02:09:00,45
2022-08-01 02:10:00,44
2022-08-01 02:11:00,45
2022-08-01 02:13:00,47
2022-08-01 02:14:00,44
2022-08-01 02:15:00,45
2022-08-01 02:16:00,45
2022-08-01 02:17:00,45
2022-08-01 02:18:00,45
2022-08-01 02:19:00,45
2022-08-01 02:20:00,46
2022-08-01 02:21:00,45
2022-08-01 02:22:00,45
2022-08-01 02:23:00,44
2022-08-01 02:24:00,45
2022-08-01 02:25:00,45
2022-08-01 02:26:00,44
2022-08-01 02:37:00,45
2022-08-01 02:38:00,44
2022-08-01 02:39:00,45
2022-08-01 02:40:00,46
2022-08-01 02:41:00,45
2022-08-01 02:42:00,48
2022-08-01 02:43:00,45
2022-08-01 02:44:00,46
2022-08-01 02:45:00,45
2022-08-01 02:46:00,45
2022-08-01 03:07:00,47
2022-08-01 03:08:00,45
2022-08-01 03:09:00,45
2022-08-01 03:10:00,44
2022-08-01 03:11:00,44
2022-08-01 03:12:00,45
2022-08-01 03:14:00,45
2022-08-01 03:15:00,45
2022-08-01 03:16:00,45
2022-08-01 03:37:00,45
2022-08-01 03:38:00,47
2022-08-01 03:39:00,45
2022-08-01 03:40:00,47
2022-08-01 03:41:00,46
2022-08-01 03:42:00,46
2022-08-01 03:43:00,45
2022-08-01 03:44:00,45
2022-08-01 03:45:00,45
2022-08-01 03:46:00,45
2022-08-01 03:47:00,51
2022-08-01 03:48:00,45
2022-08-01 03:49:00,45
2022-08-01 03:50:00,44
2022-08-01 03:51:00,47
2022-08-01 03:52:00,44
2022-08-01 03:53:00,45
2022-08-01 03:54:00,45
2022-08-01 03:55:00,49
2022-08-01 03:56:00,45
2022-08-01 03:57:00,45
2022-08-01 03:58:00,45
2022-08-01 03:59:00,44
2022-08-01 04:00:00,45
2022-08-01 04:01:00,47
2022-08-01 04:02:00,46
2022-08-01 04:03:00,45
2022-08-01 04:04:00,45
2022-08-01 04:05:00,45
2022-08-01 04:06:00,44
2022-08-01 04:07:00,45
2022-08-01 04:08:00,45
2022-08-01 04:09:00,44
2022-08-01 04:10:00,46
2022-08-01 04:11:00,45
2022-08-01 04:13:00,45
2022-08-01 04:14:00,47
2022-08-01 04:15:00,45
2022-08-01 04:16:00,46
2022-08-01 04:17:00,45
2022-08-01 05:07:00,44
2022-08-01 05:08:00,49
2022-08-01 05:09:00,47
2022-08-01 05:10:00,45
2022-08-01 05:11:00,45
2022-08-01 05:12:00,45
2022-08-01 05:14:00,46
2022-08-01 05:15:00,45
2022-08-01 05:16:00,48
2022-08-01 05:17:00,47
2022-08-01 05:18:00,45
2022-08-01 05:19:00,45
2022-08-01 05:20:00,48
2022-08-01 05:21:00,45
2022-08-01 05:22:00,45
2022-08-01 05:23:00,47
2022-08-01 05:24:00,51
2022-08-01 05:25:00,45
2022-08-01 05:26:00,46
2022-08-01 05:47:00,48
2022-08-01 05:48:00,45
2022-08-01 05:49:00,46
2022-08-01 05:50:00,47
2022-08-01 05:51:00,45
2022-08-01 05:52:00,45
2022-08-01 05:53:00,45
2022-08-01 05:54:00,50
2022-08-01 05:55:00,45
2022-08-01 05:56:00,46
2022-08-01 05:57:00,45
2022-08-01 05:58:00,48
2022-08-01 05:59:00,48
2022-08-01 06:00:00,45
2022-08-01 06:01:00,45
2022-08-01 06:02:00,45
2022-08-01 06:03:00,45
2022-08-01 06:04:00,47
2022-08-01 06:05:00,49
