"Time","dt_sound_level_dB"
2022-08-01 03:11:00,46
2022-08-01 03:12:00,46
2022-08-01 03:13:00,50
2022-08-01 03:14:00,45
2022-08-01 03:15:00,46
2022-08-01 03:16:00,50
2022-08-01 03:17:00,47
2022-08-01 03:18:00,51
2022-08-01 03:19:00,49
2022-08-01 03:20:00,46
2022-08-01 03:21:00,47
2022-08-01 03:22:00,46
2022-08-01 03:23:00,47
2022-08-01 03:24:00,48
2022-08-01 03:25:00,47
2022-08-01 03:26:00,52
2022-08-01 03:27:00,47
2022-08-01 03:29:00,49
2022-08-01 03:30:00,47
2022-08-01 03:31:00,46
2022-08-01 03:32:00,49
2022-08-01 03:33:00,45
2022-08-01 03:34:00,47
2022-08-01 03:35:00,47
2022-08-01 03:36:00,45
2022-08-01 03:37:00,45
2022-08-01 03:38:00,48
2022-08-01 03:39:00,46
2022-08-01 03:40:00,50
2022-08-01 03:41:00,45
2022-08-01 03:52:00,46
2022-08-01 03:53:00,46
2022-08-01 03:54:00,48
2022-08-01 03:55:00,46
2022-08-01 03:56:00,45
2022-08-01 03:57:00,46
2022-08-01 03:58:00,46
2022-08-01 03:59:00,45
2022-08-01 04:00:00,46
2022-08-01 04:01:00,45
2022-08-01 04:21:00,46
2022-08-01 04:22:00,46
2022-08-01 04:23:00,45
2022-08-01 04:24:00,47
2022-08-01 04:25:00,46
2022-08-01 04:26:00,49
2022-08-01 04:27:00,45
2022-08-01 04:28:00,46
2022-08-01 04:30:00,51
2022-08-01 04:31:00,47
2022-08-01 04:32:00,50
2022-08-01 04:33:00,48
2022-08-01 04:34:00,49
2022-08-01 04:35:00,46
2022-08-01 04:36:00,47
2022-08-01 04:37:00,47
2022-08-01 04:38:00,46
2022-08-01 04:39:00,54
2022-08-01 04:40:00,55
2022-08-01 04:41:00,48
2022-08-01 05:02:00,53
2022-08-01 05:03:00,50
2022-08-01 05:04:00,56
2022-08-01 05:05:00,49
2022-08-01 05:06:00,55
2022-08-01 05:07:00,49
2022-08-01 05:08:00,47
2022-08-01 05:09:00,50
2022-08-01 05:10:00,47
2022-08-01 05:11:00,47
2022-08-01 05:12:00,51
2022-08-01 05:13:00,46
2022-08-01 05:14:00,49
2022-08-01 05:15:00,51
2022-08-01 05:16:00,49
2022-08-01 05:17:00,58
2022-08-01 05:18:00,53
2022-08-01 05:19:00,46
2022-08-01 05:20:00,51
2022-08-01 05:21:00,49
2022-08-01 05:22:00,52
2022-08-01 05:23:00,54
2022-08-01 05:25:00,47
2022-08-01 05:26:00,51
2022-08-01 05:27:00,54
2022-08-01 05:28:00,47
2022-08-01 05:29:00,50
2022-08-01 05:30:00,47
2022-08-01 05:31:00,50
2022-08-01 05:42:00,50
2022-08-01 05:43:00,48
2022-08-01 05:44:00,54
2022-08-01 05:45:00,53
2022-08-01 05:46:00,51
2022-08-01 05:47:00,53
2022-08-01 05:48:00,49
2022-08-01 05:49:00,57
2022-08-01 05:50:00,56
2022-08-01 05:51:00,50
2022-08-01 05:52:00,55
2022-08-01 05:53:00,56
2022-08-01 05:54:00,52
2022-08-01 05:55:00,50
2022-08-01 05:56:00,50
2022-08-01 05:57:00,54
2022-08-01 05:58:00,53
2022-08-01 05:59:00,50
2022-08-01 06:00:00,54
2022-08-01 06:01:00,49
2022-08-01 06:32:00,51
2022-08-01 06:33:00,51
2022-08-01 06:34:00,52
2022-08-01 06:35:00,51
2022-08-01 06:36:00,55
2022-08-01 06:37:00,54
2022-08-01 06:38:00,59
2022-08-01 06:39:00,56
2022-08-01 06:40:00,55
2022-08-01 06:41:00,55
2022-08-01 06:42:00,52
2022-08-01 06:43:00,57
2022-08-01 06:44:00,54
2022-08-01 06:45:00,62
2022-08-01 06:46:00,58
2022-08-01 06:47:00,57
2022-08-01 06:48:00,55
2022-08-01 06:49:00,53
2022-08-01 06:50:00,54
2022-08-01 06:51:00,57
2022-08-01 06:52:00,57
2022-08-01 06:53:00,58
2022-08-01 06:54:00,56
