"Time","dt_sound_level_dB"
2022-08-01 00:09:00,58
2022-08-01 00:10:00,58
2022-08-01 00:11:00,58
2022-08-01 00:12:00,58
2022-08-01 00:13:00,58
2022-08-01 00:14:00,58
2022-08-01 00:15:00,58
2022-08-01 00:16:00,58
2022-08-01 00:17:00,58
2022-08-01 00:18:00,58
2022-08-01 00:28:00,58
2022-08-01 00:29:00,58
2022-08-01 00:30:00,58
2022-08-01 00:31:00,58
2022-08-01 00:32:00,58
2022-08-01 00:34:00,58
2022-08-01 00:36:00,58
2022-08-01 00:37:00,58
2022-08-01 00:38:00,58
2022-08-01 00:59:00,58
2022-08-01 01:00:00,58
2022-08-01 01:01:00,58
2022-08-01 01:02:00,58
2022-08-01 01:03:00,58
2022-08-01 01:04:00,58
2022-08-01 01:05:00,58
2022-08-01 01:06:00,58
2022-08-01 01:07:00,58
2022-08-01 01:08:00,58
2022-08-01 01:09:00,58
2022-08-01 01:10:00,58
2022-08-01 01:11:00,58
2022-08-01 01:12:00,58
2022-08-01 01:13:00,58
2022-08-01 01:14:00,58
2022-08-01 01:15:00,58
2022-08-01 01:16:00,58
2022-08-01 01:17:00,58
2022-08-01 01:18:00,58
2022-08-01 01:19:00,58
2022-08-01 01:20:00,58
2022-08-01 01:21:00,58
2022-08-01 01:22:00,58
2022-08-01 01:23:00,58
2022-08-01 01:24:00,58
2022-08-01 01:25:00,58
2022-08-01 01:26:00,58
2022-08-01 01:27:00,58
2022-08-01 01:28:00,58
2022-08-01 01:29:00,58
2022-08-01 01:30:00,58
2022-08-01 01:31:00,58
2022-08-01 01:32:00,58
2022-08-01 01:33:00,58
2022-08-01 01:34:00,58
2022-08-01 01:36:00,58
2022-08-01 01:37:00,58
2022-08-01 01:38:00,58
2022-08-01 01:59:00,58
2022-08-01 02:00:00,58
2022-08-01 02:01:00,58
2022-08-01 02:02:00,58
2022-08-01 02:03:00,58
2022-08-01 02:04:00,58
2022-08-01 02:05:00,58
2022-08-01 02:06:00,58
2022-08-01 02:07:00,58
2022-08-01 02:08:00,58
2022-08-01 02:39:00,58
2022-08-01 02:40:00,58
2022-08-01 02:41:00,58
2022-08-01 02:42:00,58
2022-08-01 02:43:00,58
2022-08-01 02:44:00,58
2022-08-01 02:45:00,58
2022-08-01 02:46:00,58
2022-08-01 02:47:00,58
2022-08-01 02:48:00,58
2022-08-01 02:49:00,58
2022-08-01 02:50:00,58
2022-08-01 02:51:00,58
2022-08-01 02:52:00,58
2022-08-01 02:53:00,58
2022-08-01 02:54:00,58
2022-08-01 02:55:00,58
2022-08-01 02:56:00,58
2022-08-01 02:57:00,58
2022-08-01 02:58:00,58
2022-08-01 02:59:00,58
2022-08-01 03:00:00,58
2022-08-01 03:01:00,58
2022-08-01 03:02:00,58
2022-08-01 03:03:00,58
2022-08-01 03:04:00,58
2022-08-01 03:05:00,58
2022-08-01 03:06:00,58
2022-08-01 03:07:00,58
2022-08-01 03:08:00,58
2022-08-01 03:59:00,58
2022-08-01 04:00:00,58
2022-08-01 04:01:00,58
2022-08-01 04:02:00,58
2022-08-01 04:03:00,58
2022-08-01 04:04:00,58
2022-08-01 04:05:00,58
2022-08-01 04:06:00,58
2022-08-01 04:07:00,58
2022-08-01 04:08:00,58
2022-08-01 04:09:00,58
2022-08-01 04:10:00,58
2022-08-01 04:11:00,58
