"Time","dt_sound_level_dB"
2022-08-01 00:00:00,53
2022-08-01 00:01:00,56
2022-08-01 00:02:00,57
2022-08-01 00:03:00,52
2022-08-01 00:04:00,56
2022-08-01 00:05:00,46
2022-08-01 00:06:00,49
2022-08-01 00:07:00,51
2022-08-01 00:08:00,54
2022-08-01 00:09:00,53
2022-08-01 00:10:00,56
2022-08-01 00:11:00,54
2022-08-01 00:12:00,49
2022-08-01 00:13:00,52
2022-08-01 00:14:00,45
2022-08-01 00:15:00,45
2022-08-01 00:16:00,51
2022-08-01 00:57:00,54
2022-08-01 00:58:00,53
2022-08-01 00:59:00,50
2022-08-01 01:00:00,51
2022-08-01 01:01:00,48
2022-08-01 01:02:00,47
2022-08-01 01:03:00,50
2022-08-01 01:04:00,54
2022-08-01 01:05:00,55
2022-08-01 01:06:00,54
2022-08-01 01:07:00,54
2022-08-01 01:08:00,47
2022-08-01 01:09:00,48
2022-08-01 01:10:00,51
2022-08-01 01:11:00,46
2022-08-01 01:12:00,45
2022-08-01 01:13:00,47
2022-08-01 01:14:00,45
2022-08-01 01:15:00,48
2022-08-01 01:16:00,51
2022-08-01 01:17:00,51
2022-08-01 01:18:00,50
2022-08-01 01:19:00,47
2022-08-01 01:20:00,49
2022-08-01 01:21:00,48
2022-08-01 01:22:00,54
2022-08-01 01:23:00,46
2022-08-01 01:24:00,47
2022-08-01 01:25:00,50
2022-08-01 01:26:00,48
2022-08-01 01:27:00,47
2022-08-01 01:28:00,47
2022-08-01 01:29:00,48
2022-08-01 01:30:00,46
2022-08-01 01:31:00,45
2022-08-01 01:32:00,45
2022-08-01 01:33:00,45
2022-08-01 01:34:00,49
2022-08-01 01:35:00,46
2022-08-01 01:36:00,46
2022-08-01 01:57:00,49
2022-08-01 01:58:00,46
2022-08-01 01:59:00,45
2022-08-01 02:00:00,54
2022-08-01 02:01:00,50
2022-08-01 02:02:00,46
2022-08-01 02:03:00,54
2022-08-01 02:04:00,47
2022-08-01 02:05:00,48
2022-08-01 02:06:00,49
2022-08-01 02:07:00,49
2022-08-01 02:08:00,44
2022-08-01 02:09:00,45
2022-08-01 02:10:00,46
2022-08-01 02:11:00,48
2022-08-01 02:12:00,48
2022-08-01 02:13:00,45
2022-08-01 02:14:00,45
2022-08-01 02:15:00,46
2022-08-01 02:16:00,50
2022-08-01 02:17:00,45
2022-08-01 02:18:00,49
2022-08-01 02:19:00,45
2022-08-01 02:20:00,49
2022-08-01 02:21:00,47
2022-08-01 02:22:00,46
2022-08-01 02:23:00,45
2022-08-01 02:24:00,45
2022-08-01 02:25:00,46
2022-08-01 02:26:00,45
2022-08-01 02:47:00,45
2022-08-01 02:48:00,45
2022-08-01 02:49:00,45
2022-08-01 02:50:00,46
2022-08-01 02:51:00,46
2022-08-01 02:52:00,50
2022-08-01 02:53:00,49
2022-08-01 02:54:00,45
2022-08-01 02:55:00,49
2022-08-01 02:56:00,49
2022-08-01 04:27:00,45
2022-08-01 04:28:00,45
2022-08-01 04:29:00,45
2022-08-01 04:30:00,46
2022-08-01 04:31:00,46
2022-08-01 04:32:00,46
2022-08-01 04:33:00,45
2022-08-01 04:34:00,48
2022-08-01 04:35:00,45
2022-08-01 04:36:00,45
2022-08-01 04:37:00,45
2022-08-01 04:38:00,47
2022-08-01 04:40:00,48
2022-08-01 04:41:00,45
2022-08-01 04:42:00,45
2022-08-01 04:43:00,45
2022-08-01 04:44:00,45
2022-08-01 04:45:00,46
2022-08-01 04:46:00,47
2022-08-01 07:21:00,54
2022-08-01 07:22:00,56
2022-08-01 07:23:00,56
2022-08-01 07:24:00,54
2022-08-01 07:26:00,58
2022-08-01 07:27:00,54
2022-08-01 07:28:00,56
2022-08-01 07:29:00,58
2022-08-01 07:30:00,57
2022-08-01 07:31:00,56
2022-08-01 07:42:00,56
2022-08-01 07:43:00,61
2022-08-01 07:44:00,58
2022-08-01 07:45:00,57
2022-08-01 07:46:00,61
2022-08-01 07:47:00,59
2022-08-01 07:48:00,58
2022-08-01 07:49:00,61
2022-08-01 07:50:00,57
2022-08-01 07:51:00,59
2022-08-01 08:02:00,59
2022-08-01 08:03:00,58
2022-08-01 08:04:00,58
2022-08-01 08:05:00,60
2022-08-01 08:06:00,58
2022-08-01 08:07:00,55
2022-08-01 08:08:00,59
2022-08-01 08:09:00,58
2022-08-01 08:10:00,57
2022-08-01 08:21:00,60
2022-08-01 08:22:00,62
2022-08-01 08:23:00,58
2022-08-01 08:24:00,59
2022-08-01 08:26:00,59
2022-08-01 08:27:00,61
2022-08-01 08:28:00,59
2022-08-01 08:29:00,60
2022-08-01 08:30:00,60
2022-08-01 08:31:00,60
2022-08-01 09:11:00,60
2022-08-01 09:12:00,58
2022-08-01 09:13:00,59
