"Time","dt_sound_level_dB"
2022-08-01 00:15:00,56
2022-08-01 00:16:00,54
2022-08-01 00:17:00,49
2022-08-01 00:18:00,47
2022-08-01 00:19:00,51
2022-08-01 00:20:00,54
2022-08-01 00:21:00,47
2022-08-01 00:22:00,53
2022-08-01 00:23:00,53
2022-08-01 00:24:00,53
2022-08-01 00:36:00,51
2022-08-01 00:37:00,52
2022-08-01 00:38:00,53
2022-08-01 00:39:00,52
2022-08-01 00:40:00,58
2022-08-01 00:41:00,56
2022-08-01 00:42:00,52
2022-08-01 00:43:00,51
2022-08-01 00:44:00,51
2022-08-01 00:45:00,56
2022-08-01 01:15:00,47
2022-08-01 01:16:00,55
2022-08-01 01:17:00,47
2022-08-01 01:18:00,52
2022-08-01 01:19:00,54
2022-08-01 01:20:00,54
2022-08-01 01:21:00,51
2022-08-01 01:22:00,50
2022-08-01 01:23:00,53
2022-08-01 01:24:00,50
2022-08-01 01:36:00,51
2022-08-01 01:37:00,46
2022-08-01 01:38:00,50
2022-08-01 01:39:00,50
2022-08-01 01:40:00,51
2022-08-01 01:41:00,49
2022-08-01 01:42:00,52
2022-08-01 01:43:00,52
2022-08-01 01:44:00,50
2022-08-01 01:45:00,53
2022-08-01 01:56:00,49
2022-08-01 01:57:00,47
2022-08-01 01:58:00,48
2022-08-01 01:59:00,50
2022-08-01 02:00:00,51
2022-08-01 02:01:00,48
2022-08-01 02:02:00,52
2022-08-01 02:03:00,50
2022-08-01 02:04:00,48
2022-08-01 02:05:00,48
2022-08-01 02:06:00,50
2022-08-01 02:07:00,53
2022-08-01 02:08:00,48
2022-08-01 02:09:00,52
2022-08-01 02:10:00,49
2022-08-01 02:11:00,47
2022-08-01 02:12:00,50
2022-08-01 02:13:00,51
2022-08-01 02:14:00,46
2022-08-01 02:56:00,48
2022-08-01 02:57:00,47
2022-08-01 02:58:00,46
2022-08-01 02:59:00,50
2022-08-01 03:00:00,46
2022-08-01 03:01:00,48
2022-08-01 03:02:00,48
2022-08-01 03:03:00,47
2022-08-01 03:04:00,47
2022-08-01 03:05:00,50
2022-08-01 03:06:00,52
2022-08-01 03:07:00,46
2022-08-01 03:08:00,48
2022-08-01 03:09:00,50
2022-08-01 03:10:00,48
2022-08-01 03:11:00,46
2022-08-01 03:12:00,46
2022-08-01 03:13:00,48
2022-08-01 03:14:00,46
2022-08-01 03:15:00,48
2022-08-01 03:16:00,49
2022-08-01 03:17:00,46
2022-08-01 03:18:00,46
2022-08-01 03:19:00,51
2022-08-01 03:20:00,46
2022-08-01 03:22:00,50
2022-08-01 03:23:00,52
2022-08-01 03:24:00,47
2022-08-01 03:25:00,47
2022-08-01 03:42:00,46
2022-08-01 03:50:00,52
2022-08-01 03:51:00,53
2022-08-01 03:52:00,51
2022-08-01 03:53:00,50
2022-08-01 03:54:00,47
2022-08-01 03:55:00,50
2022-08-01 03:56:00,50
2022-08-01 03:57:00,49
2022-08-01 03:58:00,47
2022-08-01 04:00:00,48
2022-08-01 04:11:00,50
2022-08-01 04:12:00,48
2022-08-01 04:13:00,50
2022-08-01 04:14:00,51
2022-08-01 04:15:00,49
2022-08-01 04:16:00,49
2022-08-01 04:17:00,50
2022-08-01 04:18:00,52
2022-08-01 04:19:00,48
2022-08-01 04:20:00,50
2022-08-01 04:21:00,46
2022-08-01 04:22:00,51
2022-08-01 04:23:00,50
2022-08-01 04:24:00,54
2022-08-01 04:25:00,53
2022-08-01 04:26:00,47
2022-08-01 04:27:00,47
2022-08-01 04:28:00,49
2022-08-01 04:29:00,50
2022-08-01 04:30:00,57
2022-08-01 04:31:00,54
2022-08-01 04:32:00,50
2022-08-01 04:33:00,52
2022-08-01 04:34:00,50
2022-08-01 04:35:00,50
2022-08-01 04:36:00,55
2022-08-01 04:37:00,54
2022-08-01 04:38:00,55
2022-08-01 04:39:00,54
2022-08-01 04:50:00,49
2022-08-01 04:51:00,57
2022-08-01 04:52:00,48
2022-08-01 04:53:00,49
2022-08-01 04:54:00,53
2022-08-01 04:55:00,53
2022-08-01 04:56:00,57
2022-08-01 04:57:00,55
2022-08-01 04:58:00,47
2022-08-01 05:00:00,47
2022-08-01 05:30:00,54
2022-08-01 05:31:00,50
2022-08-01 05:32:00,56
2022-08-01 05:33:00,53
2022-08-01 05:34:00,54
2022-08-01 05:35:00,49
2022-08-01 05:36:00,56
2022-08-01 05:37:00,48
2022-08-01 05:38:00,55
2022-08-01 05:39:00,54
2022-08-01 06:00:00,54
2022-08-01 06:02:00,51
2022-08-01 06:03:00,55
2022-08-01 06:05:00,51
2022-08-01 06:06:00,58
2022-08-01 06:07:00,66
2022-08-01 06:08:00,60
2022-08-01 06:09:00,55
2022-08-01 06:10:00,58
2022-08-01 06:40:00,58
2022-08-01 06:41:00,52
2022-08-01 06:42:00,55
2022-08-01 06:43:00,58
2022-08-01 06:44:00,58
2022-08-01 06:45:00,58
2022-08-01 06:46:00,59
2022-08-01 06:47:00,56
2022-08-01 06:48:00,56
2022-08-01 06:49:00,57
2022-08-01 06:50:00,60
2022-08-01 06:51:00,58
2022-08-01 06:52:00,65
2022-08-01 06:53:00,58
2022-08-01 06:54:00,56
2022-08-01 06:55:00,55
2022-08-01 06:56:00,61
2022-08-01 06:57:00,58
2022-08-01 06:59:00,55
2022-08-01 07:00:00,59
2022-08-01 07:01:00,59
2022-08-01 07:02:00,58
2022-08-01 07:03:00,56
2022-08-01 07:04:00,56
2022-08-01 07:05:00,53
2022-08-01 07:06:00,57
2022-08-01 07:07:00,54
2022-08-01 07:09:00,59
2022-08-01 07:10:00,59
2022-08-01 07:11:00,52
2022-08-01 07:12:00,56
2022-08-01 07:13:00,61
2022-08-01 07:14:00,55
2022-08-01 07:15:00,57
2022-08-01 07:16:00,62
2022-08-01 07:17:00,58
2022-08-01 07:18:00,61
2022-08-01 07:19:00,60
2022-08-01 07:20:00,57
2022-08-01 07:21:00,57
2022-08-01 07:22:00,62
2022-08-01 07:23:00,54
2022-08-01 07:24:00,57
2022-08-01 07:25:00,63
2022-08-01 07:26:00,68
2022-08-01 07:27:00,56
2022-08-01 07:28:00,64
2022-08-01 07:29:00,62
2022-08-01 07:30:00,59
2022-08-01 07:31:00,62
2022-08-01 07:32:00,61
2022-08-01 07:33:00,58
2022-08-01 07:34:00,60
2022-08-01 07:35:00,61
2022-08-01 07:36:00,56
2022-08-01 07:37:00,64
2022-08-01 07:38:00,62
2022-08-01 07:39:00,55
2022-08-01 08:00:00,59
2022-08-01 08:01:00,59
2022-08-01 08:02:00,61
2022-08-01 08:04:00,61
2022-08-01 08:05:00,57
2022-08-01 08:05:00,64
2022-08-01 08:06:00,64
2022-08-01 08:07:00,55
2022-08-01 08:09:00,62
2022-08-01 08:10:00,64
2022-08-01 08:11:00,54
2022-08-01 08:12:00,60
2022-08-01 08:13:00,62
2022-08-01 08:14:00,57
2022-08-01 08:15:00,59
2022-08-01 08:16:00,64
2022-08-01 08:17:00,56
2022-08-01 08:18:00,58
2022-08-01 08:19:00,66
2022-08-01 08:20:00,61
2022-08-01 08:31:00,63
2022-08-01 08:32:00,62
2022-08-01 08:33:00,56
2022-08-01 08:34:00,61
2022-08-01 08:35:00,64
2022-08-01 08:36:00,55
2022-08-01 08:37:00,64
2022-08-01 08:38:00,64
2022-08-01 08:39:00,56
2022-08-01 08:50:00,65
2022-08-01 08:51:00,59
2022-08-01 08:52:00,58
2022-08-01 08:53:00,64
2022-08-01 08:54:00,58
2022-08-01 08:55:00,60
2022-08-01 08:56:00,64
2022-08-01 08:57:00,60
2022-08-01 08:58:00,56
2022-08-01 08:59:00,63
2022-08-01 09:11:00,59
2022-08-01 09:12:00,61
2022-08-01 09:13:00,62
2022-08-01 09:14:00,54
2022-08-01 09:15:00,59
2022-08-01 09:16:00,63
2022-08-01 09:17:00,56
2022-08-01 09:18:00,60
2022-08-01 09:19:00,65
2022-08-01 09:20:00,56
2022-08-01 12:21:00,63
2022-08-01 12:22:00,67
2022-08-01 12:23:00,62
2022-08-01 12:24:00,66
2022-08-01 12:25:00,63
2022-08-01 12:26:00,61
2022-08-01 12:27:00,59
2022-08-01 12:28:00,63
2022-08-01 12:29:00,62
2022-08-01 12:30:00,66
2022-08-01 12:31:00,63
2022-08-01 12:32:00,63
2022-08-01 12:33:00,59
2022-08-01 12:34:00,65
2022-08-01 12:35:00,64
2022-08-01 12:36:00,62
2022-08-01 12:37:00,65
2022-08-01 12:38:00,64
2022-08-01 12:39:00,62
2022-08-01 12:50:00,64
2022-08-01 12:51:00,59
2022-08-01 12:52:00,61
2022-08-01 12:53:00,65
2022-08-01 12:54:00,59
2022-08-01 12:55:00,60
2022-08-01 12:56:00,68
2022-08-01 12:57:00,61
2022-08-01 12:58:00,56
2022-08-01 12:59:00,61
2022-08-01 13:10:00,61
2022-08-01 13:12:00,64
2022-08-01 13:13:00,62
2022-08-01 13:14:00,59
2022-08-01 13:15:00,64
2022-08-01 13:16:00,65
2022-08-01 13:17:00,65
2022-08-01 13:18:00,63
2022-08-01 13:19:00,66
2022-08-01 13:20:00,59
2022-08-01 14:21:00,59
2022-08-01 14:22:00,64
2022-08-01 14:23:00,65
2022-08-01 14:24:00,61
2022-08-01 14:25:00,66
2022-08-01 14:26:00,63
2022-08-01 14:27:00,60
2022-08-01 14:28:00,65
2022-08-01 14:29:00,63
2022-08-01 14:30:00,62
2022-08-01 16:50:00,66
2022-08-01 16:51:00,60
2022-08-01 16:52:00,61
2022-08-01 16:53:00,67
2022-08-01 16:54:00,60
2022-08-01 16:55:00,57
2022-08-01 16:56:00,66
2022-08-01 16:57:00,61
2022-08-01 16:58:00,62
2022-08-01 16:59:00,66
2022-08-01 17:00:00,62
2022-08-01 17:01:00,59
2022-08-01 17:02:00,65
2022-08-01 17:03:00,60
2022-08-01 17:04:00,62
2022-08-01 17:05:00,65
2022-08-01 17:06:00,63
2022-08-01 17:07:00,60
2022-08-01 17:08:00,65
2022-08-01 17:09:00,65
2022-08-01 18:21:00,61
2022-08-01 18:22:00,65
2022-08-01 18:23:00,60
2022-08-01 18:24:00,62
2022-08-01 18:25:00,63
2022-08-01 18:26:00,58
2022-08-01 18:27:00,56
2022-08-01 18:28:00,66
2022-08-01 18:29:00,60
2022-08-01 18:30:00,56
2022-08-01 18:31:00,65
2022-08-01 18:32:00,61
2022-08-01 18:33:00,59
2022-08-01 18:34:00,61
2022-08-01 18:35:00,63
2022-08-01 18:36:00,63
2022-08-01 18:37:00,63
2022-08-01 18:38:00,63
2022-08-01 18:39:00,58
2022-08-01 18:40:00,60
