"Time","dt_sound_level_dB"
2022-08-01 00:28:00,46
2022-08-01 00:29:00,42
2022-08-01 00:30:00,42
2022-08-01 00:31:00,44
2022-08-01 00:32:00,45
2022-08-01 00:33:00,41
2022-08-01 00:34:00,41
2022-08-01 00:35:00,42
2022-08-01 00:36:00,46
2022-08-01 00:37:00,44
2022-08-01 01:07:00,41
2022-08-01 01:08:00,42
2022-08-01 01:09:00,42
2022-08-01 01:10:00,41
2022-08-01 01:11:00,41
2022-08-01 01:12:00,43
2022-08-01 01:13:00,44
2022-08-01 01:14:00,54
2022-08-01 01:15:00,44
2022-08-01 01:17:00,40
2022-08-01 01:18:00,42
2022-08-01 01:19:00,41
2022-08-01 01:20:00,41
2022-08-01 01:21:00,41
2022-08-01 01:22:00,45
2022-08-01 01:23:00,45
2022-08-01 01:24:00,46
2022-08-01 01:25:00,44
2022-08-01 01:26:00,44
2022-08-01 01:27:00,40
2022-08-01 02:28:00,40
2022-08-01 02:29:00,41
2022-08-01 02:30:00,41
2022-08-01 02:31:00,42
2022-08-01 02:32:00,42
2022-08-01 02:33:00,44
2022-08-01 02:34:00,41
2022-08-01 02:35:00,44
2022-08-01 02:36:00,41
2022-08-01 02:37:00,41
2022-08-01 02:48:00,42
2022-08-01 02:49:00,43
2022-08-01 02:50:00,44
2022-08-01 02:51:00,45
2022-08-01 02:52:00,44
2022-08-01 02:53:00,41
2022-08-01 02:54:00,41
2022-08-01 02:55:00,40
2022-08-01 02:56:00,41
2022-08-01 03:07:00,40
2022-08-01 03:08:00,43
2022-08-01 03:09:00,41
2022-08-01 03:10:00,41
2022-08-01 03:11:00,42
2022-08-01 03:12:00,44
2022-08-01 03:13:00,45
2022-08-01 03:15:00,45
2022-08-01 03:16:00,44
2022-08-01 03:17:00,45
2022-08-01 03:28:00,41
2022-08-01 03:29:00,49
2022-08-01 03:30:00,45
2022-08-01 03:31:00,45
2022-08-01 03:32:00,46
2022-08-01 03:33:00,46
2022-08-01 03:34:00,44
2022-08-01 03:35:00,46
2022-08-01 03:36:00,46
2022-08-01 03:37:00,44
2022-08-01 03:57:00,43
2022-08-01 03:58:00,41
2022-08-01 03:59:00,44
2022-08-01 04:00:00,47
2022-08-01 04:01:00,41
2022-08-01 04:02:00,41
2022-08-01 04:03:00,42
2022-08-01 04:04:00,40
2022-08-01 04:05:00,43
2022-08-01 04:06:00,43
2022-08-01 04:38:00,46
2022-08-01 04:39:00,44
2022-08-01 04:40:00,43
2022-08-01 04:41:00,42
2022-08-01 04:42:00,42
2022-08-01 04:43:00,41
2022-08-01 04:44:00,42
2022-08-01 04:45:00,42
2022-08-01 04:46:00,44
2022-08-01 04:47:00,46
2022-08-01 04:48:00,44
2022-08-01 04:49:00,43
2022-08-01 04:50:00,44
2022-08-01 04:51:00,42
2022-08-01 04:52:00,43
2022-08-01 04:53:00,42
2022-08-01 04:54:00,43
2022-08-01 04:55:00,45
2022-08-01 04:56:00,47
2022-08-01 04:57:00,45
2022-08-01 04:58:00,44
2022-08-01 04:59:00,42
2022-08-01 05:00:00,42
2022-08-01 05:01:00,44
2022-08-01 05:02:00,42
2022-08-01 05:03:00,42
2022-08-01 05:04:00,42
2022-08-01 05:05:00,44
2022-08-01 05:06:00,43
2022-08-01 05:18:00,45
2022-08-01 05:19:00,45
2022-08-01 05:20:00,44
2022-08-01 05:21:00,45
2022-08-01 05:22:00,48
2022-08-01 05:23:00,46
2022-08-01 05:24:00,41
2022-08-01 05:25:00,42
2022-08-01 05:26:00,40
2022-08-01 05:27:00,42
2022-08-01 07:38:00,42
2022-08-01 07:39:00,45
2022-08-01 07:40:00,44
2022-08-01 07:41:00,45
2022-08-01 07:42:00,47
2022-08-01 07:43:00,47
2022-08-01 07:44:00,47
2022-08-01 07:45:00,44
2022-08-01 07:46:00,44
2022-08-01 07:47:00,45
2022-08-01 08:07:00,46
2022-08-01 08:08:00,44
2022-08-01 08:09:00,47
2022-08-01 08:10:00,48
2022-08-01 08:11:00,46
2022-08-01 08:12:00,47
2022-08-01 08:13:00,50
2022-08-01 08:14:00,51
2022-08-01 08:16:00,56
2022-08-01 08:17:00,48
2022-08-01 08:18:00,45
2022-08-01 08:19:00,47
2022-08-01 08:20:00,46
2022-08-01 08:21:00,48
2022-08-01 08:22:00,47
2022-08-01 08:23:00,50
2022-08-01 08:24:00,54
2022-08-01 08:25:00,45
2022-08-01 08:26:00,51
2022-08-01 08:27:00,46
2022-08-01 09:18:00,53
2022-08-01 09:19:00,51
2022-08-01 09:20:00,52
2022-08-01 09:21:00,54
2022-08-01 09:22:00,50
2022-08-01 09:23:00,52
2022-08-01 09:24:00,58
2022-08-01 09:25:00,51
2022-08-01 09:26:00,50
2022-08-01 09:27:00,52
2022-08-01 10:18:00,48
2022-08-01 10:19:00,49
2022-08-01 10:20:00,52
2022-08-01 10:21:00,48
2022-08-01 10:22:00,50
2022-08-01 10:23:00,50
2022-08-01 10:24:00,51
2022-08-01 10:25:00,55
2022-08-01 10:26:00,46
2022-08-01 10:27:00,50
2022-08-01 11:28:00,51
2022-08-01 11:29:00,54
2022-08-01 11:30:00,57
2022-08-01 11:31:00,55
2022-08-01 11:32:00,54
2022-08-01 11:33:00,56
2022-08-01 11:34:00,50
2022-08-01 11:35:00,50
2022-08-01 11:36:00,54
2022-08-01 11:37:00,59
2022-08-01 12:07:00,55
2022-08-01 12:08:00,57
2022-08-01 12:09:00,59
2022-08-01 12:10:00,48
2022-08-01 12:11:00,55
2022-08-01 12:12:00,61
2022-08-01 12:14:00,51
2022-08-01 12:15:00,53
2022-08-01 12:16:00,55
2022-08-01 12:17:00,55
2022-08-01 12:28:00,60
2022-08-01 12:29:00,58
2022-08-01 12:30:00,56
2022-08-01 12:31:00,56
2022-08-01 12:32:00,56
2022-08-01 12:33:00,58
2022-08-01 12:34:00,53
2022-08-01 12:35:00,59
2022-08-01 12:36:00,60
2022-08-01 12:37:00,57
2022-08-01 13:07:00,47
2022-08-01 13:08:00,54
2022-08-01 13:09:00,56
2022-08-01 13:10:00,55
2022-08-01 13:11:00,49
2022-08-01 13:12:00,49
2022-08-01 13:13:00,48
2022-08-01 13:15:00,51
2022-08-01 13:16:00,53
2022-08-01 13:17:00,50
2022-08-01 13:48:00,54
2022-08-01 13:49:00,53
2022-08-01 13:50:00,53
2022-08-01 13:51:00,54
2022-08-01 13:52:00,56
2022-08-01 13:53:00,48
2022-08-01 13:54:00,52
2022-08-01 13:55:00,52
2022-08-01 13:56:00,55
2022-08-01 13:57:00,54
2022-08-01 14:07:00,51
2022-08-01 14:08:00,48
2022-08-01 14:09:00,45
2022-08-01 14:10:00,46
2022-08-01 14:11:00,46
2022-08-01 14:12:00,48
2022-08-01 14:14:00,44
2022-08-01 14:15:00,46
2022-08-01 14:16:00,51
2022-08-01 14:17:00,50
