"Time","dt_sound_level_dB"
2022-08-01 00:03:00,56
2022-08-01 00:04:00,53
2022-08-01 00:05:00,51
2022-08-01 00:06:00,57
2022-08-01 00:07:00,58
2022-08-01 00:08:00,55
2022-08-01 00:09:00,60
2022-08-01 00:10:00,56
2022-08-01 00:11:00,54
2022-08-01 00:12:00,55
2022-08-01 00:43:00,49
2022-08-01 00:44:00,48
2022-08-01 00:46:00,46
2022-08-01 00:46:00,49
2022-08-01 00:47:00,49
2022-08-01 00:49:00,50
2022-08-01 00:49:00,54
2022-08-01 00:51:00,53
2022-08-01 00:52:00,54
2022-08-01 03:23:00,48
2022-08-01 03:24:00,47
2022-08-01 03:25:00,48
2022-08-01 03:26:00,47
2022-08-01 03:27:00,50
2022-08-01 03:28:00,47
2022-08-01 03:29:00,47
2022-08-01 03:30:00,47
2022-08-01 03:31:00,47
2022-08-01 03:32:00,47
2022-08-01 03:33:00,46
2022-08-01 03:34:00,47
2022-08-01 03:35:00,46
2022-08-01 03:36:00,48
2022-08-01 03:37:00,45
2022-08-01 03:38:00,46
2022-08-01 03:39:00,48
2022-08-01 03:40:00,45
2022-08-01 03:41:00,49
2022-08-01 03:42:00,44
2022-08-01 03:43:00,44
2022-08-01 03:44:00,44
2022-08-01 03:45:00,49
2022-08-01 03:46:00,47
2022-08-01 03:47:00,48
2022-08-01 03:49:00,46
2022-08-01 03:49:00,47
2022-08-01 03:50:00,46
2022-08-01 03:52:00,49
2022-08-01 03:53:00,46
2022-08-01 04:38:00,45
2022-08-01 04:39:00,44
2022-08-01 04:40:00,45
2022-08-01 04:41:00,46
2022-08-01 04:42:00,47
2022-08-01 04:43:00,47
2022-08-01 04:44:00,47
2022-08-01 04:45:00,49
2022-08-01 04:46:00,47
2022-08-01 04:47:00,49
2022-08-01 06:28:00,51
2022-08-01 06:29:00,54
2022-08-01 06:31:00,60
2022-08-01 06:32:00,58
2022-08-01 06:33:00,58
2022-08-01 06:34:00,54
2022-08-01 06:35:00,54
2022-08-01 06:36:00,53
2022-08-01 06:36:00,55
2022-08-01 06:38:00,53
2022-08-01 06:39:00,57
2022-08-01 06:40:00,59
2022-08-01 06:41:00,54
2022-08-01 06:42:00,57
2022-08-01 06:43:00,60
2022-08-01 06:44:00,60
2022-08-01 06:45:00,54
2022-08-01 06:46:00,55
2022-08-01 06:47:00,62
2022-08-01 06:58:00,54
2022-08-01 06:59:00,61
2022-08-01 07:00:00,56
2022-08-01 07:01:00,56
2022-08-01 07:02:00,57
2022-08-01 07:03:00,55
2022-08-01 07:04:00,59
2022-08-01 07:05:00,56
2022-08-01 07:06:00,59
2022-08-01 07:07:00,53
2022-08-01 07:08:00,59
