"Time","dt_sound_level_dB"
2022-08-01 01:17:00,45
2022-08-01 01:18:00,52
2022-08-01 01:19:00,49
2022-08-01 01:20:00,50
2022-08-01 01:21:00,50
2022-08-01 01:22:00,55
2022-08-01 01:23:00,45
2022-08-01 01:24:00,48
2022-08-01 01:25:00,49
2022-08-01 01:26:00,51
2022-08-01 01:38:00,52
2022-08-01 01:39:00,47
2022-08-01 01:40:00,54
2022-08-01 01:41:00,53
2022-08-01 01:42:00,48
2022-08-01 01:43:00,48
2022-08-01 01:44:00,50
2022-08-01 01:45:00,51
2022-08-01 01:46:00,49
2022-08-01 02:38:00,52
2022-08-01 02:39:00,44
2022-08-01 02:40:00,49
2022-08-01 02:41:00,44
2022-08-01 02:42:00,51
2022-08-01 02:43:00,50
2022-08-01 02:44:00,44
2022-08-01 02:45:00,48
2022-08-01 02:46:00,46
2022-08-01 03:17:00,44
2022-08-01 03:18:00,46
2022-08-01 03:19:00,46
2022-08-01 03:20:00,45
2022-08-01 03:21:00,52
2022-08-01 03:22:00,46
2022-08-01 03:23:00,49
2022-08-01 03:24:00,45
2022-08-01 03:25:00,44
2022-08-01 03:26:00,48
2022-08-01 03:27:00,44
2022-08-01 03:28:00,47
2022-08-01 03:29:00,49
2022-08-01 03:30:00,45
2022-08-01 03:31:00,50
2022-08-01 03:32:00,49
2022-08-01 03:33:00,50
2022-08-01 03:34:00,46
2022-08-01 03:35:00,45
2022-08-01 03:36:00,51
2022-08-01 03:37:00,46
2022-08-01 03:39:00,48
2022-08-01 03:40:00,52
2022-08-01 03:41:00,45
2022-08-01 03:42:00,46
2022-08-01 03:43:00,51
2022-08-01 03:44:00,48
2022-08-01 03:45:00,44
2022-08-01 03:46:00,45
2022-08-01 03:47:00,48
2022-08-01 03:48:00,52
2022-08-01 03:49:00,45
2022-08-01 03:50:00,51
2022-08-01 03:51:00,44
2022-08-01 03:52:00,49
2022-08-01 03:53:00,45
2022-08-01 03:54:00,49
2022-08-01 03:55:00,49
2022-08-01 03:56:00,45
2022-08-01 03:57:00,50
2022-08-01 03:58:00,45
2022-08-01 03:59:00,45
2022-08-01 04:00:00,52
2022-08-01 04:01:00,44
2022-08-01 04:02:00,49
2022-08-01 04:03:00,45
2022-08-01 04:04:00,47
2022-08-01 04:05:00,47
2022-08-01 04:06:00,46
2022-08-01 04:57:00,53
2022-08-01 04:58:00,49
2022-08-01 04:59:00,53
2022-08-01 05:00:00,52
2022-08-01 05:01:00,48
2022-08-01 05:02:00,49
2022-08-01 05:03:00,49
2022-08-01 05:04:00,52
2022-08-01 05:05:00,54
2022-08-01 05:06:00,54
2022-08-01 05:07:00,47
2022-08-01 05:08:00,48
2022-08-01 05:09:00,49
2022-08-01 05:10:00,56
2022-08-01 05:11:00,50
2022-08-01 05:12:00,49
2022-08-01 05:13:00,52
2022-08-01 05:14:00,50
2022-08-01 05:15:00,54
2022-08-01 05:16:00,48
2022-08-01 05:57:00,54
2022-08-01 05:58:00,51
2022-08-01 05:59:00,51
2022-08-01 06:00:00,58
2022-08-01 06:01:00,56
2022-08-01 06:02:00,60
2022-08-01 06:03:00,56
2022-08-01 06:04:00,54
2022-08-01 06:05:00,59
2022-08-01 06:06:00,55
2022-08-01 06:07:00,53
2022-08-01 06:08:00,55
2022-08-01 06:09:00,56
2022-08-01 06:10:00,58
2022-08-01 06:11:00,50
2022-08-01 06:12:00,54
2022-08-01 06:13:00,59
2022-08-01 06:14:00,56
2022-08-01 06:15:00,53
2022-08-01 06:16:00,54
2022-08-01 06:17:00,61
2022-08-01 06:18:00,56
2022-08-01 06:19:00,62
2022-08-01 06:20:00,52
2022-08-01 06:21:00,53
2022-08-01 06:22:00,57
2022-08-01 06:23:00,56
2022-08-01 06:24:00,57
2022-08-01 06:25:00,55
2022-08-01 06:26:00,52
2022-08-01 06:47:00,60
2022-08-01 06:48:00,59
2022-08-01 06:49:00,60
2022-08-01 06:50:00,58
2022-08-01 06:51:00,60
2022-08-01 06:52:00,58
2022-08-01 06:53:00,53
2022-08-01 06:54:00,58
2022-08-01 06:55:00,60
2022-08-01 06:56:00,59
2022-08-01 08:38:00,63
2022-08-01 08:39:00,57
2022-08-01 08:40:00,64
2022-08-01 08:41:00,62
2022-08-01 08:42:00,64
2022-08-01 08:43:00,63
2022-08-01 08:44:00,63
2022-08-01 08:45:00,63
2022-08-01 08:46:00,62
2022-08-01 08:47:00,65
2022-08-01 08:48:00,63
2022-08-01 08:49:00,65
2022-08-01 08:50:00,64
2022-08-01 08:51:00,61
2022-08-01 08:52:00,64
2022-08-01 08:53:00,61
2022-08-01 08:54:00,64
2022-08-01 08:55:00,62
2022-08-01 08:56:00,61
2022-08-01 09:28:00,63
2022-08-01 09:29:00,64
2022-08-01 09:30:00,62
2022-08-01 09:31:00,58
2022-08-01 09:32:00,59
2022-08-01 09:33:00,56
2022-08-01 09:34:00,64
2022-08-01 09:35:00,64
2022-08-01 09:36:00,59
2022-08-01 09:37:00,59
2022-08-01 09:38:00,65
2022-08-01 09:39:00,64
2022-08-01 09:40:00,62
2022-08-01 09:41:00,64
2022-08-01 09:42:00,62
2022-08-01 09:43:00,64
2022-08-01 09:44:00,62
2022-08-01 09:45:00,64
2022-08-01 09:46:00,61
2022-08-01 09:47:00,66
2022-08-01 09:48:00,65
2022-08-01 09:49:00,63
2022-08-01 09:50:00,64
2022-08-01 09:51:00,63
2022-08-01 09:52:00,63
2022-08-01 09:53:00,59
2022-08-01 09:54:00,61
2022-08-01 09:55:00,61
2022-08-01 09:56:00,62
2022-08-01 10:17:00,67
2022-08-01 10:18:00,58
2022-08-01 10:19:00,60
2022-08-01 10:20:00,59
2022-08-01 10:22:00,64
2022-08-01 10:23:00,65
2022-08-01 10:24:00,66
2022-08-01 10:25:00,59
2022-08-01 10:26:00,62
2022-08-01 10:27:00,64
2022-08-01 10:57:00,64
2022-08-01 10:58:00,63
2022-08-01 10:59:00,67
2022-08-01 11:00:00,59
2022-08-01 11:01:00,62
2022-08-01 11:02:00,63
2022-08-01 11:03:00,64
2022-08-01 11:04:00,62
2022-08-01 11:05:00,65
2022-08-01 11:06:00,63
2022-08-01 11:07:00,63
2022-08-01 11:08:00,61
2022-08-01 11:09:00,66
2022-08-01 11:10:00,61
2022-08-01 11:11:00,61
2022-08-01 11:12:00,65
2022-08-01 11:13:00,64
2022-08-01 11:14:00,65
2022-08-01 11:15:00,61
2022-08-01 11:16:00,64
2022-08-01 11:28:00,64
2022-08-01 11:29:00,64
2022-08-01 11:30:00,67
2022-08-01 11:31:00,63
2022-08-01 11:32:00,60
2022-08-01 11:33:00,63
2022-08-01 11:34:00,61
2022-08-01 11:35:00,65
2022-08-01 11:36:00,67
2022-08-01 11:37:00,62
2022-08-01 12:18:00,63
2022-08-01 12:19:00,71
2022-08-01 12:20:00,71
2022-08-01 12:21:00,68
2022-08-01 12:22:00,68
2022-08-01 12:23:00,63
2022-08-01 12:24:00,70
2022-08-01 12:25:00,66
2022-08-01 12:26:00,67
2022-08-01 12:27:00,61
2022-08-01 12:28:00,65
2022-08-01 12:29:00,64
2022-08-01 12:30:00,68
2022-08-01 12:31:00,67
2022-08-01 12:32:00,63
2022-08-01 12:33:00,64
2022-08-01 12:34:00,66
2022-08-01 12:35:00,68
2022-08-01 12:36:00,65
2022-08-01 12:37:00,58
2022-08-01 12:38:00,61
2022-08-01 12:39:00,63
2022-08-01 12:40:00,63
2022-08-01 12:41:00,64
2022-08-01 12:42:00,60
2022-08-01 12:43:00,61
2022-08-01 12:44:00,65
2022-08-01 12:45:00,69
2022-08-01 12:46:00,71
2022-08-01 12:47:00,74
2022-08-01 14:07:00,69
2022-08-01 14:08:00,73
2022-08-01 14:09:00,76
2022-08-01 14:10:00,71
2022-08-01 14:11:00,80
2022-08-01 14:12:00,73
2022-08-01 14:13:00,64
2022-08-01 14:14:00,65
2022-08-01 14:15:00,64
2022-08-01 14:16:00,66
2022-08-01 14:28:00,66
2022-08-01 14:29:00,68
2022-08-01 14:30:00,72
2022-08-01 14:31:00,75
2022-08-01 14:32:00,73
2022-08-01 14:33:00,71
2022-08-01 14:34:00,70
2022-08-01 14:35:00,66
2022-08-01 14:36:00,69
2022-08-01 14:37:00,72
2022-08-01 14:38:00,62
2022-08-01 14:39:00,67
2022-08-01 14:40:00,70
2022-08-01 14:41:00,78
2022-08-01 14:42:00,74
2022-08-01 14:43:00,68
2022-08-01 14:44:00,72
2022-08-01 14:45:00,73
2022-08-01 14:46:00,75
2022-08-01 14:47:00,78
2022-08-01 14:48:00,73
2022-08-01 14:49:00,75
2022-08-01 14:50:00,79
2022-08-01 14:51:00,76
2022-08-01 14:52:00,69
2022-08-01 14:53:00,70
2022-08-01 14:54:00,72
2022-08-01 14:55:00,69
2022-08-01 14:56:00,73
2022-08-01 18:07:00,64
2022-08-01 18:08:00,66
2022-08-01 18:09:00,64
2022-08-01 18:10:00,66
2022-08-01 18:11:00,66
2022-08-01 18:12:00,64
2022-08-01 18:13:00,67
2022-08-01 18:14:00,67
2022-08-01 18:15:00,69
2022-08-01 18:16:00,65
2022-08-01 18:17:00,68
2022-08-01 18:19:00,65
2022-08-01 18:20:00,65
2022-08-01 18:21:00,65
2022-08-01 18:22:00,71
2022-08-01 18:23:00,66
2022-08-01 18:24:00,67
2022-08-01 18:25:00,68
2022-08-01 18:26:00,70
2022-08-01 18:27:00,66
2022-08-01 18:38:00,63
2022-08-01 18:39:00,67
2022-08-01 18:40:00,67
2022-08-01 18:41:00,69
2022-08-01 18:42:00,70
2022-08-01 18:43:00,68
2022-08-01 18:44:00,71
2022-08-01 18:45:00,68
2022-08-01 18:46:00,68
2022-08-01 18:47:00,65
2022-08-01 18:57:00,64
2022-08-01 18:58:00,64
2022-08-01 18:59:00,66
2022-08-01 19:00:00,67
2022-08-01 19:01:00,65
2022-08-01 19:02:00,65
2022-08-01 19:03:00,69
2022-08-01 19:04:00,68
2022-08-01 19:05:00,60
2022-08-01 19:06:00,65
2022-08-01 19:18:00,69
2022-08-01 19:19:00,70
2022-08-01 19:20:00,68
2022-08-01 19:21:00,65
2022-08-01 19:22:00,71
2022-08-01 19:23:00,66
2022-08-01 19:24:00,65
2022-08-01 19:25:00,62
2022-08-01 19:26:00,66
2022-08-01 19:27:00,64
2022-08-01 19:57:00,59
2022-08-01 19:58:00,62
2022-08-01 19:59:00,61
2022-08-01 20:00:00,61
2022-08-01 20:01:00,62
2022-08-01 20:02:00,63
2022-08-01 20:03:00,63
2022-08-01 20:04:00,61
2022-08-01 20:05:00,63
2022-08-01 20:06:00,64
2022-08-01 20:18:00,61
2022-08-01 20:19:00,62
2022-08-01 20:20:00,63
2022-08-01 20:21:00,63
2022-08-01 20:22:00,61
2022-08-01 20:23:00,64
2022-08-01 20:24:00,60
2022-08-01 20:25:00,61
2022-08-01 20:26:00,62
2022-08-01 20:27:00,64
2022-08-01 20:38:00,62
2022-08-01 20:39:00,59
2022-08-01 20:40:00,59
2022-08-01 20:41:00,60
2022-08-01 20:42:00,64
2022-08-01 20:43:00,57
2022-08-01 20:44:00,61
2022-08-01 20:45:00,59
2022-08-01 20:46:00,59
2022-08-01 20:47:00,60
2022-08-01 20:48:00,62
2022-08-01 20:49:00,58
2022-08-01 20:50:00,60
2022-08-01 20:51:00,59
2022-08-01 20:52:00,59
2022-08-01 20:53:00,58
2022-08-01 20:54:00,57
2022-08-01 20:55:00,63
2022-08-01 20:56:00,61
2022-08-01 21:18:00,62
2022-08-01 21:19:00,61
2022-08-01 21:20:00,58
2022-08-01 21:21:00,56
2022-08-01 21:22:00,57
2022-08-01 21:23:00,61
2022-08-01 21:24:00,56
2022-08-01 21:25:00,56
2022-08-01 21:26:00,58
2022-08-01 21:27:00,61
2022-08-01 21:28:00,62
2022-08-01 21:29:00,63
2022-08-01 21:30:00,58
2022-08-01 21:31:00,60
2022-08-01 21:32:00,60
