"Time","dt_sound_level_dB"
2022-08-01 00:18:00,53
2022-08-01 00:19:00,50
2022-08-01 00:20:00,51
2022-08-01 00:21:00,52
2022-08-01 00:22:00,48
2022-08-01 00:23:00,53
2022-08-01 00:24:00,51
2022-08-01 00:25:00,49
2022-08-01 00:26:00,51
2022-08-01 00:27:00,50
2022-08-01 00:28:00,51
2022-08-01 00:29:00,48
2022-08-01 00:30:00,51
2022-08-01 00:31:00,49
2022-08-01 00:32:00,50
2022-08-01 00:33:00,49
2022-08-01 00:34:00,53
2022-08-01 00:35:00,52
2022-08-01 00:36:00,49
2022-08-01 00:37:00,53
2022-08-01 00:48:00,51
2022-08-01 00:49:00,52
2022-08-01 00:50:00,54
2022-08-01 00:51:00,48
2022-08-01 00:52:00,51
2022-08-01 00:53:00,50
2022-08-01 00:54:00,54
2022-08-01 00:55:00,49
2022-08-01 00:55:00,52
2022-08-01 00:56:00,47
2022-08-01 01:48:00,46
2022-08-01 01:49:00,50
2022-08-01 01:50:00,49
2022-08-01 01:51:00,47
2022-08-01 01:52:00,47
2022-08-01 01:53:00,48
2022-08-01 01:54:00,52
2022-08-01 01:55:00,47
2022-08-01 01:56:00,47
2022-08-01 01:57:00,47
2022-08-01 03:18:00,51
2022-08-01 03:19:00,46
2022-08-01 03:20:00,46
2022-08-01 03:21:00,50
2022-08-01 03:22:00,46
2022-08-01 03:23:00,46
2022-08-01 03:24:00,48
2022-08-01 03:25:00,49
2022-08-01 03:26:00,46
2022-08-01 03:27:00,49
2022-08-01 03:28:00,49
2022-08-01 03:29:00,46
2022-08-01 03:30:00,47
2022-08-01 03:31:00,49
2022-08-01 03:32:00,47
2022-08-01 03:33:00,45
2022-08-01 03:34:00,47
2022-08-01 03:35:00,51
2022-08-01 03:36:00,46
2022-08-01 03:37:00,47
2022-08-01 03:38:00,47
2022-08-01 03:39:00,47
2022-08-01 03:40:00,46
2022-08-01 03:41:00,48
2022-08-01 03:42:00,47
2022-08-01 03:43:00,49
2022-08-01 03:44:00,52
2022-08-01 03:45:00,48
2022-08-01 03:46:00,50
2022-08-01 03:47:00,50
2022-08-01 04:09:00,49
2022-08-01 04:10:00,50
2022-08-01 04:11:00,52
2022-08-01 04:12:00,49
2022-08-01 04:13:00,47
2022-08-01 04:14:00,50
2022-08-01 04:15:00,48
2022-08-01 04:16:00,46
2022-08-01 04:17:00,48
2022-08-01 05:32:00,50
2022-08-01 05:33:00,52
2022-08-01 05:34:00,49
2022-08-01 05:35:00,50
2022-08-01 05:36:00,50
2022-08-01 05:37:00,51
2022-08-01 05:38:00,54
2022-08-01 05:39:00,50
2022-08-01 05:40:00,50
2022-08-01 05:41:00,52
2022-08-01 08:03:00,61
2022-08-01 08:04:00,61
2022-08-01 08:05:00,60
2022-08-01 08:06:00,59
2022-08-01 08:07:00,64
2022-08-01 08:08:00,62
2022-08-01 08:09:00,63
2022-08-01 08:10:00,61
2022-08-01 08:11:00,64
2022-08-01 08:12:00,63
2022-08-01 08:13:00,61
2022-08-01 08:14:00,63
2022-08-01 08:15:00,63
2022-08-01 08:16:00,64
2022-08-01 08:17:00,63
2022-08-01 08:18:00,66
2022-08-01 08:19:00,67
2022-08-01 08:20:00,64
2022-08-01 08:21:00,65
2022-08-01 08:22:00,62
2022-08-01 12:42:00,62
2022-08-01 12:43:00,67
2022-08-01 12:45:00,63
2022-08-01 12:45:00,68
2022-08-01 12:46:00,63
2022-08-01 12:48:00,62
2022-08-01 12:48:00,64
2022-08-01 12:49:00,63
2022-08-01 12:50:00,59
2022-08-01 12:51:00,62
2022-08-01 14:33:00,63
2022-08-01 14:34:00,71
2022-08-01 14:35:00,73
2022-08-01 14:36:00,72
2022-08-01 14:37:00,70
2022-08-01 14:38:00,77
2022-08-01 14:39:00,75
2022-08-01 14:40:00,76
2022-08-01 14:41:00,75
2022-08-01 19:03:00,66
2022-08-01 19:04:00,64
2022-08-01 19:05:00,66
2022-08-01 19:06:00,65
