"Time","dt_sound_level_dB"
2022-08-01 00:15:00,46
2022-08-01 00:17:00,54
2022-08-01 00:18:00,48
2022-08-01 00:18:00,50
2022-08-01 00:20:00,45
2022-08-01 00:20:00,48
2022-08-01 00:22:00,48
2022-08-01 00:22:00,52
2022-08-01 00:23:00,47
2022-08-01 00:25:00,48
2022-08-01 00:26:00,53
2022-08-01 00:27:00,52
2022-08-01 00:28:00,45
2022-08-01 00:29:00,50
2022-08-01 00:30:00,50
2022-08-01 00:31:00,48
2022-08-01 00:32:00,44
2022-08-01 00:33:00,51
2022-08-01 00:34:00,51
2022-08-01 00:35:00,44
2022-08-01 00:36:00,52
2022-08-01 00:37:00,50
2022-08-01 00:38:00,52
2022-08-01 00:39:00,52
2022-08-01 00:40:00,48
2022-08-01 00:41:00,47
2022-08-01 00:42:00,48
2022-08-01 00:43:00,53
2022-08-01 00:44:00,53
2022-08-01 00:45:00,49
2022-08-01 01:15:00,51
2022-08-01 01:16:00,46
2022-08-01 01:17:00,48
2022-08-01 01:18:00,53
2022-08-01 01:19:00,52
2022-08-01 01:20:00,50
2022-08-01 01:21:00,46
2022-08-01 01:22:00,48
2022-08-01 01:23:00,48
2022-08-01 01:25:00,52
2022-08-01 01:46:00,51
2022-08-01 01:47:00,48
2022-08-01 01:48:00,51
2022-08-01 01:49:00,49
2022-08-01 01:50:00,46
2022-08-01 01:51:00,47
2022-08-01 01:52:00,48
2022-08-01 01:53:00,48
2022-08-01 01:54:00,46
2022-08-01 01:55:00,46
2022-08-01 03:26:00,50
2022-08-01 03:27:00,45
2022-08-01 03:28:00,44
2022-08-01 03:29:00,46
2022-08-01 03:30:00,50
2022-08-01 03:31:00,46
2022-08-01 03:32:00,45
2022-08-01 03:33:00,48
2022-08-01 03:34:00,50
2022-08-01 03:35:00,49
2022-08-01 03:36:00,48
2022-08-01 03:37:00,47
2022-08-01 03:38:00,46
2022-08-01 03:39:00,47
2022-08-01 03:40:00,46
2022-08-01 03:41:00,46
2022-08-01 03:42:00,49
2022-08-01 03:43:00,53
2022-08-01 03:44:00,49
2022-08-01 03:45:00,47
2022-08-01 03:46:00,52
2022-08-01 03:47:00,45
2022-08-01 03:48:00,53
2022-08-01 03:49:00,47
2022-08-01 03:50:00,48
2022-08-01 03:51:00,48
2022-08-01 03:52:00,56
2022-08-01 03:53:00,48
2022-08-01 03:54:00,49
2022-08-01 03:55:00,50
2022-08-01 04:40:00,49
2022-08-01 04:41:00,46
2022-08-01 04:42:00,52
2022-08-01 04:43:00,53
2022-08-01 04:44:00,51
2022-08-01 04:45:00,50
2022-08-01 04:46:00,53
2022-08-01 04:47:00,50
2022-08-01 04:48:00,55
2022-08-01 04:49:00,51
2022-08-01 05:11:00,53
2022-08-01 05:12:00,55
2022-08-01 05:13:00,54
2022-08-01 05:14:00,47
2022-08-01 05:15:00,54
2022-08-01 05:16:00,58
2022-08-01 05:17:00,55
2022-08-01 05:18:00,53
2022-08-01 05:19:00,54
2022-08-01 05:40:00,54
2022-08-01 05:41:00,59
2022-08-01 05:42:00,51
2022-08-01 05:43:00,54
2022-08-01 05:44:00,54
2022-08-01 05:45:00,55
2022-08-01 05:46:00,51
2022-08-01 05:47:00,52
2022-08-01 05:48:00,53
2022-08-01 05:49:00,54
2022-08-01 06:40:00,54
2022-08-01 06:41:00,58
2022-08-01 06:42:00,58
2022-08-01 06:43:00,60
2022-08-01 06:44:00,58
2022-08-01 06:45:00,59
2022-08-01 06:46:00,58
2022-08-01 06:47:00,55
2022-08-01 06:48:00,60
2022-08-01 06:49:00,56
2022-08-01 06:50:00,59
2022-08-01 06:51:00,59
2022-08-01 06:52:00,60
2022-08-01 06:53:00,57
2022-08-01 06:54:00,57
2022-08-01 06:55:00,54
2022-08-01 06:56:00,58
2022-08-01 06:58:00,56
2022-08-01 06:58:00,60
2022-08-01 06:59:00,59
2022-08-01 07:01:00,58
2022-08-01 07:02:00,54
2022-08-01 07:03:00,61
2022-08-01 07:04:00,59
2022-08-01 07:05:00,60
2022-08-01 07:06:00,60
2022-08-01 07:07:00,60
2022-08-01 07:08:00,61
2022-08-01 07:09:00,61
2022-08-01 07:10:00,58
2022-08-01 07:50:00,61
2022-08-01 07:51:00,64
2022-08-01 07:52:00,62
2022-08-01 07:53:00,63
2022-08-01 07:54:00,61
2022-08-01 07:55:00,62
2022-08-01 07:57:00,62
2022-08-01 07:58:00,58
2022-08-01 07:59:00,60
2022-08-01 07:59:00,64
2022-08-01 08:30:00,62
2022-08-01 08:31:00,65
2022-08-01 08:32:00,64
2022-08-01 08:33:00,63
2022-08-01 08:34:00,61
2022-08-01 08:35:00,62
2022-08-01 08:36:00,65
2022-08-01 08:37:00,63
2022-08-01 08:38:00,64
2022-08-01 08:39:00,66
2022-08-01 09:11:00,63
2022-08-01 09:12:00,63
2022-08-01 09:13:00,62
2022-08-01 09:14:00,63
2022-08-01 09:15:00,64
2022-08-01 09:16:00,58
2022-08-01 09:17:00,62
2022-08-01 09:18:00,60
2022-08-01 09:19:00,60
2022-08-01 09:20:00,61
2022-08-01 18:31:00,68
2022-08-01 18:32:00,76
2022-08-01 18:33:00,67
2022-08-01 18:34:00,76
2022-08-01 18:35:00,69
2022-08-01 18:36:00,64
2022-08-01 18:37:00,67
2022-08-01 18:38:00,66
2022-08-01 18:39:00,69
2022-08-01 20:50:00,55
2022-08-01 20:51:00,59
2022-08-01 20:52:00,57
2022-08-01 20:53:00,59
2022-08-01 20:54:00,62
2022-08-01 20:55:00,54
2022-08-01 20:56:00,60
2022-08-01 20:57:00,58
2022-08-01 20:58:00,53
2022-08-01 20:59:00,57
2022-08-01 21:11:00,53
2022-08-01 21:12:00,57
2022-08-01 21:13:00,57
2022-08-01 21:14:00,57
2022-08-01 21:15:00,58
2022-08-01 21:16:00,62
2022-08-01 21:17:00,55
2022-08-01 21:18:00,63
2022-08-01 21:19:00,56
2022-08-01 21:20:00,54
2022-08-01 21:31:00,57
2022-08-01 21:32:00,57
2022-08-01 21:33:00,58
2022-08-01 21:34:00,54
2022-08-01 21:35:00,58
2022-08-01 21:36:00,57
2022-08-01 21:37:00,56
2022-08-01 21:38:00,54
2022-08-01 21:39:00,58
2022-08-01 21:50:00,55
2022-08-01 21:51:00,54
2022-08-01 21:52:00,54
2022-08-01 21:53:00,58
2022-08-01 21:54:00,57
2022-08-01 21:55:00,53
2022-08-01 21:56:00,52
2022-08-01 21:57:00,54
2022-08-01 21:58:00,52
2022-08-01 21:59:00,57
2022-08-01 22:00:00,57
2022-08-01 22:01:00,54
2022-08-01 22:03:00,56
2022-08-01 22:04:00,56
2022-08-01 22:05:00,57
2022-08-01 22:06:00,51
2022-08-01 22:07:00,57
2022-08-01 22:08:00,59
2022-08-01 22:09:00,51
