"Time","dt_sound_level_dB"
2022-08-01 00:15:00,56
2022-08-01 00:16:00,54
2022-08-01 00:17:00,56
2022-08-01 00:18:00,56
2022-08-01 00:19:00,55
2022-08-01 00:20:00,54
2022-08-01 00:21:00,51
2022-08-01 00:22:00,57
2022-08-01 00:23:00,54
2022-08-01 00:24:00,52
2022-08-01 00:25:00,52
2022-08-01 00:26:00,55
2022-08-01 00:27:00,53
2022-08-01 00:28:00,51
2022-08-01 00:29:00,52
2022-08-01 00:30:00,50
2022-08-01 00:31:00,54
2022-08-01 00:32:00,52
2022-08-01 00:33:00,51
2022-08-01 00:34:00,55
2022-08-01 00:56:00,56
2022-08-01 00:57:00,53
2022-08-01 00:58:00,54
2022-08-01 00:59:00,51
2022-08-01 01:00:00,48
2022-08-01 01:01:00,49
2022-08-01 01:02:00,55
2022-08-01 01:03:00,52
2022-08-01 01:04:00,53
2022-08-01 01:05:00,52
2022-08-01 01:06:00,51
2022-08-01 01:07:00,48
2022-08-01 01:08:00,53
2022-08-01 01:09:00,57
2022-08-01 01:10:00,49
2022-08-01 01:11:00,53
2022-08-01 01:12:00,50
2022-08-01 01:13:00,50
2022-08-01 01:14:00,48
2022-08-01 01:15:00,49
2022-08-01 01:16:00,51
2022-08-01 01:17:00,51
2022-08-01 01:18:00,54
2022-08-01 01:19:00,51
2022-08-01 01:20:00,57
2022-08-01 01:21:00,52
2022-08-01 01:22:00,50
2022-08-01 01:23:00,50
2022-08-01 01:24:00,55
2022-08-01 02:06:00,54
2022-08-01 02:07:00,49
2022-08-01 02:08:00,47
2022-08-01 02:09:00,48
2022-08-01 02:10:00,49
2022-08-01 02:11:00,48
2022-08-01 02:12:00,48
2022-08-01 02:13:00,49
2022-08-01 02:14:00,48
2022-08-01 04:06:00,53
2022-08-01 04:07:00,47
2022-08-01 04:08:00,49
2022-08-01 04:09:00,51
2022-08-01 04:10:00,56
2022-08-01 04:11:00,50
2022-08-01 04:12:00,49
2022-08-01 04:13:00,52
2022-08-01 04:14:00,51
2022-08-01 05:20:00,53
2022-08-01 05:21:00,56
2022-08-01 05:23:00,57
2022-08-01 05:24:00,56
2022-08-01 05:25:00,57
2022-08-01 05:25:00,59
2022-08-01 05:27:00,60
2022-08-01 05:28:00,54
2022-08-01 05:29:00,55
2022-08-01 06:10:00,62
2022-08-01 06:12:00,63
2022-08-01 06:13:00,61
2022-08-01 06:14:00,60
2022-08-01 06:15:00,57
2022-08-01 06:15:00,59
2022-08-01 06:17:00,57
2022-08-01 06:17:00,59
2022-08-01 06:18:00,63
2022-08-01 06:19:00,61
2022-08-01 06:20:00,59
2022-08-01 06:21:00,59
2022-08-01 06:23:00,61
2022-08-01 06:24:00,61
2022-08-01 06:25:00,59
2022-08-01 06:26:00,59
2022-08-01 06:27:00,60
2022-08-01 06:28:00,59
2022-08-01 06:29:00,63
2022-08-01 08:30:00,68
2022-08-01 08:31:00,67
2022-08-01 08:32:00,69
2022-08-01 08:33:00,66
2022-08-01 08:34:00,65
2022-08-01 08:35:00,66
2022-08-01 08:36:00,65
2022-08-01 08:37:00,68
2022-08-01 08:38:00,67
2022-08-01 08:39:00,67
2022-08-01 12:21:00,64
2022-08-01 12:21:00,68
2022-08-01 12:22:00,68
2022-08-01 12:23:00,72
2022-08-01 12:25:00,69
2022-08-01 12:26:00,67
2022-08-01 12:26:00,68
2022-08-01 12:28:00,70
2022-08-01 12:28:00,74
2022-08-01 12:30:00,72
2022-08-01 12:50:00,68
2022-08-01 12:51:00,69
2022-08-01 12:52:00,67
2022-08-01 12:53:00,67
2022-08-01 12:54:00,66
2022-08-01 12:55:00,73
2022-08-01 12:56:00,66
2022-08-01 12:57:00,64
2022-08-01 12:59:00,65
2022-08-01 13:00:00,64
2022-08-01 14:21:00,70
2022-08-01 14:21:00,72
2022-08-01 14:22:00,76
2022-08-01 14:24:00,70
2022-08-01 14:24:00,74
2022-08-01 14:25:00,68
2022-08-01 14:26:00,72
2022-08-01 14:28:00,66
2022-08-01 14:28:00,68
2022-08-01 14:30:00,68
2022-08-01 16:20:00,71
2022-08-01 16:21:00,65
2022-08-01 16:22:00,71
2022-08-01 16:24:00,68
2022-08-01 16:24:00,69
2022-08-01 16:25:00,65
2022-08-01 16:27:00,64
2022-08-01 16:27:00,68
2022-08-01 16:28:00,75
2022-08-01 16:30:00,72
2022-08-01 16:31:00,69
2022-08-01 16:31:00,70
2022-08-01 16:32:00,68
2022-08-01 16:33:00,66
2022-08-01 16:35:00,68
2022-08-01 16:36:00,67
2022-08-01 16:37:00,72
2022-08-01 16:38:00,74
2022-08-01 16:39:00,70
2022-08-01 17:00:00,72
2022-08-01 17:02:00,66
2022-08-01 17:02:00,68
2022-08-01 17:03:00,64
2022-08-01 17:04:00,67
2022-08-01 17:05:00,65
2022-08-01 17:06:00,65
2022-08-01 17:07:00,70
2022-08-01 17:08:00,68
2022-08-01 17:09:00,67
2022-08-01 18:40:00,64
2022-08-01 18:41:00,62
2022-08-01 18:42:00,65
2022-08-01 18:43:00,65
2022-08-01 18:44:00,66
2022-08-01 18:45:00,64
2022-08-01 18:46:00,71
2022-08-01 18:47:00,64
2022-08-01 18:48:00,61
2022-08-01 18:49:00,62
2022-08-01 20:31:00,59
2022-08-01 20:32:00,61
2022-08-01 20:33:00,63
2022-08-01 20:34:00,61
2022-08-01 20:35:00,61
2022-08-01 20:36:00,59
2022-08-01 20:37:00,60
2022-08-01 20:38:00,61
2022-08-01 20:39:00,62
2022-08-01 20:40:00,61
2022-08-01 21:10:00,58
2022-08-01 21:11:00,57
2022-08-01 21:12:00,59
2022-08-01 21:13:00,61
2022-08-01 21:15:00,56
2022-08-01 21:16:00,60
2022-08-01 21:17:00,60
2022-08-01 21:18:00,60
2022-08-01 21:19:00,64
2022-08-01 21:20:00,60
2022-08-01 22:31:00,59
2022-08-01 22:32:00,54
2022-08-01 22:33:00,54
2022-08-01 22:34:00,58
2022-08-01 22:35:00,50
2022-08-01 22:36:00,54
2022-08-01 22:37:00,58
2022-08-01 22:38:00,56
2022-08-01 22:39:00,59
2022-08-01 22:40:00,57
2022-08-01 22:41:00,64
2022-08-01 22:42:00,56
2022-08-01 22:43:00,53
2022-08-01 22:44:00,56
2022-08-01 22:45:00,57
2022-08-01 22:46:00,54
2022-08-01 22:47:00,55
2022-08-01 22:48:00,56
2022-08-01 22:49:00,53
2022-08-01 23:10:00,55
2022-08-01 23:11:00,53
2022-08-01 23:12:00,54
2022-08-01 23:13:00,56
2022-08-01 23:14:00,50
2022-08-01 23:15:00,53
2022-08-01 23:17:00,51
2022-08-01 23:18:00,51
2022-08-01 23:19:00,54
2022-08-01 23:20:00,54
2022-08-02 02:41:00,50
2022-08-02 02:42:00,55
2022-08-02 02:43:00,53
2022-08-02 02:44:00,52
2022-08-02 02:45:00,48
2022-08-02 02:46:00,48
2022-08-02 02:47:00,53
2022-08-02 02:48:00,55
2022-08-02 02:49:00,48
2022-08-02 03:00:00,53
2022-08-02 03:01:00,56
2022-08-02 03:02:00,52
2022-08-02 03:03:00,51
2022-08-02 03:04:00,53
2022-08-02 03:05:00,48
2022-08-02 03:06:00,47
2022-08-02 03:07:00,50
2022-08-02 03:08:00,48
2022-08-02 03:09:00,51
2022-08-02 03:10:00,56
2022-08-02 03:11:00,55
2022-08-02 03:12:00,52
2022-08-02 03:13:00,48
2022-08-02 03:14:00,47
2022-08-02 03:15:00,47
2022-08-02 03:16:00,54
2022-08-02 03:17:00,47
2022-08-02 03:18:00,47
2022-08-02 03:19:00,51
2022-08-02 03:41:00,49
2022-08-02 03:42:00,51
2022-08-02 03:43:00,47
2022-08-02 03:44:00,54
2022-08-02 03:45:00,47
2022-08-02 03:46:00,54
2022-08-02 03:47:00,51
2022-08-02 03:48:00,54
2022-08-02 03:49:00,55
2022-08-02 03:50:00,47
2022-08-02 03:51:00,51
2022-08-02 03:52:00,52
2022-08-02 03:53:00,48
2022-08-02 03:54:00,56
2022-08-02 03:55:00,49
2022-08-02 03:56:00,52
2022-08-02 03:57:00,49
2022-08-02 03:58:00,52
2022-08-02 03:59:00,58
2022-08-02 04:20:00,51
2022-08-02 04:22:00,47
2022-08-02 04:23:00,46
2022-08-02 04:24:00,51
2022-08-02 04:25:00,54
2022-08-02 04:26:00,49
2022-08-02 04:27:00,48
2022-08-02 04:28:00,55
2022-08-02 04:29:00,48
2022-08-02 04:30:00,54
2022-08-02 04:31:00,48
2022-08-02 04:32:00,48
2022-08-02 04:33:00,49
2022-08-02 04:34:00,50
2022-08-02 04:35:00,53
2022-08-02 04:36:00,48
2022-08-02 04:37:00,49
2022-08-02 04:38:00,51
2022-08-02 04:39:00,54
2022-08-02 04:40:00,50
2022-08-02 04:50:00,55
2022-08-02 04:51:00,47
2022-08-02 04:52:00,54
2022-08-02 04:53:00,48
2022-08-02 04:54:00,51
2022-08-02 04:55:00,53
2022-08-02 04:56:00,52
2022-08-02 04:57:00,54
2022-08-02 04:58:00,53
2022-08-02 04:59:00,54
2022-08-02 07:00:00,58
2022-08-02 07:01:00,62
2022-08-02 07:02:00,59
2022-08-02 07:03:00,62
2022-08-02 07:04:00,61
2022-08-02 07:05:00,61
2022-08-02 07:06:00,63
2022-08-02 07:07:00,61
2022-08-02 07:08:00,61
2022-08-02 07:09:00,57
2022-08-02 07:31:00,62
2022-08-02 07:32:00,65
2022-08-02 07:33:00,64
2022-08-02 07:34:00,65
2022-08-02 07:35:00,61
2022-08-02 07:36:00,64
2022-08-02 07:37:00,61
2022-08-02 07:38:00,64
2022-08-02 07:39:00,63
2022-08-02 07:40:00,65
2022-08-02 08:20:00,64
2022-08-02 08:21:00,62
2022-08-02 08:22:00,65
2022-08-02 08:23:00,65
2022-08-02 08:24:00,65
2022-08-02 08:26:00,66
2022-08-02 08:27:00,65
2022-08-02 08:28:00,64
2022-08-02 08:29:00,64
2022-08-02 08:30:00,65
2022-08-02 09:20:00,67
2022-08-02 09:21:00,61
2022-08-02 09:22:00,61
2022-08-02 09:24:00,65
2022-08-02 09:25:00,66
2022-08-02 09:26:00,66
2022-08-02 09:27:00,64
2022-08-02 09:28:00,63
2022-08-02 09:29:00,60
2022-08-02 09:30:00,62
2022-08-02 09:51:00,62
2022-08-02 09:52:00,65
2022-08-02 09:53:00,65
2022-08-02 09:54:00,64
2022-08-02 09:55:00,65
2022-08-02 09:56:00,62
2022-08-02 09:57:00,59
2022-08-02 09:58:00,60
2022-08-02 09:59:00,64
2022-08-02 21:31:00,54
2022-08-02 21:32:00,59
2022-08-02 21:33:00,60
