"Time","dt_sound_level_dB"
2022-08-02 10:49:00,54
2022-08-02 10:50:00,51
2022-08-02 10:51:00,54
2022-08-02 10:52:00,55
2022-08-02 10:53:00,52
2022-08-02 10:54:00,52
2022-08-02 10:55:00,51
2022-08-02 10:56:00,51
2022-08-02 10:57:00,56
2022-08-02 10:58:00,57
2022-08-02 11:49:00,60
2022-08-02 11:50:00,54
2022-08-02 11:51:00,54
2022-08-02 11:52:00,57
2022-08-02 11:53:00,57
2022-08-02 11:54:00,53
2022-08-02 11:55:00,53
2022-08-02 11:56:00,54
2022-08-02 11:57:00,50
2022-08-02 11:58:00,56
2022-08-02 11:59:00,52
2022-08-02 12:00:00,54
2022-08-02 12:01:00,57
2022-08-02 12:02:00,56
2022-08-02 12:03:00,53
2022-08-02 12:04:00,61
2022-08-02 12:05:00,54
2022-08-02 12:06:00,59
2022-08-02 12:07:00,54
2022-08-02 12:08:00,55
2022-08-02 13:39:00,54
2022-08-02 13:40:00,51
2022-08-02 13:41:00,53
2022-08-02 13:42:00,53
2022-08-02 13:43:00,55
2022-08-02 13:44:00,58
2022-08-02 13:45:00,56
2022-08-02 13:46:00,54
2022-08-02 13:47:00,55
2022-08-02 13:48:00,52
2022-08-02 13:49:00,60
2022-08-02 13:50:00,55
2022-08-02 13:51:00,53
2022-08-02 13:52:00,53
2022-08-02 13:53:00,57
2022-08-02 13:54:00,58
2022-08-02 13:55:00,59
2022-08-02 13:56:00,54
2022-08-02 13:57:00,53
2022-08-02 13:58:00,51
2022-08-02 14:09:00,57
2022-08-02 14:10:00,56
2022-08-02 14:11:00,61
2022-08-02 14:12:00,58
2022-08-02 14:13:00,57
2022-08-02 14:14:00,57
2022-08-02 14:15:00,53
2022-08-02 14:16:00,62
2022-08-02 14:17:00,51
2022-08-02 14:18:00,55
2022-08-02 14:19:00,53
2022-08-02 14:20:00,54
2022-08-02 14:22:00,56
2022-08-02 14:23:00,58
2022-08-02 14:24:00,50
2022-08-02 14:25:00,51
2022-08-02 14:26:00,50
2022-08-02 14:27:00,56
2022-08-02 14:28:00,59
2022-08-02 14:29:00,57
2022-08-02 14:30:00,55
2022-08-02 14:31:00,56
2022-08-02 14:32:00,57
2022-08-02 14:33:00,55
2022-08-02 14:34:00,53
2022-08-02 14:35:00,53
2022-08-02 14:36:00,58
2022-08-02 14:37:00,51
2022-08-02 14:38:00,55
2022-08-02 14:59:00,55
2022-08-02 15:00:00,48
2022-08-02 15:01:00,51
2022-08-02 15:02:00,54
2022-08-02 15:03:00,55
2022-08-02 15:04:00,63
2022-08-02 15:05:00,54
2022-08-02 15:06:00,57
2022-08-02 15:07:00,61
2022-08-02 15:08:00,52
2022-08-02 15:09:00,55
2022-08-02 15:10:00,56
2022-08-02 15:11:00,59
2022-08-02 15:12:00,57
2022-08-02 15:13:00,55
2022-08-02 15:14:00,54
2022-08-02 15:15:00,56
2022-08-02 15:16:00,59
2022-08-02 15:17:00,57
2022-08-02 15:18:00,57
2022-08-02 15:49:00,53
2022-08-02 15:50:00,60
2022-08-02 15:51:00,60
2022-08-02 15:52:00,55
2022-08-02 15:53:00,52
