"Time","dt_sound_level_dB"
2022-08-01 00:00:00,55
2022-08-01 00:01:00,54
2022-08-01 00:02:00,56
2022-08-01 00:03:00,55
2022-08-01 00:04:00,51
2022-08-01 00:05:00,56
2022-08-01 00:06:00,51
2022-08-01 00:07:00,56
2022-08-01 00:08:00,57
2022-08-01 00:09:00,60
2022-08-01 00:10:00,52
2022-08-01 00:11:00,57
2022-08-01 00:12:00,56
2022-08-01 00:13:00,54
2022-08-01 00:14:00,53
2022-08-01 00:15:00,55
2022-08-01 00:16:00,54
2022-08-01 00:17:00,53
2022-08-01 00:18:00,54
2022-08-01 00:19:00,53
2022-08-01 00:20:00,51
2022-08-01 00:21:00,55
2022-08-01 00:22:00,53
2022-08-01 00:43:00,50
2022-08-01 00:44:00,57
2022-08-01 00:45:00,52
2022-08-01 00:46:00,54
2022-08-01 00:47:00,53
2022-08-01 00:48:00,53
2022-08-01 00:49:00,55
2022-08-01 00:51:00,52
2022-08-01 00:52:00,52
2022-08-01 00:53:00,58
2022-08-01 01:03:00,56
2022-08-01 01:04:00,57
2022-08-01 01:05:00,55
2022-08-01 01:06:00,55
2022-08-01 01:07:00,54
2022-08-01 01:08:00,54
2022-08-01 01:09:00,52
2022-08-01 01:10:00,54
2022-08-01 01:11:00,58
2022-08-01 01:12:00,55
2022-08-01 01:13:00,53
2022-08-01 01:14:00,54
2022-08-01 01:15:00,55
2022-08-01 01:16:00,54
2022-08-01 01:17:00,55
2022-08-01 01:18:00,54
2022-08-01 01:19:00,55
2022-08-01 01:20:00,53
2022-08-01 01:21:00,53
2022-08-01 01:22:00,54
2022-08-01 01:33:00,50
2022-08-01 01:34:00,49
2022-08-01 01:35:00,52
2022-08-01 01:36:00,50
2022-08-01 01:37:00,50
2022-08-01 01:38:00,49
2022-08-01 01:39:00,49
2022-08-01 01:40:00,51
2022-08-01 01:41:00,49
2022-08-01 01:42:00,48
2022-08-01 01:54:00,49
2022-08-01 01:55:00,52
2022-08-01 01:56:00,52
2022-08-01 01:57:00,52
2022-08-01 01:58:00,55
2022-08-01 01:59:00,49
2022-08-01 02:00:00,50
2022-08-01 02:01:00,50
2022-08-01 02:02:00,51
2022-08-01 02:03:00,53
2022-08-01 02:04:00,52
2022-08-01 02:05:00,49
2022-08-01 02:06:00,52
2022-08-01 02:07:00,50
2022-08-01 02:08:00,48
2022-08-01 02:09:00,54
2022-08-01 02:10:00,67
2022-08-01 02:11:00,51
2022-08-01 02:12:00,54
2022-08-01 02:13:00,54
2022-08-01 02:14:00,51
2022-08-01 02:15:00,51
2022-08-01 02:16:00,47
2022-08-01 02:17:00,51
2022-08-01 02:18:00,49
2022-08-01 02:19:00,51
2022-08-01 02:20:00,54
2022-08-01 02:21:00,48
2022-08-01 02:22:00,49
2022-08-01 03:23:00,52
2022-08-01 03:24:00,51
2022-08-01 03:25:00,49
2022-08-01 03:26:00,55
2022-08-01 03:27:00,49
2022-08-01 03:28:00,50
2022-08-01 03:29:00,50
2022-08-01 03:30:00,54
2022-08-01 03:31:00,52
2022-08-01 03:32:00,54
2022-08-01 03:54:00,50
2022-08-01 03:55:00,52
2022-08-01 03:56:00,48
2022-08-01 03:57:00,49
2022-08-01 03:58:00,54
2022-08-01 03:59:00,56
2022-08-01 04:00:00,54
2022-08-01 04:01:00,49
2022-08-01 04:02:00,53
2022-08-01 04:23:00,52
2022-08-01 04:24:00,55
2022-08-01 04:25:00,55
2022-08-01 04:26:00,53
2022-08-01 04:27:00,48
2022-08-01 04:28:00,51
2022-08-01 04:29:00,53
2022-08-01 04:30:00,52
2022-08-01 04:31:00,53
2022-08-01 04:32:00,53
2022-08-01 05:03:00,65
2022-08-01 05:04:00,62
2022-08-01 05:05:00,56
2022-08-01 05:06:00,56
2022-08-01 05:07:00,54
2022-08-01 05:08:00,58
2022-08-01 05:09:00,54
2022-08-01 05:10:00,55
2022-08-01 05:11:00,56
2022-08-01 05:12:00,54
2022-08-01 05:13:00,55
2022-08-01 05:14:00,57
2022-08-01 05:15:00,55
2022-08-01 05:16:00,53
2022-08-01 05:17:00,55
2022-08-01 05:18:00,57
2022-08-01 05:19:00,55
2022-08-01 05:20:00,54
2022-08-01 05:21:00,54
2022-08-01 05:22:00,55
2022-08-01 05:33:00,51
2022-08-01 05:34:00,54
2022-08-01 05:35:00,52
2022-08-01 05:36:00,54
2022-08-01 05:37:00,55
2022-08-01 05:38:00,53
2022-08-01 05:39:00,54
2022-08-01 05:40:00,54
2022-08-01 05:41:00,58
2022-08-01 05:42:00,56
2022-08-01 06:13:00,56
2022-08-01 06:14:00,55
2022-08-01 06:15:00,57
2022-08-01 06:16:00,56
2022-08-01 06:17:00,57
2022-08-01 06:18:00,60
2022-08-01 06:19:00,57
2022-08-01 06:20:00,55
2022-08-01 06:21:00,59
2022-08-01 06:22:00,58
2022-08-01 06:33:00,57
2022-08-01 06:34:00,61
2022-08-01 06:35:00,59
2022-08-01 06:36:00,58
2022-08-01 06:37:00,57
2022-08-01 06:38:00,58
2022-08-01 06:39:00,58
2022-08-01 06:40:00,59
2022-08-01 06:41:00,57
2022-08-01 06:42:00,56
2022-08-01 06:43:00,60
2022-08-01 06:44:00,59
2022-08-01 06:45:00,56
2022-08-01 06:46:00,60
2022-08-01 06:47:00,58
2022-08-01 06:49:00,58
2022-08-01 06:50:00,60
2022-08-01 06:51:00,57
2022-08-01 06:52:00,57
2022-08-01 06:53:00,58
2022-08-01 07:03:00,60
2022-08-01 07:04:00,57
2022-08-01 07:05:00,58
2022-08-01 07:06:00,60
2022-08-01 07:07:00,56
2022-08-01 07:08:00,58
2022-08-01 07:09:00,61
2022-08-01 07:10:00,58
2022-08-01 07:11:00,56
2022-08-01 07:12:00,60
2022-08-01 07:13:00,58
2022-08-01 07:14:00,58
2022-08-01 07:15:00,61
2022-08-01 07:16:00,57
2022-08-01 07:17:00,59
2022-08-01 07:18:00,60
2022-08-01 07:19:00,58
2022-08-01 07:20:00,59
2022-08-01 07:21:00,58
2022-08-01 07:22:00,59
2022-08-01 08:04:00,59
2022-08-01 08:05:00,63
2022-08-01 08:06:00,62
2022-08-01 08:07:00,59
2022-08-01 08:08:00,64
2022-08-01 08:09:00,62
2022-08-01 08:10:00,59
2022-08-01 08:11:00,61
2022-08-01 08:12:00,63
2022-08-01 08:13:00,61
2022-08-01 08:14:00,60
2022-08-01 08:15:00,68
2022-08-01 08:16:00,59
2022-08-01 08:17:00,59
2022-08-01 08:18:00,64
2022-08-01 08:19:00,59
2022-08-01 08:20:00,60
2022-08-01 08:21:00,64
2022-08-01 08:22:00,62
2022-08-01 08:33:00,63
2022-08-01 08:34:00,63
2022-08-01 08:35:00,59
2022-08-01 08:36:00,65
2022-08-01 08:37:00,62
2022-08-01 08:38:00,61
2022-08-01 08:39:00,63
2022-08-01 08:40:00,61
2022-08-01 08:41:00,60
2022-08-01 08:42:00,62
2022-08-01 08:43:00,63
2022-08-01 08:44:00,60
2022-08-01 08:45:00,62
2022-08-01 08:47:00,62
2022-08-01 08:48:00,59
2022-08-01 08:49:00,63
2022-08-01 08:50:00,64
2022-08-01 08:51:00,60
2022-08-01 08:52:00,60
2022-08-01 08:53:00,63
2022-08-01 09:04:00,61
2022-08-01 09:05:00,62
2022-08-01 09:06:00,62
2022-08-01 09:07:00,61
2022-08-01 09:08:00,62
2022-08-01 09:09:00,64
2022-08-01 09:10:00,63
2022-08-01 09:11:00,60
2022-08-01 09:12:00,62
2022-08-01 12:18:00,64
2022-08-01 12:19:00,66
2022-08-01 12:20:00,63
2022-08-01 12:21:00,65
2022-08-01 12:23:00,63
2022-08-01 12:24:00,60
2022-08-01 12:25:00,63
2022-08-01 12:26:00,66
2022-08-01 12:27:00,63
2022-08-01 12:38:00,70
2022-08-01 12:39:00,66
2022-08-01 12:40:00,66
