"Time","dt_sound_level_dB"
2022-08-01 00:05:00,47
2022-08-01 00:06:00,46
2022-08-01 00:07:00,54
2022-08-01 00:08:00,53
2022-08-01 00:09:00,52
2022-08-01 00:10:00,57
2022-08-01 00:11:00,55
2022-08-01 00:12:00,50
2022-08-01 00:13:00,51
2022-08-01 00:14:00,53
2022-08-01 00:15:00,52
2022-08-01 00:16:00,53
2022-08-01 00:17:00,55
2022-08-01 00:18:00,50
2022-08-01 00:19:00,47
2022-08-01 00:20:00,50
2022-08-01 00:21:00,52
2022-08-01 00:22:00,54
2022-08-01 00:23:00,48
2022-08-01 00:24:00,49
2022-08-01 00:36:00,53
2022-08-01 00:37:00,54
2022-08-01 00:38:00,50
2022-08-01 00:39:00,47
2022-08-01 00:40:00,49
2022-08-01 00:41:00,49
2022-08-01 00:42:00,48
2022-08-01 00:43:00,47
2022-08-01 00:44:00,50
2022-08-01 01:05:00,46
2022-08-01 01:06:00,50
2022-08-01 01:07:00,49
2022-08-01 01:08:00,48
2022-08-01 01:09:00,46
2022-08-01 01:10:00,53
2022-08-01 01:11:00,46
2022-08-01 01:12:00,46
2022-08-01 01:13:00,49
2022-08-01 01:14:00,54
2022-08-01 01:36:00,50
2022-08-01 01:37:00,50
2022-08-01 01:38:00,48
2022-08-01 01:39:00,50
2022-08-01 01:40:00,51
2022-08-01 01:41:00,48
2022-08-01 01:42:00,46
2022-08-01 01:43:00,50
2022-08-01 01:44:00,48
2022-08-01 01:45:00,46
2022-08-01 01:46:00,48
2022-08-01 01:47:00,52
2022-08-01 01:48:00,50
2022-08-01 01:49:00,45
2022-08-01 01:50:00,47
2022-08-01 01:51:00,53
2022-08-01 01:52:00,50
2022-08-01 01:53:00,49
2022-08-01 01:54:00,51
2022-08-01 04:41:00,50
2022-08-01 04:42:00,55
2022-08-01 04:43:00,52
2022-08-01 04:44:00,52
2022-08-01 04:45:00,50
2022-08-01 04:46:00,53
2022-08-01 04:47:00,55
2022-08-01 04:48:00,50
2022-08-01 04:49:00,52
2022-08-01 04:50:00,55
2022-08-01 05:10:00,57
2022-08-01 05:11:00,61
