hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,47.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,46.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False
2,46.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,46.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,46.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5,46.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6,47.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,50.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,52.0,True,False,False,True,True,True,True,True,True,True,True,True,True,True
9,53.0,True,True,True,True,False,True,True,True,True,True,True,True,True,True
10,53.0,False,False,True,True,True,False,True,True,True,True,True,True,True,True
11,54.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
12,55.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
13,55.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,56.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
15,56.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True
16,57.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,57.0,True,False,True,True,False,True,True,True,True,True,True,True,True,True
18,56.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
19,55.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20,54.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
21,53.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,51.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True
23,49.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
