hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,51.0,True,True,True,True,True,True,True,True,True,True,True,True,False,True
1,50.0,True,True,True,True,False,False,False,False,False,False,False,False,False,False
2,51.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,54.0,False,True,True,True,True,True,True,True,True,True,False,False,False,False
4,51.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5,49.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6,51.0,True,True,True,True,True,True,True,True,True,True,True,False,False,True
7,50.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8,53.0,True,True,True,True,True,False,False,False,True,True,True,False,True,True
9,51.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True
10,53.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
11,55.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False
12,56.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
13,64.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,57.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,55.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,57.0,True,True,True,True,False,False,False,False,False,False,False,False,False,False
17,53.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,54.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
19,53.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20,50.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
21,50.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
22,53.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
23,53.0,True,True,True,False,False,True,True,True,True,True,True,True,True,True
