hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,51.0,False,True,True,True,True,True,True,True,True,True,False,False,False,False
1,52.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,52.0,True,True,False,False,True,True,True,True,True,True,True,True,True,True
3,51.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,52.0,False,False,False,False,False,False,True,True,False,True,True,True,True,True
5,48.0,True,True,True,True,False,True,True,True,True,True,True,True,True,True
6,49.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,51.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8,55.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
9,55.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10,55.0,True,False,True,True,True,True,True,True,True,True,True,True,True,True
11,57.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True
12,57.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
13,57.0,True,False,False,True,True,True,True,True,True,True,True,True,True,True
14,57.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
15,58.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,57.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
17,57.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
18,55.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,53.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20,52.0,True,True,True,True,True,False,False,False,True,True,True,True,False,False
21,52.0,True,True,True,True,False,False,False,False,False,False,False,False,True,True
22,52.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
23,53.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
