hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,58.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False
1,61.0,False,True,True,True,False,False,False,False,False,False,False,False,False,False
2,60.0,False,True,False,True,False,False,False,False,False,True,False,False,True,True
3,63.0,False,False,True,True,False,False,False,False,False,True,False,False,True,True
4,61.0,False,False,True,True,True,True,False,True,True,True,True,True,True,True
5,54.0,False,False,False,False,False,False,True,True,True,True,True,True,True,True
6,59.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False
7,54.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True
8,56.0,True,True,True,False,False,False,False,False,False,True,False,False,False,True
9,55.0,False,True,True,True,False,False,False,False,False,False,False,False,False,False
10,57.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False
11,55.0,True,False,False,True,True,True,True,True,True,True,True,True,True,True
12,62.0,False,False,False,True,True,True,True,True,True,True,True,True,True,True
13,65.0,False,False,False,False,True,True,True,True,True,True,True,True,True,True
14,62.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False
15,61.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,60.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,61.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,58.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
19,54.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,58.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False
21,55.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
22,58.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,57.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
