hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,47.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,46.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,46.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,46.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,45.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5,46.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,47.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,47.0,False,False,False,False,False,False,True,True,True,True,True,True,True,True
8,47.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,48.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
10,49.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,50.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,50.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,52.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,51.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
15,50.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
16,49.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,50.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,49.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
19,48.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20,48.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
21,47.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
22,48.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
23,47.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
