hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,50.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,48.0,False,False,False,False,False,True,True,True,True,True,True,True,True,True
2,47.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,47.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,48.0,False,False,False,True,True,True,True,True,True,True,True,True,True,True
5,50.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False
6,52.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,56.0,False,True,True,True,True,True,True,True,True,True,True,True,True,False
8,59.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,60.0,True,True,True,True,True,True,False,True,True,True,True,True,True,True
10,60.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
11,60.0,True,True,False,False,False,False,True,True,False,False,False,False,False,False
12,60.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
13,60.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
14,61.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
15,60.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,60.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,60.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
18,59.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
19,57.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20,56.0,False,False,True,True,True,True,True,True,True,True,True,False,False,True
21,55.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
22,53.0,True,True,True,True,False,True,True,True,True,True,True,True,True,True
23,51.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
