hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,56.0,False,False,True,False,False,False,False,False,False,False,False,False,True,True
1,52.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,50.0,True,True,True,True,True,False,False,False,True,True,True,True,True,True
3,51.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,51.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5,54.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6,59.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,63.0,True,True,True,True,True,False,False,False,False,False,False,True,True,True
8,64.0,True,True,True,True,True,True,False,True,True,True,True,True,True,False
9,64.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10,63.0,False,True,True,True,True,True,True,True,True,True,True,False,True,True
11,64.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12,65.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
13,65.0,True,True,True,True,False,False,False,False,False,True,True,True,True,True
14,66.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
15,65.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
16,66.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
17,66.0,True,False,False,True,True,True,True,False,False,False,True,True,True,True
18,65.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
19,64.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20,62.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False
21,61.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
22,59.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
23,57.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
