hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,50.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,49.0,True,True,True,True,True,True,True,True,True,True,True,True,False,False
2,48.0,False,True,True,False,True,True,True,True,True,True,True,True,True,True
3,47.0,True,True,True,False,False,False,False,False,False,True,True,True,True,True
4,48.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5,50.0,True,True,True,True,True,True,True,True,False,False,True,True,True,True
6,52.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
7,53.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,56.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,57.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10,60.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
11,60.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,60.0,False,False,False,False,False,False,False,False,False,True,True,True,True,True
13,61.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,59.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
15,58.0,True,True,True,False,True,False,False,False,False,False,False,False,False,False
16,60.0,True,True,True,True,True,True,False,False,False,False,False,False,False,False
17,58.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,57.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
19,56.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20,54.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
21,54.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
22,54.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
23,51.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
