hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,56.0,False,True,True,True,False,False,False,False,False,False,False,False,False,False
1,53.5,False,True,True,True,True,True,True,True,True,True,True,True,True,True
2,53.0,True,True,True,True,True,True,True,True,True,True,True,True,False,False
3,51.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,52.0,False,False,True,True,True,False,False,False,True,True,False,False,False,False
5,54.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6,58.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
7,61.0,True,True,True,True,False,False,True,True,True,False,False,False,False,True
8,63.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,64.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10,64.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True
11,64.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12,66.0,False,False,False,False,False,False,False,True,True,True,True,True,True,True
13,65.0,False,True,True,True,True,False,False,False,False,False,False,False,False,False
14,66.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
15,66.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False
16,67.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
17,67.0,True,True,True,False,False,False,False,False,False,False,False,False,False,True
18,66.0,True,True,False,False,False,False,False,False,True,False,False,False,False,True
19,65.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20,63.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
21,62.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
22,59.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
23,58.0,True,True,True,True,False,False,True,True,True,True,True,True,True,True
