hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,48.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,47.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False
2,47.0,True,True,True,True,True,False,False,True,True,True,True,True,True,True
3,47.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4,47.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False
5,48.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6,49.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,51.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,53.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,53.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,54.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
11,55.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12,54.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
13,55.0,False,True,False,False,False,True,True,True,True,True,True,True,True,True
14,56.0,False,False,False,False,False,False,False,False,True,True,True,False,False,False
15,55.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
16,56.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
17,54.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
18,54.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
19,52.0,True,True,True,True,False,True,True,True,True,True,True,True,True,True
20,51.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,50.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False
22,50.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
23,49.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
