hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,57.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,55.0,False,False,False,False,True,True,True,True,True,True,True,True,True,True
2,55.0,False,True,True,True,True,True,False,True,True,True,True,True,True,True
3,54.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,55.0,False,True,False,True,False,True,True,True,True,True,True,True,True,True
5,58.0,True,True,True,True,True,True,True,True,True,True,False,False,True,True
6,60.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,63.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8,66.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True
9,66.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,67.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
11,66.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False
12,68.0,False,True,True,True,True,True,True,False,True,True,True,True,True,True
13,68.0,False,True,True,True,True,True,True,False,False,True,True,True,True,True
14,69.0,False,False,False,False,False,True,True,True,True,True,True,True,True,True
15,68.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False
16,66.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,66.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False
18,66.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,64.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
20,63.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
21,62.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
22,60.0,False,False,False,True,True,True,True,True,True,True,True,True,True,True
23,59.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True
