hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,55.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
1,52.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,51.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,51.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
4,51.0,True,True,True,True,True,True,True,True,True,True,True,False,False,False
5,54.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6,58.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,64.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8,65.0,False,False,False,True,True,True,True,True,True,True,True,True,True,True
9,65.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True
10,66.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
11,66.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12,67.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
13,66.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
14,66.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
15,65.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
16,66.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
17,65.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
18,63.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
19,63.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
20,61.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
21,60.0,False,True,True,True,True,True,False,False,False,False,False,False,False,False
22,58.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
23,56.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
