hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,53.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,52.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,52.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,51.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,51.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
5,52.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,56.0,False,False,False,True,False,True,True,True,False,False,False,True,False,False
7,58.0,False,True,True,True,False,False,False,False,False,False,False,False,False,False
8,57.0,True,True,True,False,False,False,False,False,True,True,False,False,False,True
9,58.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10,58.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False
11,59.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12,59.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
13,59.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
14,59.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
15,58.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,58.0,True,True,True,True,False,False,True,True,True,True,True,True,True,True
17,59.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
18,58.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
19,58.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20,58.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
21,57.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
22,56.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
23,55.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
