hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,52.0,True,True,True,True,False,False,False,True,True,True,True,True,True,True
1,49.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,49.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,49.0,True,False,True,False,False,False,False,False,False,False,False,False,True,False
4,51.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,51.0,False,False,False,False,True,True,True,True,True,True,True,True,True,True
6,55.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,57.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8,59.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,60.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10,59.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,60.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12,60.0,True,True,True,True,True,True,False,False,False,False,False,False,False,True
13,63.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
14,63.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,64.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
16,61.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
17,61.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,62.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,58.0,True,False,False,False,False,False,True,True,True,True,True,True,True,True
20,57.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
21,56.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
22,56.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,55.0,True,True,False,False,False,True,True,True,True,True,True,True,True,True
