hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,47.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,47.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,46.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,46.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,47.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5,46.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
6,50.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,53.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8,56.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,56.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10,56.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,58.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,55.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,57.0,False,True,True,True,True,False,True,False,False,False,False,False,False,False
14,59.0,True,True,False,False,False,False,False,False,True,True,True,True,True,True
15,58.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
16,58.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
17,58.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
18,58.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
19,56.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20,53.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False
21,51.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,50.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
23,49.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
