hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,54.0,False,False,False,False,True,True,True,True,True,True,True,True,True,True
1,53.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True
2,53.0,False,False,False,False,False,False,True,False,False,False,False,False,True,True
3,54.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,53.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5,54.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False
6,58.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,63.0,True,False,True,True,False,False,True,True,True,True,False,False,True,True
8,66.0,False,False,False,False,False,False,False,False,False,False,True,True,False,False
9,65.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10,65.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
11,65.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12,65.0,True,True,True,True,False,False,False,False,True,True,True,True,True,True
13,65.0,False,True,True,False,False,False,True,True,True,True,True,True,True,True
14,64.0,False,False,False,False,False,False,False,False,True,True,True,True,True,True
15,65.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
16,64.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,65.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
18,64.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
19,63.0,True,False,True,True,False,True,True,True,True,True,True,True,True,True
20,61.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
21,59.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,58.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
23,57.0,True,True,True,False,True,True,True,True,True,True,False,False,False,True
