hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,57.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,57.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,58.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
3,60.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,57.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True
5,57.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6,60.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,60.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False
8,61.0,False,True,True,True,True,False,False,False,False,False,False,False,False,False
9,60.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False
10,62.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False
11,64.0,True,False,False,False,False,True,False,False,False,False,False,True,True,True
12,63.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
13,64.0,False,False,False,False,True,True,False,True,True,True,True,True,True,True
14,64.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True
15,66.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,65.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
17,62.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
18,63.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
19,63.0,True,True,True,False,False,False,False,True,True,True,True,True,True,True
20,60.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
21,59.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,60.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,60.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
