hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,51.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,49.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2,49.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,49.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,49.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,49.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6,51.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,55.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8,56.0,True,False,True,True,True,True,True,True,True,True,True,True,True,True
9,55.0,True,False,False,False,False,True,True,True,True,True,True,True,True,True
10,56.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
11,57.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12,57.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,57.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
14,57.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
15,58.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
16,57.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,56.0,True,True,False,True,True,True,True,True,True,True,True,True,True,True
18,55.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,55.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20,54.0,True,True,True,False,False,False,True,True,True,True,True,True,True,True
21,54.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
22,52.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,52.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
