hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,51.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False
1,51.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,50.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,52.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
4,51.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5,52.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6,54.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,57.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8,58.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,58.0,False,False,False,True,True,True,True,True,True,True,True,True,True,True
10,57.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
11,58.0,True,True,True,True,True,True,False,False,True,True,True,True,True,True
12,60.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
13,61.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
14,61.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,61.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
16,62.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,63.0,False,False,True,False,True,True,True,True,True,False,True,True,True,True
18,60.0,True,False,False,True,True,True,True,False,False,False,True,True,True,True
19,59.0,True,True,True,False,False,False,False,True,True,False,False,False,False,False
20,56.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
21,55.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
22,55.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
23,53.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
