Filename	Gap Length	Occurrence
data/data SPL August 2022 all/20D6-data.csv	0 days 00:02:00	135
data/data SPL August 2022 all/20D6-data.csv	0 days 00:11:00	107
data/data SPL August 2022 all/20D6-data.csv	0 days 00:21:00	43
data/data SPL August 2022 all/20D6-data.csv	0 days 00:12:00	22
data/data SPL August 2022 all/20D6-data.csv	0 days 00:10:00	21
data/data SPL August 2022 all/20D6-data.csv	0 days 01:01:00	20
data/data SPL August 2022 all/20D6-data.csv	0 days 00:20:00	18
data/data SPL August 2022 all/20D6-data.csv	0 days 00:31:00	15
data/data SPL August 2022 all/20D6-data.csv	0 days 01:11:00	15
data/data SPL August 2022 all/20D6-data.csv	0 days 00:22:00	12
data/data SPL August 2022 all/20D6-data.csv	0 days 00:41:00	10
data/data SPL August 2022 all/20D6-data.csv	0 days 00:30:00	8
data/data SPL August 2022 all/20D6-data.csv	0 days 00:32:00	5
data/data SPL August 2022 all/20D6-data.csv	0 days 01:12:00	5
data/data SPL August 2022 all/20D6-data.csv	0 days 00:51:00	5
data/data SPL August 2022 all/20D6-data.csv	0 days 00:40:00	5
data/data SPL August 2022 all/20D6-data.csv	0 days 00:50:00	4
data/data SPL August 2022 all/20D6-data.csv	0 days 01:10:00	4
data/data SPL August 2022 all/20D6-data.csv	0 days 01:21:00	4
data/data SPL August 2022 all/20D6-data.csv	0 days 01:20:00	3
data/data SPL August 2022 all/20D6-data.csv	0 days 00:42:00	3
data/data SPL August 2022 all/20D6-data.csv	0 days 02:01:00	3
data/data SPL August 2022 all/20D6-data.csv	0 days 03:21:00	2
data/data SPL August 2022 all/20D6-data.csv	0 days 01:51:00	2
data/data SPL August 2022 all/20D6-data.csv	0 days 03:01:00	2
data/data SPL August 2022 all/20D6-data.csv	0 days 01:22:00	2
data/data SPL August 2022 all/20D6-data.csv	0 days 01:40:00	2
data/data SPL August 2022 all/20D6-data.csv	0 days 02:11:00	2
data/data SPL August 2022 all/20D6-data.csv	0 days 01:05:00	1
data/data SPL August 2022 all/20D6-data.csv	0 days 02:51:00	1
data/data SPL August 2022 all/20D6-data.csv	0 days 00:52:00	1
data/data SPL August 2022 all/20D6-data.csv	0 days 00:26:00	1
data/data SPL August 2022 all/20D6-data.csv	0 days 02:21:00	1
data/data SPL August 2022 all/20D6-data.csv	0 days 03:12:00	1
data/data SPL August 2022 all/20D6-data.csv	0 days 03:11:00	1
data/data SPL August 2022 all/20D6-data.csv	0 days 02:12:00	1
data/data SPL August 2022 all/20D6-data.csv	0 days 02:20:00	1
data/data SPL August 2022 all/20D6-data.csv	0 days 01:32:00	1
data/data SPL August 2022 all/20D6-data.csv	0 days 01:31:00	1
data/data SPL August 2022 all/20D6-data.csv	0 days 04:21:00	1
data/data SPL August 2022 all/20D6-data.csv	0 days 03:20:00	1
data/data SPL August 2022 all/20D6-data.csv	0 days 00:36:00	1
data/data SPL August 2022 all/20D6-data.csv	0 days 03:36:00	1
data/data SPL August 2022 all/20D6-data.csv	0 days 01:36:00	1
data/data SPL August 2022 all/20D6-data.csv	0 days 02:42:00	1
data/data SPL August 2022 all/20D6-data.csv	0 days 02:40:00	1
data/data SPL August 2022 all/20D6-data.csv	0 days 02:30:00	1
data/data SPL August 2022 all/20D6-data.csv	0 days 01:30:00	1
data/data SPL August 2022 all/20D6-data.csv	0 days 00:46:00	1
data/data SPL August 2022 all/20D6-data.csv	0 days 00:16:00	1
data/data SPL August 2022 all/2063-data.csv	0 days 00:02:00	89
data/data SPL August 2022 all/2063-data.csv	0 days 00:11:00	64
data/data SPL August 2022 all/2063-data.csv	0 days 00:21:00	33
data/data SPL August 2022 all/2063-data.csv	0 days 00:10:00	24
data/data SPL August 2022 all/2063-data.csv	0 days 00:31:00	19
data/data SPL August 2022 all/2063-data.csv	0 days 01:01:00	18
data/data SPL August 2022 all/2063-data.csv	0 days 00:12:00	14
data/data SPL August 2022 all/2063-data.csv	0 days 00:22:00	12
data/data SPL August 2022 all/2063-data.csv	0 days 00:42:00	11
data/data SPL August 2022 all/2063-data.csv	0 days 00:20:00	11
data/data SPL August 2022 all/2063-data.csv	0 days 00:41:00	10
data/data SPL August 2022 all/2063-data.csv	0 days 00:30:00	10
data/data SPL August 2022 all/2063-data.csv	0 days 00:32:00	9
data/data SPL August 2022 all/2063-data.csv	0 days 00:51:00	8
data/data SPL August 2022 all/2063-data.csv	0 days 01:11:00	8
data/data SPL August 2022 all/2063-data.csv	0 days 01:31:00	7
data/data SPL August 2022 all/2063-data.csv	0 days 01:21:00	4
data/data SPL August 2022 all/2063-data.csv	0 days 01:22:00	3
data/data SPL August 2022 all/2063-data.csv	0 days 00:40:00	3
data/data SPL August 2022 all/2063-data.csv	0 days 02:01:00	3
data/data SPL August 2022 all/2063-data.csv	0 days 01:10:00	3
data/data SPL August 2022 all/2063-data.csv	0 days 02:21:00	3
data/data SPL August 2022 all/2063-data.csv	0 days 02:51:00	2
data/data SPL August 2022 all/2063-data.csv	0 days 00:50:00	2
data/data SPL August 2022 all/2063-data.csv	0 days 01:30:00	2
data/data SPL August 2022 all/2063-data.csv	0 days 00:15:00	2
data/data SPL August 2022 all/2063-data.csv	0 days 01:32:00	2
data/data SPL August 2022 all/2063-data.csv	0 days 01:40:00	2
data/data SPL August 2022 all/2063-data.csv	0 days 01:51:00	2
data/data SPL August 2022 all/2063-data.csv	0 days 03:01:00	2
data/data SPL August 2022 all/2063-data.csv	0 days 00:52:00	2
data/data SPL August 2022 all/2063-data.csv	0 days 01:20:00	2
data/data SPL August 2022 all/2063-data.csv	0 days 02:11:00	2
data/data SPL August 2022 all/2063-data.csv	0 days 02:31:00	1
data/data SPL August 2022 all/2063-data.csv	0 days 03:30:00	1
data/data SPL August 2022 all/2063-data.csv	0 days 00:45:00	1
data/data SPL August 2022 all/2063-data.csv	0 days 03:22:00	1
data/data SPL August 2022 all/2063-data.csv	0 days 02:20:00	1
data/data SPL August 2022 all/2063-data.csv	0 days 03:02:00	1
data/data SPL August 2022 all/2063-data.csv	0 days 01:42:00	1
data/data SPL August 2022 all/2063-data.csv	0 days 03:32:00	1
data/data SPL August 2022 all/2063-data.csv	0 days 02:02:00	1
data/data SPL August 2022 all/2063-data.csv	0 days 01:41:00	1
data/data SPL August 2022 all/2063-data.csv	0 days 03:11:00	1
data/data SPL August 2022 all/2063-data.csv	0 days 04:01:00	1
data/data SPL August 2022 all/2063-data.csv	0 days 01:26:00	1
data/data SPL August 2022 all/2063-data.csv	0 days 05:51:00	1
data/data SPL August 2022 all/2063-data.csv	0 days 12:11:00	1
data/data SPL August 2022 all/2063-data.csv	0 days 03:16:00	1
